●28주차 (2020년 07월 06일 ~ 2020년 07월 12일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,#살아있다,2020-06-24,"2,056,292,360",41.5%,"-2,145,508,240",-51.1%,"15,113,437,300","235,999","-250,929",-51.5%,"1,782,928","1,329","30,744",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,"773,627,060",15.6%,"769,633,660",19272.6%,"796,718,460","90,844","90,400",20360.4%,"93,462",882,"13,419",미국,"미국,캐나다",(주)홈초이스
3,결백,2020-06-10,"398,958,080",8.1%,"-368,979,540",-48.0%,"7,535,599,560","45,846","-45,236",-49.7%,"852,998",544,"6,877",한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
4,온워드: 단 하루의 기적,2020-06-17,"285,974,100",5.8%,"-239,339,440",-45.6%,"3,255,067,460","33,530","-29,655",-46.9%,"376,566",453,"4,467",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,다크 나이트 라이즈,2012-07-19,"198,558,220",4.0%,"198,558,220",100.0%,"47,874,021,720","24,483","24,483",100.0%,"6,423,786",317,"2,549",미국,"미국,영국",워너브러더스 코리아(주)
6,소리꾼,2020-07-01,"170,159,980",3.4%,"-242,218,680",-58.7%,"609,107,640","21,307","-29,012",-57.7%,"74,724",485,"4,603",한국,한국,(주)리틀빅픽쳐스
7,소년시절의 너,2020-07-09,"147,033,500",3.0%,"143,949,500",4667.6%,"157,431,500","16,539","16,025",3117.7%,"18,272",252,"2,095",중국,중국,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
8,다크 나이트,2008-08-06,"77,090,280",1.6%,"-221,788,880",-74.2%,"28,165,687,840","10,208","-27,805",-73.1%,"4,223,747",343,"1,295",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
9,그레텔과 헨젤,2020-07-08,"87,721,820",1.8%,"77,481,820",756.7%,"99,221,820","9,960","9,049",993.3%,"11,011",325,"2,344",캐나다,캐나다,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
10,원 데이,2012-12-13,"85,841,400",1.7%,"85,841,400",100.0%,"1,599,919,900","9,796","9,796",100.0%,"216,235",156,"1,448",미국,미국,"(주)영화사 그램,(주)제이앤씨미디어그룹,(주)팝파트너스"
11,BIFAN2020 판타스틱 단편 걸작선 1,,"52,800,000",1.1%,"52,800,000",100.0%,"52,800,000","8,800","8,800",100.0%,"8,800",6,80,기타,기타,
12,너와 파도를 탈 수 있다면,2020-07-08,"61,053,320",1.2%,"58,377,320",2181.5%,"63,729,320","6,928","6,640",2305.6%,"7,216",257,"1,473",일본,일본,메가박스중앙(주)플러스엠
13,위대한 쇼맨,2017-12-20,"40,361,360",0.8%,"-21,669,600",-34.9%,"13,343,506,140","6,457","-3,766",-36.8%,"1,698,762",92,794,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
14,딥워터,2020-07-09,"49,405,320",1.0%,"48,125,320",3759.8%,"57,397,320","5,664","5,504",3440.0%,"6,611",264,"1,416",기타,기타,(주)팝엔터테인먼트
15,"아무튼, 아담",2020-07-02,"28,279,000",0.6%,"-9,594,000",-25.3%,"68,336,000","4,587",-516,-10.1%,"10,002",94,584,미국,미국,"(주)비싸이드 픽쳐스,주식회사 모쿠슈라픽쳐스,필립 스튜디오"
16,불량한 가족,2020-07-09,"32,586,620",0.7%,"27,141,620",498.5%,"38,031,620","3,679","3,074",508.1%,"4,284",161,784,한국,한국,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)"
17,인베이젼 2020,2020-07-01,"27,863,120",0.6%,"-125,806,020",-81.9%,"182,402,260","3,420","-14,978",-81.4%,"21,963",273,"1,049",러시아,러시아,(주)제이앤씨미디어그룹
18,트로이 디렉터스 컷,2020-07-03,"27,707,280",0.6%,"-3,332,140",-10.7%,"58,746,700","3,354",-166,-4.7%,"6,874",144,512,미국,미국,판씨네마(주)
19,부활,2020-07-09,"21,669,500",0.4%,"16,199,500",296.2%,"27,139,500","2,653","2,023",321.1%,"3,283",83,465,한국,한국,(주)중헌홀딩스
20,킬 스위치,2020-07-01,"10,638,000",0.2%,"10,515,100",8555.8%,"10,760,900","2,116","2,102",15014.3%,"2,130",51,108,미국,미국,(주)삼백상회
21,반도,2020-07-15,"14,590,000",0.3%,"13,400,000",1126.1%,"15,780,000","1,594","1,424",837.6%,"1,764",9,11,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
