●48주차 (2020년 11월 23일 ~ 2020년 11월 29일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,이웃사촌,2020-11-25,"1,569,146,580",36.4%,"1,438,598,580",1102.0%,"1,712,105,580","183,864","168,827",1122.7%,"200,280","1,363","21,042",한국,한국,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
2,도굴,2020-11-04,"774,652,230",18.0%,"-1,721,015,970",-69.0%,"12,547,129,450","92,955","-182,438",-66.2%,"1,369,568",897,"14,541",한국,한국,(주)씨제이이엔엠
3,런,2020-11-20,"659,731,710",15.3%,"-446,992,250",-40.4%,"1,772,710,670","75,446","-39,633",-34.4%,"191,220",689,"11,595",미국,미국,(주)올스타엔터테인먼트
4,프리키 데스데이,2020-11-25,"294,443,610",6.8%,"292,634,610",16176.6%,"297,242,610","34,405","34,204",17016.9%,"34,716",631,"7,601",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,삼진그룹 영어토익반,2020-10-21,"191,438,860",4.4%,"-660,177,730",-77.5%,"13,859,600,040","22,780","-69,861",-75.4%,"1,556,529",520,"5,034",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
6,내가 죽던 날,2020-11-12,"123,023,670",2.9%,"-644,285,110",-84.0%,"2,093,922,620","15,115","-69,396",-82.1%,"228,032",501,"3,582",한국,한국,워너브러더스 코리아(주)
7,극장판 바이올렛 에버가든,2020-11-12,"61,378,070",1.4%,"-39,443,610",-39.1%,"342,143,090","7,415","-4,873",-39.7%,"40,045",83,731,일본,일본,(주)라이크콘텐츠
8,마리 퀴리,2020-11-18,"34,100,290",0.8%,"-104,713,570",-75.4%,"173,796,150","5,052","-11,389",-69.3%,"21,591",309,"1,037",프랑스,프랑스,(주)디스테이션
9,추억의 검정고무신,2020-11-19,"28,717,500",0.7%,"-84,165,600",-74.6%,"143,923,600","3,967","-9,487",-70.5%,"17,582",133,851,한국,한국,(주)대교 미디어콘텐츠사업본부
10,가나의 혼인잔치: 언약,2020-11-26,"26,994,850",0.6%,"20,206,850",297.7%,"38,929,850","3,085","2,121",220.0%,"4,718",116,469,미국,미국,"(재)CBS,주식회사 블루필름웍스"
11,그리고 우린 춤을 추었다,2020-11-25,"26,170,150",0.6%,"24,335,850",1326.7%,"29,005,450","3,002","2,783",1270.8%,"3,322",79,483,프랑스,프랑스,(주)엣나인필름
12,로그,2020-11-25,"22,172,370",0.5%,"21,038,370",1855.2%,"23,306,370","2,868","2,742",2176.2%,"2,994",180,"1,050",미국,미국,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)"
13,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"25,443,250",0.6%,"-6,254,180",-19.7%,"661,485,880","2,807","-1,014",-26.5%,"72,861",40,242,일본,일본,(주)애니플러스
14,안티고네,2020-11-19,"20,776,040",0.5%,"-25,569,520",-55.2%,"73,185,600","2,669","-2,214",-45.3%,"8,296",98,468,캐나다,캐나다,"그린나래미디어(주),(주)키다리이엔티"
15,그린랜드,2020-09-29,"14,144,000",0.3%,"14,040,000",13500.0%,"2,777,686,520","2,636","2,607",8989.7%,"325,831",12,42,미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
16,노트북,2004-11-26,"17,754,680",0.4%,"-27,490,590",-60.8%,"4,618,645,450","2,133","-3,365",-61.2%,"649,374",65,392,미국,미국,"(주)퍼스트런,TCO(주)더콘텐츠온,글뫼 주식회사,CJ ENM"
17,피아니스트의 마지막 인터뷰,2020-11-19,"16,496,610",0.4%,"-9,333,420",-36.1%,"42,326,640","2,092",-911,-30.3%,"5,095",48,271,캐나다,캐나다,판씨네마(주)
18,지옥의 묵시록 파이널 컷,2020-11-26,"18,204,860",0.4%,"18,204,860",100.0%,"18,204,860","1,934","1,934",100.0%,"1,934",64,341,미국,미국,(주)디스테이션
19,극장판 기븐,2020-11-26,"16,486,250",0.4%,"16,486,250",100.0%,"16,486,250","1,881","1,881",100.0%,"1,881",103,491,일본,일본,(주)애니플러스
20,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,2020-11-12,"11,849,000",0.3%,"-46,143,500",-79.6%,"159,255,000","1,771","-6,863",-79.5%,"23,675",82,399,영국,영국,와이드 릴리즈(주)
21,부활: 그 증거,2020-10-08,"13,385,540",0.3%,"-15,485,260",-53.6%,"206,554,980","1,676","-2,088",-55.5%,"25,270",14,53,한국,한국,(주)영화사 진진
