●52주차 (2019년 12월 23일 ~ 2019년 12월 29일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,백두산,2019-12-19,"27,329,142,770",45.7%,"6,122,364,140",28.9%,"48,537,650,400","3,283,397","824,387",33.5%,"5,742,654","1,853","50,149",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
2,시동,2019-12-18,"9,680,697,570",16.2%,"365,402,960",3.9%,"19,338,014,700","1,150,391","58,863",5.4%,"2,291,273","1,029","23,650",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
3,캣츠,2019-12-24,"5,838,643,210",9.8%,"5,838,643,210",100.0%,"5,838,643,210","696,173","696,173",100.0%,"696,173","1,143","20,114",미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
4,천문: 하늘에 묻는다,2019-12-26,"5,645,802,770",9.4%,"5,566,877,770",7053.4%,"5,724,727,770","688,698","675,151",4983.8%,"702,245","1,198","17,646",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
5,겨울왕국 2,2019-11-21,"4,426,444,810",7.4%,"-1,039,628,900",-19.0%,"110,775,480,740","527,310","-132,561",-20.1%,"13,265,198",816,"10,802",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,"2,402,187,030",4.0%,"-90,337,940",-3.6%,"4,922,088,000","304,795","-7,840",-2.5%,"620,629",714,"6,645",한국,한국,(주)씨제이이엔엠
7,눈의 여왕4,2019-12-24,"878,272,900",1.5%,"873,829,900",19667.6%,"889,321,900","117,799","117,274",22337.9%,"119,058",541,"3,305",러시아,러시아,(주)넥스트엔터테인먼트월드(NEW)
8,포드 V 페라리,2019-12-04,"972,686,020",1.6%,"-648,046,050",-40.0%,"10,349,888,380","110,421","-78,104",-41.4%,"1,177,035",331,"2,061",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
9,프린스 코기,2019-12-24,"858,304,060",1.4%,"845,414,060",6558.7%,"877,404,060","109,390","107,692",6342.3%,"112,330",455,"3,212",벨기에,벨기에,(주)이수C&E
10,나이브스 아웃,2019-12-04,"709,128,600",1.2%,"-253,130,360",-26.3%,"5,443,472,790","81,671","-31,110",-27.6%,"642,671",190,"1,601",미국,미국,(주)올스타엔터테인먼트
11,쥬만지: 넥스트 레벨,2019-12-11,"201,090,780",0.3%,"-1,585,370,700",-88.7%,"8,756,733,110","26,604","-196,665",-88.1%,"1,052,403",436,"1,143",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
12,"고흐, 영원의 문에서",2019-12-26,"90,724,160",0.2%,"85,307,660",1575.0%,"96,140,660","11,423","10,828",1819.8%,"12,018",68,390,미국,"미국,프랑스",(주)팝엔터테인먼트
13,"미안해요, 리키",2019-12-19,"85,138,800",0.1%,"10,121,340",13.5%,"182,427,060","10,705",985,10.1%,"23,193",63,491,프랑스,프랑스,(주)영화사 진진
14,파비안느에 관한 진실,2019-12-05,"31,576,060",0.1%,"-13,988,940",-30.7%,"271,583,340","6,442",213,3.4%,"38,883",33,204,프랑스,프랑스,(주)티캐스트
15,와일드라이프,2019-12-25,"49,927,320",0.1%,"47,394,620",1871.3%,"54,672,020","6,349","6,084",2295.8%,"6,855",49,262,미국,미국,"그린나래미디어(주),(주)키다리이엔티"
16,두 교황,2019-12-11,"35,607,640",0.1%,"-1,778,560",-4.8%,"113,774,140","4,758",-291,-5.8%,"15,036",18,122,미국,"미국,영국,이탈리아,아르헨티나",판씨네마(주)
17,추격자: 살인자의 증거,2019-07-24,"15,219,920",0.0%,"3,341,000",28.1%,"74,078,120","3,610","1,211",50.5%,"23,625",3,13,독일,독일,제인앤유
18,이스케이프 게임,2019-10-11,"15,539,920",0.0%,"3,506,160",29.1%,"64,493,020","3,602","1,180",48.7%,"21,745",3,16,독일,독일,제인앤유
19,여대생 기숙사에서 생긴 일,2019-09-10,"15,424,680",0.0%,"3,284,240",27.1%,"67,508,600","3,569","1,139",46.9%,"22,336",3,16,미국,미국,제인앤유
20,마녀: 소녀의 비밀,2019-07-24,"15,616,760",0.0%,"3,913,720",33.4%,"66,031,000","3,550","1,232",53.1%,"21,937",4,16,독일,독일,제인앤유
21,사이코패스,2019-09-18,"15,003,200",0.0%,"6,395,680",74.3%,"59,196,040","3,484","1,710",96.4%,"20,715",3,16,미국,미국,제인앤유
22,러브레터,1999-11-20,"28,139,382",0.0%,"26,119,882",1293.4%,"813,858,874","3,028","2,787",1156.4%,"105,925",22,98,일본,일본,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트"
23,트레킹: 저주의 숲,2019-07-04,"11,921,240",0.0%,"1,074,880",9.9%,"67,413,800","2,959",740,33.3%,"22,322",3,14,독일,독일,제인앤유
