●10주차 (2021년 03월 08일 ~ 2021년 03월 14일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,미나리,2021-03-03,"1,994,131,470",32.0%,"-516,053,840",-20.6%,"4,513,732,780","220,059","-55,996",-20.3%,"497,123","1,069","22,261",미국,미국,판씨네마(주)
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"1,414,909,850",22.7%,"-187,785,810",-11.7%,"11,581,414,860","145,554","-13,729",-8.6%,"1,197,944",679,"9,831",일본,일본,워터홀컴퍼니(주)
3,라야와 마지막 드래곤,2021-03-04,"867,864,150",13.9%,"-310,221,820",-26.3%,"2,052,268,120","93,203","-33,213",-26.3%,"220,321",899,"11,409",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,소울,2021-01-20,"343,619,730",5.5%,"-475,005,730",-58.0%,"18,573,215,870","34,974","-49,509",-58.6%,"2,000,090",424,"4,392",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,반지의 제왕 : 반지원정대,2001-12-31,"335,025,990",5.4%,"335,025,990",100.0%,"335,063,990","27,727","27,727",100.0%,"27,746",185,"1,590",미국,미국,"워너브러더스 코리아(주),(주)시네마서비스"
6,리스타트,2021-03-11,"249,184,830",4.0%,"247,600,830",15631.4%,"250,768,830","27,607","27,409",13842.9%,"27,805",529,"4,072",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
7,미션 파서블,2021-02-17,"215,901,930",3.5%,"-542,521,420",-71.5%,"3,964,552,760","22,807","-57,680",-71.7%,"434,426",406,"4,138",한국,한국,(주)메리크리스마스
8,중경삼림,1995-09-02,"156,681,250",2.5%,"-40,373,950",-20.5%,"483,597,250","16,235","-3,455",-17.5%,"51,978",315,"2,514",홍콩,홍콩,(주)디스테이션
9,웨이 다운,2021-03-11,"85,967,810",1.4%,"85,076,810",9548.5%,"86,858,810","9,702","9,603",9700.0%,"9,801",309,"1,754",스페인,스페인,(주)누리픽쳐스
10,아이 씨 유,2021-03-11,"61,492,670",1.0%,"57,980,230",1650.7%,"65,005,110","6,622","6,259",1724.2%,"6,985",113,969,영국,영국,(주)홈초이스
11,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"40,716,000",0.7%,"39,664,560",3772.4%,"744,627,610","5,109","5,015",5335.1%,"82,622",38,298,일본,일본,(주)애니플러스
12,카오스 워킹,2021-02-24,"39,240,220",0.6%,"-301,157,040",-88.5%,"1,203,939,080","4,232","-34,829",-89.2%,"143,119",273,"1,480",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
13,톰과 제리,2021-02-24,"35,587,910",0.6%,"-318,392,320",-89.9%,"1,157,157,350","3,966","-35,367",-89.9%,"134,632",208,956,미국,미국,워너브러더스 코리아(주)
14,암모나이트,2021-03-11,"30,379,600",0.5%,"29,059,600",2201.5%,"31,699,600","3,467","3,335",2526.5%,"3,599",207,"1,001",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
15,내일도 우린 사랑하고 있을까,2021-03-11,"23,728,200",0.4%,"22,363,200",1638.3%,"25,093,200","3,417","3,222",1652.3%,"3,612",129,729,중국,중국,(주)디스테이션
16,쁘떼뜨,2021-03-10,"20,469,500",0.3%,"19,668,500",2455.5%,"21,270,500","2,478","2,425",4575.5%,"2,531",105,697,독일,독일,예지림엔터테인먼트
17,유어 아이즈 텔,2021-03-11,"13,599,420",0.2%,"10,071,420",285.5%,"17,127,420","2,315","1,923",490.6%,"2,707",103,401,일본,일본,"(주)리틀빅픽쳐스,주식회사 더쿱"
18,북스마트,2021-01-27,"9,758,000",0.2%,"9,397,500",2606.8%,"108,654,680","1,951","1,912",4902.6%,"16,380",3,12,미국,미국,(주)콘텐츠판다
19,허트 로커,2010-04-22,"18,032,190",0.3%,"15,087,690",512.4%,"1,323,685,890","1,948","1,649",551.5%,"176,087",75,336,미국,미국,"(주)까멜리아이엔티,(주)스마일이엔티,(주)넥스트엔터테인먼트월드(NEW)"
20,고백,2021-02-24,"13,632,900",0.2%,"-55,249,100",-80.2%,"229,569,900","1,808","-7,670",-80.9%,"32,261",98,539,한국,한국,(주)리틀빅픽쳐스
21,어니스트 씨프,2021-02-03,"7,770,000",0.1%,"2,180,600",39.0%,"724,604,260","1,554",880,130.6%,"82,338",3,10,미국,미국,(주)올스타엔터테인먼트
22,아르코 라이브 뮤지컬 호프,2021-03-03,"29,308,000",0.5%,"-25,827,500",-46.8%,"84,443,500","1,466","-1,291",-46.8%,"4,223",10,60,한국,한국,(주)아이디어랩
23,늑대와 춤을,1991-03-31,"7,153,000",0.1%,"6,307,000",745.5%,"94,739,420","1,430","1,336",1421.3%,"11,757",6,10,미국,미국,"(주)더세컨드웨이브,(주)영화특별시에스엠씨"
24,태양을 덮다,2021-03-11,"8,721,940",0.1%,"8,721,940",100.0%,"8,916,940","1,278","1,278",100.0%,"1,317",21,80,일본,일본,(주)트리플픽쳐스
25,더 레이서,2021-02-24,"8,643,210",0.1%,"-27,516,120",-76.1%,"98,050,040","1,042","-3,406",-76.6%,"11,960",41,177,기타,기타,(주)다자인소프트
26,포제서,2021-03-11,"9,334,730",0.2%,"8,407,730",907.0%,"12,859,730",975,872,846.6%,"1,305",80,340,캐나다,캐나다,(주)제이앤씨미디어그룹
27,타오르는 여인의 초상,2020-01-16,"6,317,000",0.1%,"6,083,000",2599.6%,"1,286,632,338",908,882,3392.3%,"152,965",32,161,프랑스,프랑스,"그린나래미디어(주),(주)홈초이스"
28,해피 투게더,1998-08-22,"7,828,520",0.1%,"-3,401,870",-30.3%,"297,752,620",856,-325,-27.5%,"32,328",17,89,홍콩,홍콩,(주)디스테이션
29,라스트 레터,2021-02-24,"6,780,500",0.1%,"-23,228,000",-77.4%,"93,077,410",816,"-2,610",-76.2%,"10,894",67,263,일본,일본,(주)스튜디오 산타클로스엔터테인먼트
30,타락천사,1995-12-23,"7,824,440",0.1%,"-2,601,910",-25.0%,"91,109,920",813,-236,-22.5%,"9,416",12,51,홍콩,홍콩,(주)디스테이션
31,나는 나를 해고하지 않는다,2021-01-28,"3,964,500",0.1%,"3,543,500",841.7%,"140,789,500",770,719,1409.8%,"18,389",7,13,한국,한국,(주)영화사 진진
32,모추어리 컬렉션,2021-01-21,"3,730,000",0.1%,"3,501,600",1533.1%,"37,557,400",746,723,3143.5%,"4,693",2,3,미국,미국,(주)이놀미디어
33,화양연화,2000-10-20,"6,927,470",0.1%,"-3,167,780",-31.4%,"968,187,400",709,-286,-28.7%,"109,275",14,78,홍콩,"홍콩,프랑스",(주)디스테이션
