●36주차 (2020년 08월 31일 ~ 2020년 09월 06일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,테넷,2020-08-26,"3,682,832,820",63.0%,"-1,483,719,180",-28.7%,"9,700,895,860","399,392","-176,307",-30.6%,"1,059,797","2,050","36,255",미국,미국,워너브러더스 코리아(주)
2,오! 문희,2020-09-02,"1,055,929,620",18.1%,"1,055,579,620",301594.2%,"1,056,279,620","134,875","134,825",269650.0%,"134,925","1,110","19,214",한국,한국,CGV아트하우스
3,다만 악에서 구하소서,2020-08-05,"536,204,630",9.2%,"-684,987,960",-56.1%,"38,219,438,150","61,761","-82,298",-57.1%,"4,311,951",658,"9,805",한국,한국,(주)씨제이이엔엠
4,오케이 마담,2020-08-12,"157,531,790",2.7%,"-384,907,170",-71.0%,"10,909,862,540","18,736","-46,282",-71.2%,"1,219,287",567,"4,375",한국,한국,메가박스중앙(주)플러스엠
5,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020-08-20,"117,331,350",2.0%,"-137,864,780",-54.0%,"884,779,770","14,461","-17,098",-54.2%,"108,701",334,"2,453",일본,일본,(주)씨제이이엔엠
6,드라이브,2011-11-17,"50,922,110",0.9%,"50,801,110",41984.4%,"207,160,090","5,931","5,908",25687.0%,"26,072",125,647,미국,미국,"주식회사 풍경소리,판씨네마(주)"
7,고스트 오브 워,2020-09-02,"49,382,160",0.8%,"49,382,160",100.0%,"49,382,160","5,754","5,754",100.0%,"5,754",228,"1,409",영국,영국,THE 픽쳐스
8,남매의 여름밤,2020-08-20,"20,661,610",0.4%,"-14,899,700",-41.9%,"123,008,490","2,422","-1,874",-43.6%,"15,023",65,494,한국,한국,그린나래미디어(주)
9,카일라스 가는 길,2020-09-03,"14,099,960",0.2%,"14,099,960",100.0%,"14,099,960","1,699","1,699",100.0%,"1,699",47,212,한국,한국,(주)영화사 진진
10,메멘토,2001-08-24,"15,325,000",0.3%,"-19,012,000",-55.4%,"342,898,300","1,687","-2,351",-58.2%,"46,024",35,229,미국,미국,"(주)디스테이션,(주)팝엔터테인먼트"
11,강철비2: 정상회담,2020-07-29,"11,103,280",0.2%,"-48,115,380",-81.3%,"14,636,128,110","1,663","-5,425",-76.5%,"1,781,756",114,410,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
12,반교: 디텐션,2020-08-13,"13,719,420",0.2%,"-33,622,060",-71.0%,"313,956,750","1,584","-4,219",-72.7%,"34,159",57,295,기타,기타,(주)팝엔터테인먼트
13,후쿠오카,2020-08-27,"13,118,840",0.2%,"-3,894,640",-22.9%,"34,624,820","1,514",-571,-27.4%,"4,205",83,460,한국,한국,"(주)률필름,㈜인디스토리"
14,아메리칸 잡,2020-09-03,"3,963,820",0.1%,"3,963,820",100.0%,"3,963,820","1,292","1,292",100.0%,"1,292",36,139,미국,미국,(주)제이앤씨미디어그룹
15,하워즈 엔드,1993-04-10,"10,742,100",0.2%,"10,253,100",2096.7%,"19,493,600","1,286","1,215",1711.3%,"2,479",50,237,영국,영국,알토미디어(주)
16,69세,2020-08-20,"6,424,640",0.1%,"-11,415,740",-64.0%,"63,964,190",813,"-1,445",-64.0%,"7,842",45,261,한국,한국,(주)엣나인필름
17,사랑이 눈뜰 때,2020-08-26,"4,923,300",0.1%,"-8,854,470",-64.3%,"19,509,070",658,"-1,135",-63.3%,"2,552",85,247,미국,미국,(주)이놀미디어
18,시크릿 가든,2020-08-19,"4,660,600",0.1%,"-20,674,240",-81.6%,"97,940,260",587,"-2,418",-80.5%,"11,689",37,139,영국,영국,(주)이수C&E
19,캐리비안 해적과 마법 다이아몬드,2020-08-26,"4,517,900",0.1%,"-9,570,920",-67.9%,"18,606,720",580,"-1,193",-67.3%,"2,353",79,201,노르웨이,노르웨이,(주)제이앤씨미디어그룹
20,극장판 시로바코,2020-08-20,"4,955,050",0.1%,"-8,447,340",-63.0%,"42,857,950",567,"-1,023",-64.3%,"4,918",29,161,일본,일본,(주)애니플러스
21,나의 소녀시대,2016-05-12,"4,255,900",0.1%,"-21,057,100",-83.2%,"3,423,055,950",506,"-2,366",-82.4%,"422,294",59,195,대만,대만,오드
22,브링 더 소울 : 더 무비,2019-08-07,"4,267,000",0.1%,"-10,187,500",-70.5%,"2,921,221,810",504,"-1,015",-66.8%,"338,097",33,120,한국,한국,"CGV ICECON,월트디즈니컴퍼니코리아 유한책임회사"
23,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,"2,187,000",0.0%,"-6,838,000",-75.8%,"1,539,695,340",429,"-1,367",-76.1%,"181,564",4,9,미국,"미국,캐나다",(주)홈초이스
24,리메인,2020-08-27,"3,221,800",0.1%,"-2,304,000",-41.7%,"10,755,100",382,-270,-41.4%,"1,262",36,126,한국,한국,(주)영화사오원
25,인셉션,2010-07-21,"2,172,560",0.0%,"-11,661,720",-84.3%,"44,861,043,140",318,"-1,307",-80.4%,"5,998,463",4,31,미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
26,맨츄리안 캔디데이트,,"576,000",0.0%,"576,000",100.0%,"6,713,000",288,288,100.0%,"2,993",1,9,미국,미국,
27,소년 아메드,2020-07-30,"1,313,000",0.0%,"348,900",36.2%,"79,328,187",287,160,126.0%,"10,086",6,28,프랑스,프랑스,(주)영화사 진진
28,길고 긴 여름날,,"571,000",0.0%,"571,000",100.0%,"5,646,000",283,283,100.0%,"2,798",1,12,미국,미국,
29,뮤지컬 홀리데이 인,2017-12-20,"4,735,000",0.1%,"4,735,000",100.0%,"11,991,900",266,266,100.0%,"1,212",30,112,미국,미국,C 무비
30,공포분자,2020-09-17,"2,192,500",0.0%,"2,192,500",100.0%,"4,515,500",261,261,100.0%,664,6,15,기타,기타,(주)에이썸엔터테인먼트
31,반도,2020-07-15,"1,929,500",0.0%,"-38,593,370",-95.2%,"33,062,025,280",252,"-6,167",-96.1%,"3,810,649",29,96,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
32,고령가 소년 살인사건,2017-11-23,"2,594,000",0.0%,"2,594,000",100.0%,"129,277,500",247,247,100.0%,"9,778",4,10,대만,대만,(주)리틀빅픽쳐스
33,타이페이 스토리,2019-11-07,"2,037,500",0.0%,"2,037,500",100.0%,"38,003,920",239,239,100.0%,"4,695",7,18,대만,대만,(주)드림팩트엔터테인먼트
34,귀여운 빌리,,"447,000",0.0%,"447,000",100.0%,"3,880,000",221,221,100.0%,"1,849",1,9,미국,미국,
35,하나 그리고 둘,2000-10-28,"1,813,000",0.0%,"1,813,000",100.0%,"84,724,600",207,207,100.0%,"8,988",4,10,대만,"대만,일본",(주)리틀빅픽쳐스
36,이십일세기 소녀,2020-09-03,"1,864,000",0.0%,"982,000",111.3%,"3,016,000",198,100,102.0%,325,20,76,일본,일본,(주)디오시네마
37,이별식당,2020-08-27,"1,506,680",0.0%,"-2,248,380",-59.9%,"5,430,740",196,-225,-53.4%,685,24,97,한국,한국,"(주)에스와이코마드,아이 엠"
38,태백권,2020-08-20,"970,000",0.0%,"-1,397,500",-59.0%,"14,274,800",194,-128,-39.8%,"1,992",25,45,한국,한국,(주)드림팩트엔터테인먼트
39,7월7일,2020-09-02,"1,391,080",0.0%,"1,391,080",100.0%,"1,391,080",164,164,100.0%,164,18,76,한국,한국,(주)이놀미디어
40,워터 릴리스,2020-08-13,"1,332,000",0.0%,"-1,258,400",-48.6%,"97,711,032",145,-181,-55.5%,"11,433",9,31,프랑스,프랑스,(주)영화특별시에스엠씨
41,광음적고사,,"1,581,000",0.0%,"1,581,000",100.0%,"1,581,000",141,141,100.0%,141,1,1,대만,대만,(주)에이썸엔터테인먼트
42,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,2020-04-02,"1,146,070",0.0%,"254,870",28.6%,"100,813,570",140,27,23.9%,"12,511",7,12,일본,일본,동우에이앤이(주)
43,김비서는 정말 왜 그럴까?,2020-09-03,"650,000",0.0%,"650,000",100.0%,"650,000",138,138,100.0%,138,20,20,한국,한국,(주)컨텐츠 빌리지
44,영 앳 하트,,"266,000",0.0%,"198,000",291.2%,"9,439,000",133,99,291.2%,"4,488",1,3,미국,미국,
45,작은 소망,2020-08-13,"560,000",0.0%,"-775,500",-58.1%,"66,928,000",112,-101,-47.4%,"8,007",1,7,대만,"대만,중국",(주)콘텐츠판다
46,소년시절의 너,2020-07-09,"835,000",0.0%,"-1,540,000",-64.8%,"596,844,700",100,-178,-64.0%,"69,750",5,20,중국,중국,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
47,여름날,2020-08-20,"637,500",0.0%,"-497,000",-43.8%,"4,731,480",86,-57,-39.9%,588,8,28,한국,한국,영화배급협동조합 씨네소파
48,동아시아반일무장전선,2020-08-20,"578,000",0.0%,"-1,374,500",-70.4%,"5,950,000",78,-151,-65.9%,747,9,41,한국,한국,아이 엠
48,현기증,,"843,000",0.0%,"843,000",100.0%,"71,040,642",78,78,100.0%,"12,114",1,3,미국,미국,(주)영화사 안다미로
50,부다페스트 스토리,2020-08-13,"566,500",0.0%,"-1,656,300",-74.5%,"35,839,990",76,-240,-75.9%,"4,389",7,22,헝가리,헝가리,알토미디어(주)
51,"하루카, 노스탤지어",,"502,000",0.0%,"502,000",100.0%,"502,000",74,74,100.0%,74,1,2,일본,일본,
52,치어리딩 클럽,2020-09-10,"167,000",0.0%,"14,000",9.2%,"383,000",73,-2,-2.7%,156,1,7,캐나다,캐나다,찬란
