●32주차 (2019년 08월 05일 ~ 2019년 08월 11일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,엑시트,2019-07-31,"23,887,694,737",42.9%,"-691,250,928",-2.8%,"48,603,792,902","2,818,350","-125,146",-4.3%,"5,778,527","1,556","51,445",한국,한국,(주)씨제이이엔엠
2,봉오동 전투,2019-08-07,"17,322,980,393",31.1%,"17,217,040,173",16251.7%,"17,428,920,613","2,020,973","2,009,627",17712.2%,"2,032,319","1,476","30,460",한국,한국,(주)쇼박스
3,사자,2019-07-31,"3,041,239,180",5.5%,"-6,018,696,145",-66.4%,"12,245,981,605","361,433","-788,541",-68.6%,"1,527,726","1,044","15,881",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
4,마이펫의 이중생활 2,2019-07-31,"2,279,153,620",4.1%,"-2,531,099,645",-52.6%,"7,136,733,885","295,572","-336,831",-53.3%,"933,513",782,"10,101",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,브링 더 소울 : 더 무비,2019-08-07,"2,363,896,100",4.2%,"2,358,946,100",47655.5%,"2,368,846,100","273,614","273,164",60703.1%,"274,064",569,"7,088",한국,한국,"CGV ICECON,월트디즈니컴퍼니코리아 유한책임회사"
6,알라딘,2019-05-23,"1,763,511,440",3.2%,"-2,891,214,930",-62.1%,"105,990,869,089","209,228","-359,829",-63.2%,"12,440,282",679,"6,803",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,라이온 킹,2019-07-17,"1,508,749,580",2.7%,"-4,801,128,200",-76.1%,"41,051,484,140","184,053","-609,448",-76.8%,"4,684,247",811,"7,531",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,레드슈즈,2019-07-25,"1,048,684,410",1.9%,"-1,370,390,390",-56.6%,"5,166,225,810","136,423","-181,170",-57.0%,"663,766",521,"4,066",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
9,앵그리 버드 2: 독수리 왕국의 침공,2019-08-07,"994,639,333",1.8%,"948,902,333",2074.7%,"1,040,376,333","129,448","124,367",2447.7%,"134,529",512,"4,497",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
10,김복동,2019-08-08,"232,571,140",0.4%,"220,873,940",1888.3%,"252,440,340","27,053","25,617",1783.9%,"29,397",366,"2,110",한국,한국,(주)엣나인필름
11,존 윅 3: 파라벨룸,2019-06-26,"69,369,100",0.1%,"4,024,660",6.2%,"8,133,263,320","24,752","14,076",131.8%,"973,646",25,317,미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
12,스파이더맨: 파 프롬 홈,2019-07-02,"158,170,930",0.3%,"-844,382,450",-84.2%,"68,964,294,370","18,993","-105,003",-84.7%,"8,015,650",184,869,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
