●18주차 (2021년 05월 03일 ~ 2021년 05월 09일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,크루즈 패밀리: 뉴 에이지,2021-05-05,"1,424,320,790",18.6%,"1,389,647,790",4007.9%,"1,458,993,790","161,308","157,716",4390.8%,"164,900","1,082","12,434",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2,비와 당신의 이야기,2021-04-28,"1,171,255,300",15.3%,"-386,974,700",-24.8%,"2,743,330,300","123,899","-49,445",-28.5%,"298,790",898,"14,430",한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
3,더 스파이,2021-04-28,"926,870,760",12.1%,"-192,913,770",-17.2%,"2,098,265,790","97,574","-27,239",-21.8%,"228,428",703,"10,297",미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
4,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"648,784,850",8.5%,"-16,971,520",-2.5%,"18,871,882,700","66,767","-4,091",-5.8%,"1,960,089",548,"5,462",일본,일본,워터홀컴퍼니(주)
5,미나리,2021-03-03,"556,314,620",7.3%,"-205,045,770",-26.9%,"9,823,051,890","61,842","-25,456",-29.2%,"1,088,731",581,"6,707",미국,미국,판씨네마(주)
6,내일의 기억,2021-04-21,"497,595,970",6.5%,"-471,595,580",-48.7%,"2,689,548,580","51,374","-60,338",-54.0%,"299,152",564,"6,529",한국,한국,"(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)"
7,극장판 콩순이: 장난감나라 대모험,2021-05-05,"447,860,500",5.9%,"447,860,500",100.0%,"447,860,500","50,926","50,926",100.0%,"50,926",690,"4,652",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,내가 죽기를 바라는 자들,2021-05-05,"403,517,600",5.3%,"403,517,600",100.0%,"403,517,600","43,032","43,032",100.0%,"43,032",669,"6,979",미국,미국,워너브러더스 코리아(주)
9,명탐정 코난: 비색의 탄환,2021-04-16,"311,217,370",4.1%,"-91,989,200",-22.8%,"1,970,502,280","33,725","-10,465",-23.7%,"209,227",376,"2,670",일본,일본,(주)씨제이이엔엠
10,해리포터와 아즈카반의 죄수,2004-07-16,"272,647,520",3.6%,"272,647,520",100.0%,"11,728,493,020","27,612","27,612",100.0%,"1,860,994",182,"1,211",미국,미국,워너브러더스 코리아(주)
11,아이들은 즐겁다,2021-05-05,"116,866,930",1.5%,"97,113,930",491.6%,"139,689,930","13,710","11,153",436.2%,"16,881",445,"2,555",한국,한국,"메가박스중앙(주)플러스엠,(주)영화사울림"
12,노매드랜드,2021-04-15,"125,942,660",1.6%,"-71,687,640",-36.3%,"598,231,550","13,300","-8,617",-39.3%,"63,642",167,"1,267",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
13,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,2021-04-28,"105,007,600",1.4%,"11,253,800",12.0%,"200,545,400","12,711","1,257",11.0%,"24,396",195,"1,201",영국,영국,주식회사 컨텐츠썬
14,마크맨,2021-04-28,"69,932,400",0.9%,"-49,126,400",-41.3%,"189,712,200","9,584","-5,663",-37.1%,"24,934",209,"1,721",미국,미국,(주)디스테이션
15,베르테르,2021-05-05,"152,047,500",2.0%,"152,047,500",100.0%,"152,047,500","8,574","8,574",100.0%,"8,574",68,487,한국,한국,CGV ICECON
16,"그 시절, 우리가 좋아했던 소녀",2012-08-22,"26,359,350",0.3%,"-4,992,720",-15.9%,"415,989,190","3,646",-705,-16.2%,"58,618",105,550,대만,대만,"(주)이놀미디어,(주)드림팩트엔터테인먼트,(주)미로스페이스,씨너스엔터테인먼트(주),(주)미로비젼,(주)박수엔터테인먼트"
17,더 파더,2021-04-07,"29,535,570",0.4%,"-6,541,060",-18.1%,"355,969,980","3,482",-908,-20.7%,"41,584",82,402,영국,영국,판씨네마(주)
18,학교 가는 길,2021-05-05,"26,667,700",0.3%,"15,207,700",132.7%,"53,314,700","3,342","1,887",129.7%,"6,671",90,394,한국,한국,(주)영화사 진진
19,자산어보,2021-03-31,"28,287,200",0.4%,"-49,216,660",-63.5%,"2,976,335,190","3,333","-5,713",-63.2%,"336,085",164,565,한국,한국,메가박스중앙(주)플러스엠
20,화녀,1971-04-01,"15,148,500",0.2%,"8,285,000",120.7%,"22,012,000","2,159","1,139",111.7%,"3,179",43,338,한국,한국,(주)다자인소프트
21,8월의 크리스마스,1998-01-24,"19,597,000",0.3%,"19,597,000",100.0%,"211,545,100","2,028","2,028",100.0%,"30,174",54,377,한국,한국,"한국영상투자개발(주),(주)싸이더스"
22,어른들은 몰라요,2021-04-15,"18,532,660",0.2%,"-33,726,540",-64.5%,"332,871,850","1,831","-3,616",-66.4%,"34,126",80,331,한국,한국,(주)리틀빅픽쳐스
23,내겐 너무 소중한 너,2021-05-12,"15,600,000",0.2%,"3,040,000",24.2%,"28,160,000","1,689",310,22.5%,"3,068",4,15,한국,한국,(주)파인스토리
24,새해전야,2021-02-10,"8,310,000",0.1%,"8,310,000",100.0%,"1,572,183,850","1,662","1,662",100.0%,"171,500",7,8,한국,한국,(주)에이스메이커무비웍스
25,바람과 함께 사라지다,1972-12-23,"12,737,790",0.2%,"-12,315,980",-49.2%,"100,386,560","1,401","-1,458",-51.0%,"28,230",45,184,미국,미국,(주)피터팬픽쳐스
26,고질라 VS. 콩,2021-03-25,"13,257,690",0.2%,"-21,419,160",-61.8%,"6,770,172,530","1,367","-2,265",-62.4%,"703,083",54,167,미국,미국,워너브러더스 코리아(주)
27,배드 헤어,2021-05-05,"9,736,350",0.1%,"9,736,350",100.0%,"9,736,350","1,252","1,252",100.0%,"1,252",30,136,미국,미국,(주)디스테이션
28,적호서생,2021-04-29,"8,701,670",0.1%,"-5,978,020",-40.7%,"23,381,360","1,207",-898,-42.7%,"3,312",22,236,중국,중국,찬란
29,"좋은 빛, 좋은 공기",2021-04-28,"9,538,000",0.1%,"-6,066,570",-38.9%,"28,430,570","1,096",-830,-43.1%,"3,448",53,212,한국,한국,(주)엣나인필름
30,듄: 드리프터,2021-04-28,"5,255,000",0.1%,"3,512,000",201.5%,"6,998,000","1,038",764,278.8%,"1,312",46,88,영국,영국,(주)스토리제이
31,윈드 리버: 감독판,2017-09-21,"6,761,970",0.1%,"6,761,970",100.0%,"66,562,570",977,977,100.0%,"8,551",35,197,미국,미국,"(주)다자인소프트,(주)유로커뮤니케이션"
32,바그다드 카페 : 디렉터스컷,2016-07-14,"6,120,500",0.1%,"-3,582,500",-36.9%,"168,567,309",933,-591,-38.8%,"23,286",16,192,독일,"독일,미국","주식회사 왓챠,(주)팝엔터테인먼트"
33,파리의 별빛 아래,2021-05-05,"8,137,570",0.1%,"6,947,570",583.8%,"9,327,570",910,791,664.7%,"1,029",34,176,프랑스,프랑스,판씨네마(주)
34,미션 파서블,2021-02-17,"4,480,000",0.1%,"2,254,000",101.3%,"4,064,406,600",896,460,105.5%,"447,059",2,3,한국,한국,(주)메리크리스마스
35,노바디,2021-04-07,"5,937,870",0.1%,"-25,894,480",-81.3%,"1,272,385,750",887,"-2,463",-73.5%,"133,547",52,122,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
