●14주차 (2021년 04월 05일 ~ 2021년 04월 11일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,자산어보,2021-03-31,"842,286,590",18.6%,"-537,065,190",-38.9%,"2,250,524,370","92,719","-67,161",-42.0%,"255,560",993,"15,819",한국,한국,메가박스중앙(주)플러스엠
2,고질라 VS. 콩,2021-03-25,"875,302,480",19.4%,"-1,376,343,040",-61.1%,"6,278,466,220","89,027","-149,287",-62.6%,"652,427",837,"14,301",미국,미국,워너브러더스 코리아(주)
3,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"719,879,570",15.9%,"-210,800,760",-22.7%,"15,919,489,460","72,912","-26,688",-26.8%,"1,654,373",627,"8,087",일본,일본,워터홀컴퍼니(주)
4,노바디,2021-04-07,"634,193,360",14.0%,"615,517,360",3295.8%,"654,584,360","64,931","62,263",2333.7%,"67,844",505,"6,887",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,모탈 컴뱃,2021-04-08,"308,460,310",6.8%,"308,460,310",100.0%,"308,460,310","29,517","29,517",100.0%,"29,517",702,"6,621",미국,미국,워너브러더스 코리아(주)
6,미나리,2021-03-03,"229,046,090",5.1%,"-249,403,960",-52.1%,"8,125,436,150","24,914","-30,794",-55.3%,"898,081",488,"4,537",미국,미국,판씨네마(주)
7,더 파더,2021-04-07,"128,638,270",2.8%,"120,971,270",1577.8%,"150,004,770","14,808","13,903",1536.2%,"17,150",348,"2,515",영국,영국,판씨네마(주)
8,더 박스,2021-03-24,"62,267,030",1.4%,"-170,378,930",-73.2%,"916,554,460","8,700","-24,179",-73.5%,"117,302",30,134,한국,한국,(주)씨네필운
9,타인의 친절,2021-04-07,"47,985,650",1.1%,"44,670,650",1347.5%,"51,915,650","5,787","5,385",1339.6%,"6,230",141,844,영국,영국,그린나래미디어(주)
10,"조제, 호랑이 그리고 물고기들",2021-03-31,"53,078,160",1.2%,"-88,150,240",-62.4%,"195,134,560","5,651","-10,289",-64.5%,"21,683",291,"1,496",일본,일본,(주)팝엔터테인먼트
11,팅커 테일러 솔저 스파이,2012-02-09,"46,895,100",1.0%,"41,325,100",741.9%,"715,628,300","5,437","4,888",890.3%,"94,972",146,904,영국,"영국,프랑스,독일","(주)드림팩트엔터테인먼트,팝엔터테인먼트"
12,비밀의 정원,2021-04-08,"37,205,240",0.8%,"33,748,240",976.2%,"43,566,240","4,548","4,153",1051.4%,"5,277",159,680,한국,한국,필름다빈
13,라야와 마지막 드래곤,2021-03-04,"38,118,270",0.8%,"-55,584,050",-59.3%,"2,929,684,550","4,172","-6,280",-60.1%,"316,986",141,566,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
14,아무도 없는 곳,2021-03-31,"38,105,690",0.8%,"-76,592,190",-66.8%,"155,161,570","4,164","-9,445",-69.4%,"18,035",256,"1,213",한국,한국,(주)엣나인필름
15,피넛 버터 팔콘,2021-04-07,"35,305,560",0.8%,"32,855,560",1341.0%,"43,611,560","3,806","3,544",1352.7%,"4,698",141,811,미국,미국,(주)팝엔터테인먼트
16,최면,2021-03-24,"31,876,990",0.7%,"-92,177,520",-74.3%,"492,950,830","3,445","-10,442",-75.2%,"53,995",104,682,한국,한국,(주)스마일이엔티
17,해길랍,2021-03-31,"29,752,750",0.7%,"-56,606,480",-65.5%,"116,607,980","3,072","-6,916",-69.2%,"13,123",157,691,기타,기타,오드
18,부활: 그 증거,2020-10-08,"24,900,000",0.6%,"2,858,000",13.0%,"318,160,320","2,625",-86,-3.2%,"39,120",19,59,한국,한국,(주)영화사 진진
19,더스트맨,2021-04-07,"15,961,370",0.4%,"13,585,370",571.8%,"20,937,370","2,591","2,341",936.4%,"3,180",47,245,한국,한국,(주)트리플픽쳐스
20,소울,2021-01-20,"24,687,460",0.5%,"-23,321,770",-48.6%,"18,993,365,580","2,467","-2,623",-51.5%,"2,043,645",70,392,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
21,"사랑하고 사랑받고, 차고 차이고",2021-04-08,"23,641,640",0.5%,"22,441,640",1870.1%,"24,841,640","2,374","2,224",1482.7%,"2,524",91,532,일본,일본,(주)라이크콘텐츠
22,메이헴,2021-04-08,"12,100,000",0.3%,"12,100,000",100.0%,"12,100,000","2,155","2,155",100.0%,"2,155",37,295,미국,미국,주식회사 컨텐츠썬
23,당신의 사월,2021-04-01,"13,785,040",0.3%,"4,656,840",51.0%,"33,173,740","2,109",997,89.7%,"4,403",57,270,한국,한국,(주)시네마달
24,턴: 더 스트릿,2021-03-31,"9,357,000",0.2%,"4,272,000",84.0%,"15,333,000","1,832","1,130",161.0%,"2,633",47,157,한국,한국,(주)26컴퍼니
