●04주차 (2020년 01월 20일 ~ 2020년 01월 26일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,남산의 부장들,2020-01-22,"23,233,232,690",51.3%,"23,209,637,690",98366.8%,"23,256,827,690","2,602,134","2,599,619",103364.6%,"2,604,649","1,659","41,983",한국,한국,(주)쇼박스
2,히트맨,2020-01-22,"10,104,753,970",22.3%,"9,990,417,230",8737.7%,"10,221,186,710","1,135,126","1,122,277",8734.4%,"1,148,237","1,122","24,205",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
3,미스터 주: 사라진 VIP,2020-01-22,"3,339,764,240",7.4%,"3,310,219,240",11204.0%,"3,378,009,240","388,520","384,479",9514.5%,"393,857",692,"12,966",한국,한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
4,해치지않아,2020-01-15,"2,619,392,570",5.8%,"-3,966,976,210",-60.2%,"9,522,043,350","315,122","-461,394",-59.4%,"1,128,517","1,120","17,409",한국,한국,(주)에이스메이커무비웍스
5,스파이 지니어스,2020-01-22,"1,879,671,710",4.2%,"1,826,224,710",3416.9%,"1,967,111,710","224,301","218,678",3889.0%,"233,583",712,"8,952",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,닥터 두리틀,2020-01-08,"981,483,650",2.2%,"-3,328,388,590",-77.2%,"13,194,750,410","118,899","-405,743",-77.3%,"1,573,163",921,"9,773",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
7,나쁜 녀석들: 포에버,2020-01-15,"965,932,730",2.1%,"-2,684,693,440",-73.5%,"4,620,347,900","111,226","-290,928",-72.3%,"513,811",850,"8,928",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
8,백두산,2019-12-19,"347,398,380",0.8%,"-1,364,628,530",-79.7%,"69,747,400,040","42,161","-161,732",-79.3%,"8,242,478",605,"3,988",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
9,타오르는 여인의 초상,2020-01-16,"335,967,660",0.7%,"62,429,320",22.8%,"625,773,900","39,757","7,797",24.4%,"73,377",120,"1,375",프랑스,프랑스,"그린나래미디어(주),(주)홈초이스"
