순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,담보,2020-09-29,"12,795,873,520",30.8%,"14,086,584,280","1,477,446","1,643,295","1,342","92,343",한국,한국,(주)씨제이이엔엠
2,삼진그룹 영어토익반,2020-10-21,"6,793,494,880",16.4%,"6,793,494,880","785,395","785,395","1,615","63,416",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
3,소리도 없이,2020-10-15,"3,368,014,150",8.1%,"3,368,896,150","382,389","382,487","1,084","37,567",한국,한국,(주)에이스메이커무비웍스
4,국제수사,2020-09-29,"3,138,898,840",7.6%,"4,482,138,760","359,075","534,918","1,074","31,902",한국,한국,(주)쇼박스
5,그린랜드,2020-09-29,"2,265,512,630",5.5%,"2,762,958,520","258,780","323,064",779,"22,532",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
6,테넷,2020-08-26,"2,134,492,830",5.1%,"18,070,920,340","222,985","1,958,369",573,"15,513",미국,미국,워너브러더스 코리아(주)
7,미스터트롯: 더 무비,2020-10-22,"1,045,657,800",2.5%,"1,045,657,800","120,604","120,604",449,"11,118",한국,한국,(주)영화사 그램
8,언힌지드,2020-10-07,"1,007,645,720",2.4%,"1,008,527,720","116,531","116,629",676,"19,720",미국,미국,"(주)누리픽쳐스,(주)영화특별시에스엠씨"
9,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,"2,352,442,500",5.7%,"3,054,433,000","76,385","99,322",106,"4,138",한국,한국,씨제이포디플렉스 주식회사
10,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,2020-09-30,"551,695,050",1.3%,"748,680,510","68,752","93,336",554,"6,393",일본,일본,(주)이수C&E
11,죽지않는 인간들의 밤,2020-09-29,"556,022,930",1.3%,"841,097,440","65,034","101,726",551,"8,724",한국,한국,TCO(주)더콘텐츠온
12,검객,2020-09-23,"434,797,640",1.0%,"1,596,919,770","49,618","186,442",454,"5,503",한국,한국,"(주)키위미디어그룹,오퍼스픽쳐스(유),(주)씨네필운"
13,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"422,592,640",1.0%,"422,592,640","46,494","46,494",149,"2,694",일본,일본,(주)애니플러스
14,극장판 미니특공대: 햄버거괴물의 습격,2020-09-30,"356,868,610",0.9%,"427,579,320","44,231","52,999",414,"4,105",한국,한국,(주)리틀빅픽쳐스
15,브레이크 더 사일런스: 더 무비,2020-09-24,"352,447,000",0.8%,"1,160,249,000","39,615","131,693",141,"4,695",한국,한국,CGV ICECON
