순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
19,내겐 너무 소중한 너,2021-05-12,"199,479,620",0.5%,"212,039,620","22,342","23,721",449,"5,253",한국,한국,(주)파인스토리
20,아이들은 즐겁다,2021-05-05,"155,307,470",0.4%,"178,130,470","18,163","21,334",445,"3,695",한국,한국,"메가박스중앙(주)플러스엠,(주)영화사울림"
21,서복,2021-04-15,"173,289,430",0.4%,"3,630,093,450","17,692","385,509",502,"1,689",한국,한국,(주)씨제이이엔엠
22,마크맨,2021-04-28,"134,791,900",0.3%,"198,753,200","16,863","26,169",210,"3,040",미국,미국,(주)디스테이션
23,보이저스,2021-05-26,"116,826,460",0.3%,"116,826,460","14,189","14,189",387,"2,892",미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
24,학교 가는 길,2021-05-05,"103,762,710",0.3%,"130,409,710","13,530","16,859",90,"1,065",한국,한국,(주)영화사 진진
25,굴뚝마을의 푸펠,2021-05-26,"110,643,510",0.3%,"110,643,510","12,818","12,818",250,"1,985",일본,일본,"(주)리틀빅픽쳐스,(주)레드로버"
26,베르테르,2021-05-05,"223,809,000",0.5%,"223,809,000","12,646","12,646",68,"1,034",한국,한국,CGV ICECON
27,빅 피쉬,2004-03-05,"116,744,700",0.3%,"593,369,700","12,495","84,734",111,"1,751",미국,미국,"(주)팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜"
28,혼자 사는 사람들,2021-05-19,"93,992,500",0.2%,"93,992,500","10,517","10,517",159,"1,815",한국,한국,주식회사 더쿱
29,브리짓 존스의 일기,2001-09-01,"62,725,730",0.2%,"72,079,730","9,193","10,938",69,674,영국,영국,"(주)제이앤씨미디어그룹,UIP코리아"
30,자산어보,2021-03-31,"74,257,600",0.2%,"2,996,529,490","8,680","338,617",175,"1,233",한국,한국,메가박스중앙(주)플러스엠
31,슈퍼노바,2021-05-12,"71,787,740",0.2%,"73,057,740","8,512","8,667",184,"1,784",영국,영국,(주)디스테이션
32,더 파더,2021-04-07,"70,050,660",0.2%,"382,350,790","8,309","44,840",82,947,영국,영국,판씨네마(주)
33,링: 더 라스트 챕터,2021-05-12,"67,491,970",0.2%,"67,491,970","7,331","7,331",85,981,중국,중국,(주)박수엔터테인먼트
34,"좋은 빛, 좋은 공기",2021-04-28,"49,031,520",0.1%,"62,869,090","7,172","8,937",62,807,한국,한국,(주)엣나인필름
35,"그 시절, 우리가 좋아했던 소녀",2012-08-22,"46,715,530",0.1%,"419,208,090","6,454","59,059",109,946,대만,대만,"(주)이놀미디어,(주)드림팩트엔터테인먼트,(주)미로스페이스,씨너스엔터테인먼트(주),(주)미로비젼,(주)박수엔터테인먼트"
36,부활: 그 증거,2020-10-08,"46,544,000",0.1%,"391,684,820","5,296","47,269",15,144,한국,한국,(주)영화사 진진
37,애플,2021-05-26,"35,802,060",0.1%,"35,802,060","4,759","4,759",85,634,기타,기타,(주)다자인소프트
38,미스,2021-05-12,"35,850,730",0.1%,"35,850,730","4,362","4,362",105,839,프랑스,프랑스,"예지림엔터테인먼트,주식회사 더쿱"
39,화녀,1971-04-01,"28,032,500",0.1%,"28,032,500","4,084","4,084",43,699,한국,한국,(주)다자인소프트
40,어른들은 몰라요,2021-04-15,"40,970,450",0.1%,"338,063,850","4,033","34,660",85,650,한국,한국,(주)리틀빅픽쳐스
41,500일의 썸머,2010-01-21,"36,608,390",0.1%,"2,342,576,290","3,969","295,428",111,673,미국,미국,"(주)스튜디오디에이치엘,(주)팝엔터테인먼트,이십세기폭스코리아(주)"
42,바람과 함께 사라지다,1972-12-23,"36,598,180",0.1%,"108,831,910","3,939","29,310",52,455,미국,미국,(주)피터팬픽쳐스
43,범털 2: 쩐의 전쟁,2021-05-13,"20,614,890",0.1%,"20,614,890","3,783","3,783",30,329,한국,한국,(주)피터팬픽쳐스
44,클래식,2003-01-30,"32,670,000",0.1%,"136,799,400","3,667","18,907",26,329,한국,한국,(주)시네마서비스
45,"2021 스웨그 에이지 : 외쳐, 조선!",2021-05-13,"32,588,600",0.1%,"32,588,600","3,371","3,371",34,572,한국,한국,(주)위즈온센
46,비커밍 아스트리드,2021-05-12,"28,638,470",0.1%,"30,420,470","3,259","3,457",70,790,기타,기타,알토미디어(주)
47,8월의 크리스마스,1998-01-24,"31,374,000",0.1%,"223,322,100","3,225","31,371",54,643,한국,한국,"한국영상투자개발(주),(주)싸이더스"
48,꼬마 마법사 레미 : 견습 마법사를 찾아서,2021-05-19,"35,949,300",0.1%,"35,949,300","3,190","3,190",65,552,일본,일본,(주)얼리버드픽쳐스
49,고질라 VS. 콩,2021-03-25,"31,009,410",0.1%,"6,771,384,130","3,172","703,235",62,337,미국,미국,워너브러더스 코리아(주)
50,쇼크 웨이브 2,2021-05-20,"16,959,300",0.0%,"16,959,300","3,130","3,130",61,312,중국,중국,(주)누리픽쳐스
51,적호서생,2021-04-29,"21,577,420",0.1%,"30,667,640","3,062","4,373",23,437,중국,중국,찬란
52,"쿠오바디스,아이다",2021-05-19,"24,908,940",0.1%,"26,373,940","2,953","3,133",44,521,기타,기타,M&M 인터내셔널
53,인트로덕션,2021-05-27,"23,818,690",0.1%,"23,818,690","2,651","2,651",91,573,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
54,바그다드 카페 : 디렉터스컷,2016-07-14,"16,671,000",0.0%,"175,002,309","2,524","24,273",16,455,독일,"독일,미국","주식회사 왓챠,(주)팝엔터테인먼트"
55,쿠사마 야요이: 무한의 세계,2021-05-19,"19,863,670",0.0%,"21,493,670","2,425","2,588",38,440,미국,미국,오드
56,신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,2021-05-22,"34,841,000",0.1%,"34,841,000","2,325","2,325",55,432,한국,한국,(주)씨제이이엔엠
57,프로페서 앤 매드맨,2021-06-02,"20,832,000",0.1%,"20,832,000","2,195","2,195",8,19,미국,미국,그린나래미디어(주)
58,듄: 드리프터,2021-04-28,"11,175,000",0.0%,"12,048,000","2,178","2,322",46,199,영국,영국,(주)스토리제이
59,노바디,2021-04-07,"16,849,040",0.0%,"1,274,881,750","2,161","134,037",59,264,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
60,라라랜드,2016-12-07,"14,432,000",0.0%,"30,970,712,708","2,047","3,755,821",14,268,미국,미국,판씨네마(주)
61,크라이시스,2021-05-20,"10,232,500",0.0%,"10,232,500","2,000","2,000",50,113,독일,독일,(주)누리픽쳐스
62,윈드 리버: 감독판,2017-09-21,"13,594,470",0.0%,"73,395,070","1,973","9,547",35,510,미국,미국,"(주)다자인소프트,(주)유로커뮤니케이션"
63,배드 헤어,2021-05-05,"13,857,140",0.0%,"13,857,140","1,869","1,869",30,214,미국,미국,(주)디스테이션
64,키퍼스,2021-05-12,"16,431,340",0.0%,"16,431,340","1,784","1,784",97,756,영국,영국,(주)이놀미디어
65,파이터,2021-03-18,"8,754,000",0.0%,"56,810,090","1,748","8,048",3,8,한국,한국,㈜인디스토리
66,더 박스,2021-03-24,"10,264,940",0.0%,"951,294,340","1,710","122,469",13,126,한국,한국,(주)씨네필운
67,레 미제라블,2021-04-15,"13,851,850",0.0%,"86,544,840","1,676","10,530",31,284,프랑스,프랑스,(주)영화사 진진
68,새해전야,2021-02-10,"8,310,000",0.0%,"1,572,183,850","1,662","171,500",7,8,한국,한국,(주)에이스메이커무비웍스
69,유다 그리고 블랙 메시아,2021-04-22,"13,977,040",0.0%,"75,381,330","1,659","8,841",61,335,미국,미국,워너브러더스 코리아(주)
70,라야와 마지막 드래곤,2021-03-04,"15,773,630",0.0%,"2,974,562,390","1,619","321,773",16,125,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
71,컨저링 2,2016-06-09,"15,499,490",0.0%,"15,774,873,719","1,597","1,930,202",73,366,미국,미국,워너브러더스 코리아(주)
72,토토리! 우리 둘만의 여름,2021-05-19,"13,599,580",0.0%,"13,599,580","1,450","1,450",63,378,노르웨이,노르웨이,(주)팝엔터테인먼트
73,컨저링,2013-09-17,"13,424,590",0.0%,"16,366,650,367","1,437","2,264,195",69,344,미국,미국,워너브러더스 코리아(주)
74,파리의 별빛 아래,2021-05-05,"12,523,350",0.0%,"13,713,350","1,435","1,554",34,403,프랑스,프랑스,판씨네마(주)
75,더 랍스터,2015-10-29,"10,202,680",0.0%,"501,232,420","1,415","60,841",36,273,영국,"영국,그리스,아일랜드,네덜란드,프랑스","(주)팝엔터테인먼트,(주)영화사오원,(주)브리즈픽처스"
76,어쌔신 프리스트 벡맨,2021-05-05,"6,961,500",0.0%,"6,961,500","1,366","1,366",50,75,미국,미국,라온아이(주)
77,베르나르다 알바,2021-04-28,"26,502,000",0.1%,"37,550,500","1,299","1,865",25,326,한국,한국,(주)트리플픽쳐스
78,1917,2020-02-19,"8,868,500",0.0%,"7,941,793,360","1,281","879,410",13,223,미국,미국,(주)스마일이엔티
79,푸드 몬스터,2021-05-19,"9,922,860",0.0%,"9,922,860","1,142","1,142",62,211,중국,중국,(주)이놀미디어
80,소울,2021-01-20,"9,718,490",0.0%,"19,032,294,740","1,071","2,047,875",17,117,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
81,부활,2020-07-09,"7,428,000",0.0%,"177,638,250",965,"22,381",4,23,한국,한국,(주)중헌홀딩스
82,"조제, 호랑이 그리고 물고기들",2021-03-31,"8,560,200",0.0%,"220,048,440",939,"24,266",2,37,일본,일본,(주)팝엔터테인먼트
83,미션 파서블,2021-02-17,"4,480,000",0.0%,"4,064,406,600",896,"447,059",2,3,한국,한국,(주)메리크리스마스
