순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,서복,2021-04-15,"3,455,929,020",14.7%,"3,456,804,020","367,692","367,817","1,382","47,827",한국,한국,(주)씨제이이엔엠
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"3,365,734,960",14.3%,"17,894,567,540","346,572","1,859,844",642,"30,629",일본,일본,워터홀컴퍼니(주)
3,고질라 VS. 콩,2021-03-25,"2,953,464,400",12.5%,"6,740,374,720","299,183","700,063","1,053","35,304",미국,미국,워너브러더스 코리아(주)
4,자산어보,2021-03-31,"2,668,483,040",11.3%,"2,922,271,890","292,099","329,937","1,195","45,386",한국,한국,메가박스중앙(주)플러스엠
5,내일의 기억,2021-04-21,"1,793,467,140",7.6%,"1,793,467,140","207,234","207,234",957,"25,594",한국,한국,"(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)"
6,명탐정 코난: 비색의 탄환,2021-04-16,"1,449,082,690",6.2%,"1,449,082,690","153,095","153,095",844,"18,403",일본,일본,(주)씨제이이엔엠
7,미나리,2021-03-03,"1,268,519,380",5.4%,"8,882,773,350","142,406","985,589",596,"17,707",미국,미국,판씨네마(주)
8,노바디,2021-04-07,"1,237,641,710",5.3%,"1,258,032,710","128,963","131,876",577,"19,565",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
9,비와 당신의 이야기,2021-04-28,"688,073,550",2.9%,"688,073,550","83,585","83,585",952,"9,295",한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
10,더 스파이,2021-04-28,"506,970,290",2.2%,"506,970,290","62,028","62,028",629,"5,518",미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
11,노매드랜드,2021-04-15,"384,449,080",1.6%,"384,449,080","41,407","41,407",181,"4,831",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,모탈 컴뱃,2021-04-08,"417,212,150",1.8%,"417,212,150","40,461","40,461",702,"10,541",미국,미국,워너브러더스 코리아(주)
13,더 파더,2021-04-07,"295,197,630",1.3%,"312,300,130","34,651","36,531",348,"5,584",영국,영국,판씨네마(주)
14,어른들은 몰라요,2021-04-15,"295,311,400",1.3%,"297,093,400","30,429","30,627",209,"3,926",한국,한국,(주)리틀빅픽쳐스
15,더 박스,2021-03-24,"193,555,670",0.8%,"941,029,400","27,561","120,759",49,433,한국,한국,(주)씨네필운
16,"조제, 호랑이 그리고 물고기들",2021-03-31,"182,786,930",0.8%,"211,488,240","19,326","23,327",399,"4,219",일본,일본,(주)팝엔터테인먼트
17,라야와 마지막 드래곤,2021-03-04,"144,628,990",0.6%,"2,958,788,760","15,836","320,154",198,"1,636",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
18,아무도 없는 곳,2021-03-31,"139,182,790",0.6%,"172,045,200","15,237","19,967",353,"3,553",한국,한국,(주)엣나인필름
19,최면,2021-03-24,"101,901,510",0.4%,"501,702,120","10,801","54,919",162,"1,630",한국,한국,(주)스마일이엔티
20,해길랍,2021-03-31,"94,620,750",0.4%,"121,112,390","9,794","13,701",210,"1,846",기타,기타,오드
21,마크맨,2021-04-28,"63,961,300",0.3%,"63,961,300","9,306","9,306",209,"1,558",미국,미국,(주)디스테이션
22,타인의 친절,2021-04-07,"75,257,890",0.3%,"76,763,890","9,011","9,151",141,"1,563",영국,영국,그린나래미디어(주)
23,레 미제라블,2021-04-15,"71,299,990",0.3%,"72,692,990","8,645","8,854",97,"1,313",프랑스,프랑스,(주)영화사 진진
24,소울,2021-01-20,"82,750,190",0.4%,"19,022,576,250","8,525","2,046,804",70,"1,169",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
25,팅커 테일러 솔저 스파이,2012-02-09,"72,688,200",0.3%,"739,415,400","8,230","97,612",146,"1,728",영국,"영국,프랑스,독일","(주)드림팩트엔터테인먼트,팝엔터테인먼트"
26,부활: 그 증거,2020-10-08,"71,180,500",0.3%,"345,140,820","7,911","41,973",24,202,한국,한국,(주)영화사 진진
27,비밀의 정원,2021-04-08,"60,543,690",0.3%,"63,447,690","7,515","7,849",159,"1,379",한국,한국,필름다빈
28,유다 그리고 블랙 메시아,2021-04-22,"61,404,290",0.3%,"61,404,290","7,182","7,182",154,"1,697",미국,미국,워너브러더스 코리아(주)
29,"사랑하고 사랑받고, 차고 차이고",2021-04-08,"63,956,610",0.3%,"65,156,610","6,876","7,026",91,"1,412",일본,일본,(주)라이크콘텐츠
30,당신의 사월,2021-04-01,"45,388,620",0.2%,"58,349,120","6,107","7,589",59,793,한국,한국,(주)시네마달
31,패왕별희 디 오리지널,2017-03-30,"65,394,930",0.3%,"1,014,093,890","5,830","110,781",88,"1,012",중국,중국,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
32,피넛 버터 팔콘,2021-04-07,"47,446,400",0.2%,"55,752,400","5,192","6,084",141,"1,278",미국,미국,(주)팝엔터테인먼트
33,코스믹 씬,2021-04-22,"31,711,810",0.1%,"31,711,810","4,982","4,982",53,343,미국,미국,(주)제이앤씨미디어그룹
