순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,도굴,2020-11-04,"12,613,794,610",39.2%,"12,626,814,610","1,378,476","1,379,944","1,635","108,697",한국,한국,(주)씨제이이엔엠
2,삼진그룹 영어토익반,2020-10-21,"7,081,575,260",22.0%,"13,875,070,140","773,080","1,558,475","1,588","72,884",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
3,내가 죽던 날,2020-11-12,"2,104,862,880",6.5%,"2,104,862,880","229,425","229,425",909,"28,450",한국,한국,워너브러더스 코리아(주)
4,이웃사촌,2020-11-25,"1,880,560,860",5.8%,"1,880,560,860","220,936","220,936","1,363","24,785",한국,한국,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
5,런,2020-11-20,"1,831,298,990",5.7%,"1,831,298,990","198,340","198,340",799,"20,949",미국,미국,(주)올스타엔터테인먼트
6,담보,2020-09-29,"651,345,270",2.0%,"14,737,929,550","74,469","1,717,764",620,"9,302",한국,한국,(주)씨제이이엔엠
7,노트북,2004-11-26,"364,973,240",1.1%,"4,620,519,440","41,060","649,612",144,"4,600",미국,미국,"(주)퍼스트런,TCO(주)더콘텐츠온,글뫼 주식회사,CJ ENM"
8,극장판 바이올렛 에버가든,2020-11-12,"345,469,070",1.1%,"345,469,070","40,458","40,458",131,"3,054",일본,일본,(주)라이크콘텐츠
9,프리키 데스데이,2020-11-25,"324,689,620",1.0%,"324,689,620","37,972","37,972",631,"8,679",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
10,테넷,2020-08-26,"314,162,390",1.0%,"18,385,082,730","32,539","1,990,908",135,"2,264",미국,미국,워너브러더스 코리아(주)
11,미스터트롯: 더 무비,2020-10-22,"241,728,100",0.8%,"1,287,385,900","29,307","149,911",255,"4,821",한국,한국,(주)영화사 그램
12,위플래쉬,2015-03-12,"260,848,760",0.8%,"13,129,712,365","27,732","1,642,366",482,"4,460",미국,미국,"워터홀컴퍼니(주),(주)쇼박스"
13,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"239,622,190",0.7%,"662,214,830","26,448","72,942",111,"2,469",일본,일본,(주)애니플러스
14,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,2020-11-12,"159,160,500",0.5%,"159,832,500","23,664","23,760",187,"2,346",영국,영국,와이드 릴리즈(주)
15,킹덤 오브 헤븐: 디렉터스 컷,2020-11-11,"210,307,800",0.7%,"212,512,800","22,674","22,844",117,"1,962",영국,영국,(주)영화사오원
16,애비규환,2020-11-12,"204,490,800",0.6%,"205,041,800","22,436","22,499",453,"4,668",한국,한국,(주)리틀빅픽쳐스
17,마리 퀴리,2020-11-18,"174,922,150",0.5%,"174,922,150","21,736","21,736",484,"4,806",프랑스,프랑스,(주)디스테이션
