순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,다만 악에서 구하소서,2020-08-05,"37,721,967,250",48.9%,"37,769,700,250","4,255,708","4,260,842","1,998","177,448",한국,한국,(주)씨제이이엔엠
2,강철비2: 정상회담,2020-07-29,"10,720,576,350",13.9%,"14,628,206,710","1,265,426","1,780,503","2,133","78,587",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
3,오케이 마담,2020-08-12,"10,790,021,200",14.0%,"10,790,021,200","1,205,199","1,205,199","1,288","77,692",한국,한국,메가박스중앙(주)플러스엠
4,테넷,2020-08-26,"6,496,393,320",8.4%,"6,496,393,320","714,412","714,412","2,228","52,256",미국,미국,워너브러더스 코리아(주)
5,반도,2020-07-15,"5,098,973,560",6.6%,"33,060,710,280","592,551","3,810,482","1,105","37,776",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
6,애니멀 크래커,2020-08-05,"1,023,705,340",1.3%,"1,025,703,340","129,006","129,228",473,"7,447",미국,미국,(주)이수C&E
7,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020-08-20,"783,086,840",1.0%,"783,086,840","96,235","96,235",661,"9,025",일본,일본,(주)씨제이이엔엠
8,알라딘,2019-05-23,"504,598,200",0.7%,"108,160,549,039","67,668","12,723,777",284,"3,824",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
9,빅샤크3: 젤리몬스터 대소동,2020-07-29,"478,069,820",0.6%,"562,220,660","61,721","72,849",400,"4,285",중국,중국,(주)팝엔터테인먼트
10,더 프린세스 : 도둑맞은 공주,2020-08-12,"445,053,060",0.6%,"456,826,060","54,517","55,746",423,"4,163",우크라이나,우크라이나,(주)팝엔터테인먼트
11,인셉션,2010-07-21,"463,360,340",0.6%,"44,859,223,140","52,887","5,998,201",174,"2,958",미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
12,반교: 디텐션,2020-08-13,"303,503,130",0.4%,"303,503,130","32,970","32,970",128,"2,701",기타,기타,(주)팝엔터테인먼트
