순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,남산의 부장들,2020-01-22,"33,670,891,220",23.4%,"33,670,891,220","3,874,419","3,874,419","1,659","80,854",한국,한국,(주)쇼박스
2,백두산,2019-12-19,"16,891,094,350",11.8%,"69,796,884,120","1,958,389","8,248,891","1,241","73,893",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
3,히트맨,2020-01-22,"16,122,374,840",11.2%,"16,122,374,840","1,874,016","1,874,016","1,122","48,942",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
4,닥터 두리틀,2020-01-08,"13,395,322,970",9.3%,"13,395,322,970","1,598,856","1,598,856","1,290","67,658",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,해치지않아,2020-01-15,"9,966,878,950",6.9%,"10,095,111,950","1,186,777","1,201,814","1,216","50,490",한국,한국,(주)에이스메이커무비웍스
6,천문: 하늘에 묻는다,2019-12-26,"8,678,111,110",6.0%,"16,486,354,060","1,029,221","1,994,845",929,"43,039",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
7,미드웨이,2019-12-31,"7,102,189,070",4.9%,"8,187,848,590","818,269","951,642",842,"32,438",미국,미국,(주)누리픽쳐스
8,시동,2019-12-18,"6,853,925,560",4.8%,"28,090,403,360","789,954","3,315,940",825,"34,718",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
9,미스터 주: 사라진 VIP,2020-01-22,"4,675,193,020",3.3%,"4,681,685,020","555,022","555,962",692,"22,398",한국,한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
10,나쁜 녀석들: 포에버,2020-01-15,"4,785,334,880",3.3%,"4,785,514,880","535,007","535,037",896,"28,775",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
11,스타워즈: 라이즈 오브 스카이워커,2020-01-08,"4,689,609,590",3.3%,"4,697,721,590","505,568","506,192",957,"28,535",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,스파이 지니어스,2020-01-22,"3,172,729,260",2.2%,"3,172,729,260","386,816","386,816",712,"15,889",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
13,겨울왕국 2,2019-11-21,"3,150,619,070",2.2%,"114,746,867,790","370,607","13,739,671",665,"15,779",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
14,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,"1,736,631,140",1.2%,"7,036,573,580","219,836","891,958",539,"8,477",한국,한국,(주)씨제이이엔엠
15,포드 V 페라리,2019-12-04,"1,285,057,780",0.9%,"11,897,071,460","141,128","1,349,535",204,"5,145",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
