순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,프리즌 이스케이프,2020-05-06,"1,473,137,400",11.9%,"1,473,137,400","171,325","171,325",547,"21,227",영국,"영국,호주",(주)이놀미디어
2,트롤: 월드 투어,2020-04-29,"948,236,420",7.7%,"1,138,660,480","121,988","148,220",344,"13,528",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
3,위대한 쇼맨,2017-12-20,"692,355,200",5.6%,"12,206,272,700","111,446","1,514,465",598,"11,980",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
4,패왕별희 디 오리지널,2017-03-30,"778,005,520",6.3%,"815,827,920","86,688","90,898",409,"10,229",중국,중국,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
5,레이니 데이 인 뉴욕,2020-05-06,"767,886,540",6.2%,"770,069,040","86,574","86,869",563,"15,663",미국,미국,"그린나래미디어(주),(주)버킷스튜디오"
6,저 산 너머,2020-04-30,"625,695,960",5.0%,"765,444,420","80,160","102,589",468,"11,943",한국,한국,(주)리틀빅픽쳐스
7,나의 청춘은 너의 것,2020-04-29,"563,027,820",4.5%,"713,593,520","64,725","84,290",533,"10,787",대만,대만,"오드,(주)홈초이스"
8,더 플랫폼,2020-05-13,"565,434,000",4.6%,"566,334,000","61,679","61,779",228,"8,549",스페인,스페인,(주)홈초이스
9,언더워터,2020-05-27,"488,702,980",3.9%,"488,702,980","58,251","58,251",594,"7,289",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,호텔 레이크,2020-04-29,"461,235,300",3.7%,"592,156,200","53,079","70,011",465,"8,163",한국,한국,(주)스마일이엔티
11,1917,2020-02-19,"385,565,660",3.1%,"7,855,406,320","43,507","868,746",332,"5,591",미국,미국,(주)스마일이엔티
12,마이 스파이,2020-04-29,"379,703,000",3.1%,"482,475,000","42,253","56,269",240,"6,422",미국,미국,(주)이수C&E
13,카페 벨에포크,2020-05-20,"355,202,780",2.9%,"356,102,780","41,930","42,005",463,"6,911",프랑스,프랑스,(주)이수C&E
14,콜 오브 와일드,2020-05-14,"296,393,380",2.4%,"296,393,380","34,835","34,835",505,"7,564",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
15,라라랜드,2016-12-07,"170,929,680",1.4%,"30,826,806,088","33,131","3,736,184",295,"4,760",미국,미국,판씨네마(주)
16,어벤져스: 엔드게임,2019-04-24,"194,817,360",1.6%,"122,492,181,020","27,221","13,977,602",479,"2,991",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
17,톰보이,2020-05-14,"238,905,080",1.9%,"249,647,080","26,516","27,936",361,"4,925",프랑스,프랑스,(주)영화특별시에스엠씨
18,캣츠토피아,2020-04-30,"170,038,520",1.4%,"200,291,660","20,206","23,885",367,"2,727",중국,중국,(주)버킷스튜디오
19,그집,2020-05-27,"158,830,440",1.3%,"158,830,440","19,455","19,455",392,"2,944",스페인,스페인,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
20,날씨의 아이,2019-10-30,"126,524,240",1.0%,"5,790,560,450","16,640","704,206",194,"2,390",일본,일본,"(주)미디어캐슬,워터홀컴퍼니(주)"
