순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,테넷,2020-08-26,"9,440,034,190",36.3%,"15,936,427,510","1,020,972","1,735,384","2,018","94,525",미국,미국,워너브러더스 코리아(주)
2,오! 문희,2020-09-02,"2,610,538,660",10.0%,"2,614,514,660","325,574","326,142","1,110","51,398",한국,한국,CGV아트하우스
3,뮬란,2020-09-17,"2,011,609,350",7.7%,"2,011,609,350","228,645","228,645","1,420","37,908",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,국제수사,2020-09-29,"1,343,185,920",5.2%,"1,343,239,920","175,843","175,843","1,074","9,173",한국,한국,(주)쇼박스
5,담보,2020-09-29,"1,290,710,760",5.0%,"1,290,710,760","165,849","165,849","1,036","8,497",한국,한국,(주)씨제이이엔엠
6,검객,2020-09-23,"1,162,122,130",4.5%,"1,162,122,130","136,824","136,824",832,"15,808",한국,한국,"(주)키위미디어그룹,오퍼스픽쳐스(유),(주)씨네필운"
7,디바,2020-09-23,"834,454,530",3.2%,"834,454,530","99,659","99,659",831,"17,856",한국,한국,메가박스중앙(주)플러스엠
8,다만 악에서 구하소서,2020-08-05,"815,288,860",3.1%,"38,584,989,110","94,390","4,355,232",656,"16,266",한국,한국,(주)씨제이이엔엠
9,브레이크 더 사일런스: 더 무비,2020-09-24,"807,802,000",3.1%,"807,802,000","92,078","92,078",205,"5,909",한국,한국,CGV ICECON
10,기기괴괴 성형수,2020-09-09,"791,991,200",3.0%,"793,566,200","89,175","89,350",276,"12,617",한국,한국,(주)트리플픽쳐스
11,그린랜드,2020-09-29,"497,445,890",1.9%,"497,445,890","64,284","64,284",604,"3,751",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
12,뉴 뮤턴트,2020-09-10,"546,115,880",2.1%,"546,115,880","61,897","61,897",817,"15,048",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
13,아웃포스트,2020-09-23,"357,336,640",1.4%,"357,336,640","42,264","42,264",454,"5,367",미국,미국,(주)제이앤씨미디어그룹
