●04주차 (2019년 01월 21일 ~ 2019년 01월 27일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
30,크리미널 게임: 보석 사기단,2019-01-23,"13,436,160",0.0%,"12,302,160",1084.8%,"14,570,160","1,628","1,502",1192.1%,"1,754",92,493,캐나다,캐나다,와이드 릴리즈(주)
31,쉰들러 리스트,1994-03-05,"11,727,250",0.0%,"11,727,250",100.0%,"11,727,250","1,399","1,399",100.0%,"1,399",14,59,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
32,파이널리스트,2019-01-24,"10,901,400",0.0%,"9,407,400",629.7%,"12,395,400","1,383","1,217",733.1%,"1,549",20,99,벨기에,벨기에,(주)트리플픽쳐스
33,우행록: 어리석은 자의 기록,2019-01-17,"11,084,650",0.0%,"-5,802,350",-34.4%,"37,183,250","1,376",-506,-26.9%,"4,226",29,156,일본,일본,(주)드림팩트엔터테인먼트
34,나바론 요새,1974-07-20,"2,568,000",0.0%,"2,568,000",100.0%,"21,798,104","1,284","1,284",100.0%,"11,207",1,8,미국,"미국,영국",
35,기묘한 가족,2019-02-13,"6,756,000",0.0%,"6,756,000",100.0%,"6,756,000","1,126","1,126",100.0%,"1,126",4,5,한국,한국,메가박스중앙(주)플러스엠
36,극장판 헬로카봇: 옴파로스 섬의 비밀,2019-01-31,"10,613,000",0.0%,"9,913,000",1416.1%,"11,313,000","1,123",983,702.1%,"1,263",2,4,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
37,행맨,2019-01-23,"8,310,710",0.0%,"4,062,710",95.6%,"12,558,710","1,057",585,123.9%,"1,529",63,323,미국,미국,(주)박수엔터테인먼트
38,스윙키즈,2018-12-19,"6,624,600",0.0%,"-26,365,130",-79.9%,"12,066,085,992","1,045","-3,877",-78.8%,"1,468,840",7,34,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
39,존 휴스턴 회고전-미스터 앨리슨,2008-03-15,"2,004,000",0.0%,"2,004,000",100.0%,"2,756,000","1,002","1,002",100.0%,"1,292",1,15,미국,미국,
40,"두 번째 여름, 두 번 다시 만날 수 없는 너",2019-01-23,"8,646,900",0.0%,"5,685,900",192.0%,"12,966,900",981,652,198.2%,"1,461",31,166,일본,일본,"(주)브리즈픽처스,(주)영화사오원"
41,레토,2019-01-03,"7,751,400",0.0%,"-12,774,430",-62.2%,"176,638,480",939,"-1,532",-62.0%,"20,279",18,91,러시아,"러시아,프랑스","(주)엣나인필름,플레이리스트(주)"
42,우리가족: 라멘샵,2019-01-31,"8,775,100",0.0%,"8,775,100",100.0%,"8,775,100",874,874,100.0%,874,3,6,싱가포르,싱가포르,(주)팝엔터테인먼트
43,캘러미티 제인,,"1,766,000",0.0%,"1,766,000",100.0%,"2,217,000",873,873,100.0%,"1,108",1,10,,,
44,PMC: 더 벙커,2018-12-26,"4,468,000",0.0%,"-30,799,050",-87.3%,"14,016,187,924",857,"-3,242",-79.1%,"1,670,156",20,46,한국,한국,(주)씨제이이엔엠
45,더 서치,2019-01-17,"5,633,750",0.0%,"-850,800",-13.1%,"14,127,800",782,-25,-3.1%,"1,788",17,80,프랑스,프랑스,(주)영화사오원
46,도어락,2018-12-05,"3,828,000",0.0%,"3,807,000",18128.6%,"12,802,828,486",764,760,19000.0%,"1,561,191",13,24,한국,한국,메가박스중앙(주)플러스엠
47,이차크의 행복한 바이올린,2018-12-20,"5,375,600",0.0%,"-5,171,600",-49.0%,"115,743,750",754,-711,-48.5%,"15,281",9,41,미국,미국,(주)영화사 진진
48,리지,2019-01-10,"5,684,000",0.0%,"-26,335,950",-82.2%,"80,731,400",726,"-3,112",-81.1%,"9,217",27,111,미국,미국,(주)팝엔터테인먼트
49,킬 존,2018-11-04,"3,425,000",0.0%,"3,425,000",100.0%,"3,427,000",685,685,100.0%,686,1,2,미국,미국,제인앤유
49,바울,2018-10-31,"5,331,900",0.0%,"1,347,200",33.8%,"2,130,406,800",685,231,50.9%,"271,530",6,34,미국,미국,(재)CBS
51,서부의 왕자,,"1,279,000",0.0%,"1,279,000",100.0%,"1,537,000",637,637,100.0%,766,1,14,미국,미국,
