순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
40,디에고,2019-12-12,"42,788,500",0.0%,"43,118,500","9,718","9,784",31,435,영국,영국,워터홀컴퍼니(주)
41,웃는남자 감독판,2019-11-29,"126,984,000",0.1%,"172,341,000","9,701","13,087",18,232,한국,한국,(주)디지컴코리아엠앤엠
42,사이코패스,2019-09-18,"30,030,080",0.0%,"62,031,400","9,646","21,603",3,44,미국,미국,제인앤유
43,숲속의 마녀들,2019-08-14,"28,514,480",0.0%,"66,017,200","9,392","22,362",3,40,미국,미국,제인앤유
44,트레킹: 저주의 숲,2019-07-04,"28,222,480",0.0%,"69,284,680","9,390","23,034",3,40,독일,독일,제인앤유
45,터미네이터: 다크 페이트,2019-10-30,"74,070,400",0.0%,"20,153,895,830","8,925","2,409,062",34,309,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
46,와일드라이프,2019-12-25,"68,640,760",0.0%,"68,640,760","8,676","8,676",49,388,미국,미국,"그린나래미디어(주),(주)키다리이엔티"
47,어제 일은 모두 괜찮아,2019-11-21,"49,244,780",0.0%,"130,530,280","8,535","17,756",12,191,한국,한국,(주)삼백상회
48,헤로니모,2019-11-21,"53,631,640",0.0%,"111,555,720","8,348","15,140",19,269,한국,"한국,미국",커넥트픽쳐스(주)
49,블랙 스완,2011-02-24,"69,645,660",0.0%,"12,556,186,160","7,994","1,631,512",46,687,미국,미국,"(주)영화사 그램,이십세기폭스코리아(주)"
50,날씨의 아이,2019-10-30,"61,909,140",0.0%,"5,413,288,410","7,720","655,876",16,311,일본,일본,"(주)미디어캐슬,워터홀컴퍼니(주)"
51,집 이야기,2019-11-28,"45,762,580",0.0%,"67,150,080","7,271","9,901",82,570,한국,한국,CGV아트하우스
52,매리,2019-12-11,"41,010,980",0.0%,"41,010,980","7,147","7,147",172,"1,325",미국,미국,(주)영화특별시에스엠씨
53,카센타,2019-11-27,"48,248,800",0.0%,"111,472,000","6,512","14,659",131,807,한국,한국,(주)트리플픽쳐스
54,러브 액츄얼리,2003-12-05,"54,917,480",0.0%,"2,199,641,188","6,077","313,397",21,219,미국,"미국,영국","(주)제이앤씨미디어그룹,와이드 릴리즈(주),UIP코리아,(유)조이앤시네마"
55,러브레터,1999-11-20,"51,060,222",0.0%,"827,849,214","5,568","107,390",22,193,일본,일본,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트"
56,오피셜 시크릿,2019-11-27,"44,844,400",0.0%,"105,679,300","5,423","13,163",125,865,영국,영국,(주)팬엔터테인먼트
57,월성,2019-12-12,"39,606,760",0.0%,"39,606,760","4,670","4,670",26,215,한국,한국,(주)리틀빅픽쳐스
58,드래곤 빌리지,2019-12-12,"27,760,900",0.0%,"27,760,900","4,160","4,160",82,299,터키,터키,와이드 릴리즈(주)
59,장사리 : 잊혀진 영웅들,2019-09-25,"19,749,000",0.0%,"8,997,921,050","3,850","1,140,876",6,69,한국,한국,워너브러더스 코리아(주)
60,대통령의 7시간,2019-11-14,"27,799,300",0.0%,"239,382,840","3,726","28,380",15,292,한국,한국,"(주)씨네포트,주식회사 마운틴픽쳐스"
61,파바로티,2020-01-01,"26,405,500",0.0%,"31,096,000","3,709","4,231",17,31,영국,영국,오드
62,너의 여자친구,2019-12-04,"21,916,400",0.0%,"34,412,400","3,456","4,854",74,444,한국,한국,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)"
63,벌새,2019-08-29,"25,853,729",0.0%,"1,175,866,074","3,305","144,740",7,116,한국,한국,"(주)엣나인필름,(주)콘텐츠판다"
64,어메이징 그레이스,2019-11-28,"23,825,160",0.0%,"41,636,700","3,150","5,362",25,318,미국,미국,(주)영화사 진진
65,삽질,2019-11-14,"22,584,100",0.0%,"121,341,530","3,017","15,276",14,144,한국,한국,(주)엣나인필름
66,행동하는 양심 김대중,2019-11-28,"22,978,400",0.0%,"43,239,360","2,986","5,476",84,457,한국,한국,주식회사 마운틴픽쳐스
67,산타 앤 컴퍼니,2019-12-12,"21,524,900",0.0%,"21,524,900","2,735","2,735",57,324,프랑스,프랑스,(주)디스테이션
68,겨울왕국,2014-01-16,"22,570,000",0.0%,"82,484,074,400","2,642","10,298,743",13,30,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
69,속물들,2019-12-12,"18,960,440",0.0%,"20,948,440","2,472","2,756",95,717,한국,한국,(주)삼백상회
70,피아니스트의 전설,2020-01-01,"20,149,000",0.0%,"20,224,000","2,352","2,377",7,16,이탈리아,이탈리아,(주)라이크콘텐츠
71,교회오빠,2019-05-16,"17,398,000",0.0%,"896,547,710","2,183","112,712",3,35,한국,한국,커넥트픽쳐스(주)
72,봉오동 전투,2019-08-07,"10,442,000",0.0%,"40,588,648,538","2,045","4,787,538",2,21,한국,한국,(주)쇼박스
73,이태원,2019-12-05,"16,345,760",0.0%,"18,595,260","1,996","2,371",15,254,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
74,조커,2019-10-02,"16,700,520",0.0%,"45,381,075,450","1,953","5,247,874",10,78,미국,미국,워너브러더스 코리아(주)
75,북경의 55일,,"3,262,000",0.0%,"12,615,000","1,631","6,272",1,12,미국,미국,
76,엑시트,2019-07-31,"9,082,000",0.0%,"79,232,012,162","1,580","9,426,011",2,15,한국,한국,(주)씨제이이엔엠
77,10년,2019-12-12,"14,203,700",0.0%,"14,203,700","1,570","1,570",16,155,일본,일본,(주)디오시네마
78,영화로운 나날,2019-12-12,"12,224,980",0.0%,"12,224,980","1,546","1,546",17,178,한국,한국,㈜인디스토리
79,전함 발진하라,,"3,018,000",0.0%,"3,018,000","1,509","1,509",1,20,미국,미국,
80,에스더의 왕,,"2,853,000",0.0%,"8,603,000","1,424","4,340",1,20,이탈리아,"이탈리아,미국",
81,디아스포라의 노래 : 아리랑 로드,2019-12-12,"8,349,500",0.0%,"8,349,500","1,387","1,387",7,77,한국,한국,(주)드림팩트엔터테인먼트
82,버팔로 대대,,"2,782,000",0.0%,"2,782,000","1,381","1,381",1,15,미국,미국,
83,엔젤 해즈 폴른,2019-11-13,"8,651,100",0.0%,"1,479,789,022","1,301","181,400",10,76,미국,미국,메가박스중앙(주)플러스엠
84,샐린저,2019-12-12,"9,902,180",0.0%,"10,379,180","1,279","1,350",21,198,미국,미국,판씨네마(주)
85,차타레부인의 사랑,1981-08-01,"2,551,000",0.0%,"6,274,000","1,273","2,929",1,20,프랑스,"프랑스,영국,독일",(주)피터팬픽쳐스
86,로망,2019-04-03,"6,310,000",0.0%,"600,174,900","1,262","81,754",4,11,한국,한국,(주)메리크리스마스
87,더하우스,2019-12-12,"7,631,000",0.0%,"7,631,000","1,245","1,245",48,75,한국,한국,(주)이놀미디어
88,김복동,2019-08-08,"8,226,000",0.0%,"711,947,060","1,216","89,011",3,8,한국,한국,(주)엣나인필름
89,아직 사랑하고 있습니까?,2019-12-04,"8,863,340",0.0%,"10,825,340","1,180","1,398",38,261,한국,한국,(주)디스테이션
90,호흡,2019-12-19,"9,434,160",0.0%,"9,434,160","1,172","1,172",22,166,한국,한국,(주)영화사 그램
91,"힘을 내요, 미스터 리",2019-09-11,"10,950,000",0.0%,"9,930,518,906","1,095","1,181,960",5,5,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
92,그린 북,2019-01-09,"6,029,000",0.0%,"3,672,323,360","1,090","439,000",3,20,미국,미국,CGV아트하우스
93,코로넬 블림프,,"2,136,000",0.0%,"3,541,000","1,068","1,614",1,12,영국,영국,
94,화이트 크리스마스,,"2,140,000",0.0%,"9,845,000","1,065","4,907",1,20,미국,미국,
95,극장판 반지의 비밀일기,2019-09-11,"10,200,000",0.0%,"550,043,170","1,020","68,339",4,4,한국,한국,"(주)영화사 빅,(주)버킷스튜디오"
96,아이 엠 브리딩,2019-12-19,"7,285,600",0.0%,"7,285,600","1,017","1,017",12,133,영국,영국,독포레스트
97,지상 최대의 서커스,,"2,044,000",0.0%,"4,005,000","1,012","1,990",1,16,,,
98,우리를 갈라놓는 것들,2019-11-28,"8,034,080",0.0%,"15,215,580","1,009","1,798",15,164,한국,한국,(주)엣나인필름
99,울지마 톤즈 2 : 슈크란 바바,2020-01-09,"8,640,000",0.0%,"8,640,000",960,960,3,4,한국,한국,(주)영화특별시에스엠씨
100,나폴레옹,,"1,899,000",0.0%,"2,557,000",947,"1,172",1,12,이탈리아,"이탈리아,프랑스",
101,미스터 주: 사라진 VIP,2020-01-22,"6,492,000",0.0%,"6,492,000",940,940,2,5,한국,한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
102,보리밭을 흔드는 바람,2006-11-02,"6,585,420",0.0%,"92,414,620",930,"14,038",2,28,영국,"영국,독일,아일랜드,이탈리아","(주)영화사 진진,(주)동숭아트센터"
103,레미제라블,2012-12-19,"6,992,000",0.0%,"43,100,128,000",927,"5,922,303",2,13,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
104,라 파미에,2019-12-12,"6,230,280",0.0%,"6,601,280",911,951,16,144,프랑스,프랑스,(주)에스와이코마드
105,퍼펙트맨,2019-10-02,"9,100,000",0.0%,"10,311,352,770",910,"1,240,022",4,5,한국,한국,(주)쇼박스
106,더 컨덕터,2019-11-14,"6,976,140",0.0%,"92,151,420",900,"10,977",8,73,네덜란드,네덜란드,(주)라이크콘텐츠
107,골목이 끝나는 곳,,"1,778,000",0.0%,"3,206,000",884,"1,598",1,20,미국,미국,
108,황야의 무뢰한,,"1,754,000",0.0%,"4,270,000",877,"2,041",1,18,이탈리아,이탈리아,
109,메기,2019-09-26,"6,837,851",0.0%,"326,331,828",873,"38,695",2,20,한국,한국,"(주)엣나인필름,CGV아트하우스"
110,경계선,2019-10-24,"7,540,500",0.0%,"148,261,880",851,"17,714",3,42,스웨덴,"스웨덴,덴마크",(주)제이앤씨미디어그룹
111,양자물리학,2019-09-25,"8,460,000",0.0%,"4,536,436,380",846,"554,939",5,5,한국,한국,(주)메리크리스마스
112,토스카,2019-11-17,"16,653,000",0.0%,"27,144,000",814,"1,284",6,36,독일,독일,(주)케빈앤컴퍼니
113,조로의 싸인,,"1,608,000",0.0%,"1,608,000",804,804,1,15,미국,미국,
114,만날때는 언제나 타인,,"1,591,000",0.0%,"5,468,000",793,"2,724",1,12,미국,미국,
115,원더,2017-12-27,"4,968,000",0.0%,"2,024,712,189",789,"265,770",3,8,미국,미국,"CGV아트하우스,그린나래미디어(주)"
116,인생의 조건,,"1,518,000",0.0%,"1,518,000",759,759,1,20,미국,미국,
117,좀비랜드: 더블 탭,2019-11-13,"4,472,000",0.0%,"1,176,173,880",748,"136,869",3,24,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
118,코끼리는 그곳에 있어,2019-11-21,"8,940,100",0.0%,"20,161,400",725,"1,561",5,60,중국,중국,아이 엠
118,오페라의 유령,2004-12-08,"5,475,500",0.0%,"10,095,678,600",725,"1,578,361",2,13,미국,미국,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,CJ ENM"
120,기생충,2019-05-30,"6,241,400",0.0%,"85,883,963,645",711,"10,085,275",2,10,한국,한국,(주)씨제이이엔엠
121,콜드 워,2019-02-07,"6,435,000",0.0%,"229,481,373",710,"27,739",2,11,폴란드,폴란드,아이 엠
122,무뢰한,2015-05-27,"6,650,000",0.0%,"3,270,592,431",705,"415,510",7,13,한국,한국,CGV아트하우스
123,북간도의 십자가,2019-10-17,"4,005,000",0.0%,"72,578,160",679,"9,859",4,80,한국,한국,"(재)CBS,주식회사 마운틴픽쳐스"
124,모리스,2019-11-07,"4,856,500",0.0%,"124,913,523",677,"15,086",5,48,영국,영국,알토미디어(주)
125,말괄량이 길들이기,,"1,348,000",0.0%,"2,023,000",669,"1,004",1,15,이탈리아,"이탈리아,미국",
126,갱,2020-01-16,"5,922,000",0.0%,"7,823,000",658,871,2,4,한국,한국,(주)삼백상회
127,우리집,2019-08-22,"4,351,000",0.0%,"444,391,340",650,"56,087",2,9,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
