순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,미나리,2021-03-03,"7,604,837,970",25.2%,"7,614,253,970","842,174","843,183","1,162","78,530",미국,미국,판씨네마(주)
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"5,965,023,230",19.8%,"14,528,832,580","620,165","1,513,272",758,"45,502",일본,일본,워터홀컴퍼니(주)
3,고질라 VS. 콩,2021-03-25,"3,786,910,320",12.6%,"3,786,910,320","400,880","400,880","1,295","26,730",미국,미국,워너브러더스 코리아(주)
4,라야와 마지막 드래곤,2021-03-04,"2,807,841,770",9.3%,"2,814,159,770","303,616","304,318","1,056","32,094",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,소울,2021-01-20,"1,528,855,380",5.1%,"18,939,826,060","157,646","2,038,279",784,"17,075",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,미션 파서블,2021-02-17,"1,061,223,720",3.5%,"4,051,451,200","113,447","444,579",778,"15,009",한국,한국,(주)메리크리스마스
7,더 박스,2021-03-24,"747,473,730",2.5%,"747,473,730","93,198","93,198",372,"3,113",한국,한국,(주)씨네필운
8,중경삼림,1995-09-02,"484,840,370",1.6%,"614,701,170","49,781","65,834",336,"6,484",홍콩,홍콩,(주)디스테이션
9,카오스 워킹,2021-02-24,"403,567,880",1.3%,"1,227,869,480","47,074","146,900",720,"8,342",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
10,최면,2021-03-24,"399,800,610",1.3%,"399,800,610","44,118","44,118",506,"5,722",한국,한국,(주)스마일이엔티
11,톰과 제리,2021-02-24,"396,184,390",1.3%,"1,163,773,600","44,029","135,362",883,"6,832",미국,미국,워너브러더스 코리아(주)
12,모리타니안,2021-03-17,"362,686,650",1.2%,"362,686,650","40,506","40,506",586,"8,709",미국,미국,(주)디스테이션
13,리스타트,2021-03-11,"352,724,620",1.2%,"352,724,620","39,370","39,370",529,"7,575",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
14,자산어보,2021-03-31,"252,843,850",0.8%,"253,788,850","37,649","37,838","1,250","3,920",한국,한국,메가박스중앙(주)플러스엠
15,반지의 제왕 : 반지원정대,2001-12-31,"431,291,040",1.4%,"431,329,040","35,503","35,522",185,"2,607",미국,미국,"워너브러더스 코리아(주),(주)시네마서비스"
16,반지의 제왕 : 왕의 귀환,2003-12-17,"327,078,730",1.1%,"4,679,701,730","26,095","726,691",168,"1,446",미국,미국,"워너브러더스 코리아(주),CJ ENM"
17,반지의 제왕 : 두개의 탑,2002-12-19,"305,823,830",1.0%,"305,907,830","25,811","25,853",176,"1,358",미국,미국,"워너브러더스 코리아(주),(주)시네마서비스"
18,브레이브 언더 파이어,2021-03-17,"117,845,400",0.4%,"117,845,400","14,922","14,922",203,"2,636",러시아,러시아,(주)박수엔터테인먼트
19,몬테크리스토: 더 뮤지컬 라이브,2021-03-19,"279,817,500",0.9%,"279,817,500","14,528","14,528",90,"1,881",한국,한국,"CGV ICECON,씨제이포디플렉스 주식회사"
20,웨이 다운,2021-03-11,"120,956,030",0.4%,"120,956,030","13,743","13,743",309,"3,039",스페인,스페인,(주)누리픽쳐스
21,아이 씨 유,2021-03-11,"117,569,750",0.4%,"117,569,750","12,810","12,810",113,"2,237",영국,영국,(주)홈초이스
22,고백,2021-02-24,"84,679,600",0.3%,"231,734,600","11,604","32,579",238,"2,384",한국,한국,(주)리틀빅픽쳐스
23,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"83,604,000",0.3%,"787,515,610","10,483","87,996",38,846,일본,일본,(주)애니플러스
24,정말 먼 곳,2021-03-18,"70,564,880",0.2%,"73,507,880","8,662","9,057",204,"1,796",한국,한국,그린나래미디어(주)
25,러빙 빈센트,2017-11-09,"80,029,260",0.3%,"3,362,915,021","8,462","421,160",114,"1,600",영국,"영국,폴란드","(주)스튜디오디에이치엘,판씨네마(주)"
26,태극기 휘날리며,2004-02-05,"56,941,700",0.2%,"15,745,556,200","7,093","2,552,659",75,"1,371",한국,한국,"(주)다자인소프트,(주)쇼박스"
27,그녀가 사라졌다,2021-03-17,"61,723,800",0.2%,"61,723,800","7,042","7,042",143,"1,925",호주,호주,(주)스튜디오디에이치엘
28,스파이의 아내,2021-03-25,"61,228,970",0.2%,"61,228,970","7,035","7,035",120,940,일본,일본,M&M 인터내셔널
29,암모나이트,2021-03-11,"50,005,530",0.2%,"50,005,530","5,820","5,820",207,"1,774",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
30,파이터,2021-03-18,"44,138,090",0.1%,"44,745,090","5,796","5,881",74,937,한국,한국,㈜인디스토리
31,퍼펙트 케어,2021-02-19,"46,653,740",0.2%,"227,902,740","5,761","27,337",101,621,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
32,더 레이서,2021-02-24,"46,292,040",0.2%,"99,539,540","5,647","12,117",137,818,기타,기타,(주)다자인소프트
33,워 위드 그랜파,2021-02-24,"41,245,080",0.1%,"125,136,310","4,835","15,214",296,966,미국,미국,"(주)키다리이엔티,(주)태양미디어그룹"
34,아무도 없는 곳,2021-03-31,"32,862,410",0.1%,"32,862,410","4,730","4,730",374,548,한국,한국,(주)엣나인필름
35,라스트 레터,2021-02-24,"39,407,740",0.1%,"95,696,150","4,528","11,180",133,"1,200",일본,일본,(주)스튜디오 산타클로스엔터테인먼트
