순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,원더 우먼 1984,2020-12-23,"3,490,431,460",28.1%,"3,490,431,460","390,986","390,986","2,260","45,347",미국,미국,워너브러더스 코리아(주)
2,이웃사촌,2020-11-25,"1,767,337,100",14.2%,"3,647,897,960","203,828","424,764","1,202","40,665",한국,한국,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
3,조제,2020-12-10,"1,673,427,570",13.5%,"1,673,427,570","186,647","186,647","1,179","38,291",한국,한국,워너브러더스 코리아(주)
4,도굴,2020-11-04,"1,137,865,800",9.2%,"13,764,680,410","143,570","1,523,514",642,"24,577",한국,한국,(주)씨제이이엔엠
5,런,2020-11-20,"729,142,610",5.9%,"2,560,441,600","80,479","278,819",597,"18,008",미국,미국,(주)올스타엔터테인먼트
6,화양연화,2000-10-20,"310,831,200",2.5%,"399,980,700","35,676","48,014",444,"4,339",홍콩,"홍콩,프랑스",(주)디스테이션
7,더 프롬,2020-12-02,"213,920,730",1.7%,"213,920,730","24,635","24,635",662,"8,736",미국,미국,메가박스중앙(주)플러스엠
8,파티마의 기적,2020-12-03,"127,982,100",1.0%,"132,647,100","15,901","16,562",162,"3,006",미국,미국,(주)디스테이션
9,800,2020-12-10,"135,367,500",1.1%,"135,367,500","15,549","15,549",223,"3,738",중국,중국,"TCO(주)더콘텐츠온,(주)디스테이션"
10,극장판 바이올렛 에버가든,2020-11-12,"122,517,420",1.0%,"467,986,490","14,572","55,030",71,"2,009",일본,일본,(주)라이크콘텐츠
11,인터스텔라,2014-11-06,"142,100,000",1.1%,"82,811,161,000","14,203","10,323,635",17,554,미국,"미국,영국",워너브러더스 코리아(주)
12,프리키 데스데이,2020-11-25,"126,536,070",1.0%,"451,225,690","13,840","51,812",417,"4,203",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
13,삼진그룹 영어토익반,2020-10-21,"106,344,330",0.9%,"13,981,414,470","12,811","1,571,286",317,"2,975",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
14,러브 액츄얼리,2003-12-05,"114,015,630",0.9%,"2,314,137,318","12,697","326,183",232,"2,622",미국,"미국,영국","(주)제이앤씨미디어그룹,와이드 릴리즈(주),UIP코리아,(유)조이앤시네마"
15,100% 울프: 푸들이 될 순 없어,2020-12-24,"98,961,220",0.8%,"98,961,220","12,357","12,357",370,"2,234",호주,호주,(주)팝엔터테인먼트
16,덩케르크,2017-07-20,"116,973,000",0.9%,"24,694,401,848","11,696","2,804,738",17,508,미국,"미국,영국",워너브러더스 코리아(주)
17,언플랜드,2020-12-17,"101,036,170",0.8%,"111,086,670","11,647","12,964",281,"2,687",미국,미국,(주)영화사오원
18,리플레이,2020-12-16,"91,594,370",0.7%,"91,594,370","11,106","11,106",242,"2,263",미국,미국,(주)다자인소프트
19,잔칫날,2020-12-02,"82,051,490",0.7%,"85,579,490","10,648","11,057",240,"3,051",한국,한국,(주)트리플픽쳐스
20,뱅가드,2020-12-30,"79,286,900",0.6%,"79,286,900","10,380","10,380",233,968,중국,중국,(주)디스테이션
21,가나의 혼인잔치: 언약,2020-11-26,"73,103,460",0.6%,"117,216,920","8,011","13,354",111,"1,618",미국,미국,"(재)CBS,주식회사 블루필름웍스"
22,썸머 85,2020-12-24,"61,819,890",0.5%,"63,486,390","7,118","7,287",126,993,기타,기타,찬란
23,미드나이트 스카이,2020-12-09,"61,177,160",0.5%,"61,177,160","7,101","7,101",257,"2,526",미국,미국,메가박스중앙(주)플러스엠
24,러브레터,1999-11-20,"49,979,580",0.4%,"936,686,814","5,673","120,849",109,908,일본,일본,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트"
25,나이팅게일,2020-12-30,"40,345,470",0.3%,"40,345,470","5,362","5,362",329,872,호주,호주,(주)제이앤씨미디어그룹
26,"내 어깨 위 고양이, 밥 2",2020-12-24,"43,549,620",0.4%,"43,549,620","5,031","5,031",202,"1,265",영국,영국,(주)영화특별시에스엠씨
27,1917,2020-02-19,"34,105,500",0.3%,"7,924,722,960","4,930","877,017",32,427,미국,미국,(주)스마일이엔티
28,부활: 그 증거,2020-10-08,"30,565,240",0.2%,"239,069,820","3,893","29,380",13,149,한국,한국,(주)영화사 진진
29,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"34,026,490",0.3%,"696,241,320","3,845","76,787",25,452,일본,일본,(주)애니플러스
30,퍼스트 러브,2020-12-17,"33,324,500",0.3%,"34,458,500","3,841","3,967",79,669,일본,일본,와이드 릴리즈(주)
31,내가 죽던 날,2020-11-12,"30,533,140",0.2%,"2,135,396,020","3,687","233,112",228,940,한국,한국,워너브러더스 코리아(주)
32,럭키 몬스터,2020-12-03,"27,671,310",0.2%,"31,497,310","3,491","3,907",101,832,한국,한국,(주)영화사 그램
33,운디네,2020-12-24,"27,012,390",0.2%,"28,799,390","3,316","3,487",42,365,독일,독일,M&M 인터내셔널
34,호프,2020-12-17,"26,696,070",0.2%,"29,490,070","3,175","3,467",171,"1,182",기타,기타,(주)이놀미디어
35,소년시절의 너,2020-07-09,"19,953,800",0.2%,"622,230,500","3,140","73,541",68,534,중국,중국,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
36,누군가 어디에서 나를 기다리면 좋겠다,2020-12-17,"23,895,850",0.2%,"23,895,850","2,981","2,981",54,492,프랑스,프랑스,(주)영화사 진진
37,라라랜드,2016-12-07,"24,775,660",0.2%,"30,873,132,808","2,940","3,742,039",35,348,미국,미국,판씨네마(주)
38,존 윅 3: 파라벨룸,2019-06-26,"29,181,000",0.2%,"8,234,446,858","2,935","1,007,340",88,889,미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
39,레벨 16,2020-12-10,"25,928,300",0.2%,"25,928,300","2,856","2,856",137,994,캐나다,캐나다,(주)디오시네마
40,마리 퀴리,2020-11-18,"16,578,770",0.1%,"191,500,920","2,837","24,573",38,193,프랑스,프랑스,(주)디스테이션
41,용루각: 비정도시,2020-12-03,"16,308,210",0.1%,"18,522,210","2,740","3,038",22,308,한국,한국,(주)드림팩트엔터테인먼트
