순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,인비저블맨,2020-02-26,"3,757,477,580",24.8%,"4,731,270,060","427,136","543,009",744,"46,385",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2,1917,2020-02-19,"2,807,437,120",18.5%,"6,518,315,460","309,300","714,927",633,"37,390",미국,미국,(주)스마일이엔티
3,지푸라기라도 잡고 싶은 짐승들,2020-02-19,"1,169,920,910",7.7%,"5,383,062,390","132,928","620,398",646,"23,976",한국,한국,메가박스중앙(주)플러스엠
4,다크 워터스,2020-03-11,"1,054,870,840",7.0%,"1,060,132,840","122,229","122,880",575,"20,265",미국,미국,(주)이수C&E
5,정직한 후보,2020-02-12,"798,583,550",5.3%,"12,804,875,990","104,643","1,531,010",537,"18,106",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
6,작은 아씨들,2020-02-12,"767,500,240",5.1%,"7,208,163,610","89,750","855,201",456,"14,451",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
7,주디,2020-03-25,"391,349,420",2.6%,"412,810,720","48,923","51,613",479,"8,130",영국,영국,TCO(주)더콘텐츠온
8,젠틀맨,2020-02-26,"338,866,070",2.2%,"660,877,510","39,087","80,931",466,"8,375",미국,미국,"(주)영화사 빅,(주)다날엔터테인먼트"
9,해리포터와 아즈카반의 죄수,2004-07-16,"302,975,000",2.0%,"11,455,845,500","32,416","1,833,382",45,"2,421",미국,미국,워너브러더스 코리아(주)
10,스타 이즈 본,2018-10-09,"163,084,140",1.1%,"4,427,414,200","32,281","524,138",246,"4,460",미국,미국,워너브러더스 코리아(주)
11,어바웃 타임,2013-12-05,"154,279,000",1.0%,"25,236,355,300","30,376","3,437,940",138,"2,893",영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
