순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,#살아있다,2020-06-24,"9,956,085,460",30.4%,"9,956,085,460","1,194,944","1,194,944","1,882","54,921",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2,결백,2020-06-10,"6,580,293,840",20.1%,"6,581,823,840","742,746","742,916","1,112","57,398",한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
3,침입자,2020-06-04,"4,794,984,080",14.6%,"4,799,281,080","529,826","530,659","1,365","53,292",한국,한국,(주)에이스메이커무비웍스
4,온워드: 단 하루의 기적,2020-06-17,"2,578,561,080",7.9%,"2,579,233,080","296,824","296,920","1,138","32,205",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,사라진 시간,2020-06-18,"1,639,621,740",5.0%,"1,640,899,740","184,257","184,399",874,"20,396",한국,한국,(주)에이스메이커무비웍스
6,위대한 쇼맨,2017-12-20,"1,055,978,200",3.2%,"13,262,250,900","171,109","1,685,574",519,"17,479",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
7,에어로너츠,2020-06-10,"671,561,240",2.0%,"671,691,240","76,691","76,717",534,"11,371",영국,"영국,미국",(주)홈초이스
8,나의 첫 번째 슈퍼스타,2020-06-10,"465,903,360",1.4%,"466,351,360","52,376","52,440",462,"8,565",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
9,언더워터,2020-05-27,"448,134,820",1.4%,"936,837,800","50,901","109,152",539,"10,962",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,프리즌 이스케이프,2020-05-06,"374,700,200",1.1%,"1,847,837,600","45,673","216,998",406,"8,060",영국,"영국,호주",(주)이놀미디어
11,아이즈 온 미 : 더 무비,2020-06-10,"506,274,000",1.5%,"506,274,000","39,228","39,228",124,"2,369",한국,한국,씨제이포디플렉스 주식회사
12,배트맨 비긴즈,2005-06-24,"241,625,160",0.7%,"5,793,851,160","33,051","902,295",301,"3,434",미국,미국,워너브러더스 코리아(주)
13,매드 맥스: 분노의 도로,2015-05-14,"259,692,500",0.8%,"33,649,857,862","29,893","3,914,023",38,"2,174",미국,"미국,호주",워너브러더스 코리아(주)
14,야구소녀,2020-06-18,"255,091,080",0.8%,"258,046,080","29,542","29,965",264,"3,304",한국,한국,"(주)싸이더스,찬란"
15,콜 미 바이 유어 네임,2018-03-22,"224,746,640",0.7%,"1,895,253,628","25,292","224,881",70,"1,839",이탈리아,"이탈리아,프랑스,브라질,미국","(주)디스테이션,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"
16,카페 벨에포크,2020-05-20,"182,837,420",0.6%,"538,940,200","22,315","64,320",281,"3,609",프랑스,프랑스,(주)이수C&E
17,프랑스여자,2020-06-04,"127,517,400",0.4%,"130,111,400","17,869","18,203",244,"3,403",한국,한국,"(주)디스테이션,롯데컬처웍스(주)롯데엔터테인먼트"
18,미스비헤이비어,2020-05-27,"114,167,580",0.3%,"232,535,860","13,881","28,668",317,"3,221",영국,영국,판씨네마(주)
19,아홉 스님,2020-05-27,"82,860,100",0.3%,"137,539,200","13,297","22,317",116,"1,413",한국,한국,"(주)퍼스트런,(주)키다리이엔티"
20,슈퍼스타 뚜루,2020-06-04,"101,208,020",0.3%,"101,208,020","13,132","13,132",300,"1,894",스페인,스페인,(주)박수엔터테인먼트
21,엔딩스 비기닝스,2020-06-24,"101,934,960",0.3%,"101,934,960","12,429","12,429",251,"2,238",미국,"미국,한국","(주)스마일이엔티,(주)씨제이이엔엠"
22,너는 달밤에 빛나고,2020-06-10,"108,947,000",0.3%,"108,947,000","12,303","12,303",178,"2,517",일본,일본,"(주)이수C&E,(주)콘텐츠판다"
23,레옹 디 오리지널,2020-06-11,"72,765,140",0.2%,"72,765,140","11,875","11,875",130,"1,268",프랑스,프랑스,(주)제이앤씨미디어그룹
24,패왕별희 디 오리지널,2017-03-30,"97,730,740",0.3%,"913,558,660","10,053","100,951",90,"1,075",중국,중국,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
25,그랜드 부다페스트 호텔,2014-03-20,"60,243,000",0.2%,"6,485,007,022","10,040","832,245",84,871,미국,"미국,독일","(주)피터팬픽쳐스,이십세기폭스코리아(주)"
26,아이 캔 온리 이매진,2018-06-21,"60,277,660",0.2%,"247,428,260","9,374","32,096",134,"1,058",미국,미국,"(주)영화사 그램,TCO(주)더콘텐츠온,(재)CBS"
27,그집,2020-05-27,"79,423,020",0.2%,"238,253,460","9,247","28,702",314,"2,563",스페인,스페인,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
28,라이프 오브 파이,2013-01-01,"52,973,000",0.2%,"16,384,876,100","8,826","1,646,997",92,943,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
29,전망좋은 방,1989-06-24,"70,420,500",0.2%,"83,187,100","8,148","13,607",46,801,영국,영국,알토미디어(주)
