순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,소울,2021-01-20,"9,474,663,770",33.0%,"17,410,970,680","1,005,634","1,880,633","1,439","79,149",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"6,743,706,680",23.5%,"8,563,809,350","686,798","893,107",900,"44,233",일본,일본,워터홀컴퍼니(주)
3,미션 파서블,2021-02-17,"2,989,660,480",10.4%,"2,990,227,480","331,069","331,132",930,"30,022",한국,한국,(주)메리크리스마스
4,새해전야,2021-02-10,"1,552,542,580",5.4%,"1,552,885,580","168,156","168,205",906,"21,359",한국,한국,(주)에이스메이커무비웍스
5,몬스터 헌터,2021-02-10,"965,858,800",3.4%,"971,145,800","101,631","101,942",668,"13,264",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
6,카오스 워킹,2021-02-24,"824,301,600",2.9%,"824,301,600","99,826","99,826",780,"11,173",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
7,톰과 제리,2021-02-24,"767,589,210",2.7%,"767,589,210","91,333","91,333",918,"10,470",미국,미국,워너브러더스 코리아(주)
8,어니스트 씨프,2021-02-03,"711,244,860",2.5%,"711,244,860","80,110","80,110",554,"11,012",미국,미국,(주)올스타엔터테인먼트
9,해리 포터와 불의 잔,2005-12-01,"590,584,500",2.1%,"22,054,745,400","63,960","3,494,935",49,"2,139",미국,미국,워너브러더스 코리아(주)
10,세자매,2021-01-27,"334,261,000",1.2%,"688,829,240","38,850","81,151",490,"6,774",한국,한국,(주)리틀빅픽쳐스
11,아이,2021-02-10,"294,475,020",1.0%,"294,475,020","37,303","37,303",504,"7,812",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
12,해피 투게더,1998-08-22,"247,424,210",0.9%,"278,693,710","25,925","30,291",369,"4,238",홍콩,홍콩,(주)디스테이션
13,명탐정 코난: 진홍의 수학여행,2021-01-27,"218,347,220",0.8%,"534,479,660","24,441","62,572",447,"3,984",일본,일본,(주)씨제이이엔엠
14,퍼펙트 케어,2021-02-19,"181,249,000",0.6%,"181,249,000","21,576","21,576",308,"2,707",미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
15,고백,2021-02-24,"142,064,000",0.5%,"147,055,000","20,002","20,975",255,"2,618",한국,한국,(주)리틀빅픽쳐스
16,드림빌더,2021-02-10,"152,930,140",0.5%,"154,694,140","17,929","18,125",327,"3,043",기타,기타,(주)트리플픽쳐스
17,송가인 더 드라마,2021-02-11,"174,023,000",0.6%,"174,023,000","16,100","16,100",117,"2,686",한국,한국,(주)영화특별시에스엠씨
18,더블패티,2021-02-17,"116,002,140",0.4%,"116,002,140","13,340","13,340",265,"2,084",한국,한국,"케이티하이텔(주),판씨네마(주)"
19,페어웰,2021-02-04,"102,373,700",0.4%,"108,817,700","12,234","13,052",162,"2,126",미국,"미국,중국",오드
20,엘프,2021-02-10,"99,761,300",0.3%,"99,761,300","11,859","11,859",228,"1,631",독일,독일,(주)박수엔터테인먼트
21,워 위드 그랜파,2021-02-24,"83,891,230",0.3%,"83,891,230","10,379","10,379",322,"2,305",미국,미국,"(주)키다리이엔티,(주)태양미디어그룹"
22,스트레스 제로,2021-02-03,"65,356,700",0.2%,"65,656,700","8,540","8,600",156,"1,523",한국,한국,(주)트리플픽쳐스
23,빛과 철,2021-02-18,"68,528,150",0.2%,"70,631,150","8,244","8,547",161,"1,417",한국,한국,찬란
24,화양연화,2000-10-20,"72,339,410",0.3%,"951,164,680","7,415","107,571",44,790,홍콩,"홍콩,프랑스",(주)디스테이션
25,마리오네트,2021-02-17,"60,586,600",0.2%,"60,586,600","7,318","7,318",138,"1,564",네덜란드,네덜란드,(주)이놀미디어
26,나는 나를 해고하지 않는다,2021-01-28,"54,907,740",0.2%,"136,404,000","7,250","17,568",230,"1,575",한국,한국,(주)영화사 진진
27,라스트 레터,2021-02-24,"56,288,410",0.2%,"56,288,410","6,652","6,652",160,"1,173",일본,일본,(주)스튜디오 산타클로스엔터테인먼트
28,더 레이서,2021-02-24,"53,247,500",0.2%,"53,247,500","6,470","6,470",146,846,기타,기타,(주)다자인소프트
29,타락천사,1995-12-23,"63,946,130",0.2%,"72,859,130","6,303","7,554",37,488,홍콩,홍콩,(주)디스테이션
30,세상의 모든 디저트: 러브 사라,2021-02-04,"52,705,170",0.2%,"53,233,170","6,253","6,328",117,"1,104",영국,영국,(주)티캐스트
31,캐롤,2016-02-04,"59,745,800",0.2%,"2,900,491,835","6,134","351,996",240,"1,255",미국,"미국,영국",CGV아트하우스
32,북스마트,2021-01-27,"40,334,780",0.1%,"98,896,680","4,994","14,429",124,"1,561",미국,미국,(주)콘텐츠판다
33,호라이즌 라인,2021-02-10,"32,305,070",0.1%,"32,305,070","4,716","4,716",79,715,미국,미국,(주)제이앤씨미디어그룹
