순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,반도,2020-07-15,"27,960,546,720",59.2%,"27,961,736,720","3,217,761","3,217,931","2,575","161,089",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,#살아있다,2020-06-24,"5,979,662,060",12.7%,"15,935,747,520","702,431","1,897,375","1,508","81,832",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
3,강철비2: 정상회담,2020-07-29,"3,907,630,360",8.3%,"3,907,630,360","515,077","515,077","2,137","27,722",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
4,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,"1,440,370,320",3.0%,"1,459,468,320","169,396","171,570",882,"26,570",미국,"미국,캐나다",(주)홈초이스
5,결백,2020-06-10,"1,059,587,000",2.2%,"7,641,410,840","122,776","865,692",613,"16,904",한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
6,온워드: 단 하루의 기적,2020-06-17,"915,816,020",1.9%,"3,495,049,100","109,018","405,938",597,"12,662",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,알라딘,2019-05-23,"672,330,480",1.4%,"107,655,950,839","100,215","12,656,109",549,"11,879",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,소리꾼,2020-07-01,"628,229,980",1.3%,"654,798,980","77,774","80,872",573,"13,923",한국,한국,(주)리틀빅픽쳐스
9,소년시절의 너,2020-07-09,"458,179,700",1.0%,"465,493,700","53,071","54,290",252,"6,218",중국,중국,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
10,다크 나이트,2008-08-06,"380,819,140",0.8%,"28,170,537,540","49,034","4,224,560",378,"4,429",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
11,다크 나이트 라이즈,2012-07-19,"235,109,500",0.5%,"47,910,573,000","29,263","6,428,566",317,"3,478",미국,"미국,영국",워너브러더스 코리아(주)
12,파리의 인어,2020-07-23,"200,471,500",0.4%,"200,471,500","23,534","23,534",204,"3,156",프랑스,프랑스,(주)빅웨이브시네마
13,인베이젼 2020,2020-07-01,"179,125,260",0.4%,"184,621,260","21,599","22,258",354,"3,984",러시아,러시아,(주)제이앤씨미디어그룹
14,블루 아워,2020-07-22,"175,803,760",0.4%,"175,803,760","20,802","20,802",322,"3,456",일본,일본,오드
15,원 데이,2012-12-13,"173,592,000",0.4%,"1,687,670,500","20,289","226,728",156,"3,170",미국,미국,"(주)영화사 그램,(주)제이앤씨미디어그룹,(주)팝파트너스"
16,팬데믹,2020-07-22,"174,265,460",0.4%,"174,265,460","20,065","20,065",382,"3,953",미국,미국,(주)영화사 빅
17,BIFAN2020 판타스틱 단편 걸작선 1,,"120,000,000",0.3%,"120,000,000","20,000","20,000",8,177,기타,기타,
18,위대한 쇼맨,2017-12-20,"123,006,420",0.3%,"13,385,257,320","19,885","1,705,459",93,"2,184",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
19,비바리움,2020-07-16,"136,370,320",0.3%,"136,370,320","15,847","15,847",129,"1,887",미국,"미국,덴마크,벨기에,아일랜드",(주)드림팩트엔터테인먼트
20,그레텔과 헨젤,2020-07-08,"101,464,540",0.2%,"112,964,540","11,564","12,615",325,"2,947",캐나다,캐나다,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
21,부활,2020-07-09,"89,070,500",0.2%,"89,770,500","11,487","11,587",83,"1,660",한국,한국,(주)중헌홀딩스
22,빅샤크3: 젤리몬스터 대소동,2020-07-29,"84,150,840",0.2%,"84,150,840","11,128","11,128",301,971,중국,중국,(주)팝엔터테인먼트
23,"아무튼, 아담",2020-07-02,"69,523,500",0.1%,"71,707,500","10,117","10,429",110,"1,375",미국,미국,"(주)비싸이드 픽쳐스,주식회사 모쿠슈라픽쳐스,필립 스튜디오"
24,너와 파도를 탈 수 있다면,2020-07-08,"84,282,320",0.2%,"86,958,320","9,763","10,051",257,"2,112",일본,일본,메가박스중앙(주)플러스엠
25,트로이 디렉터스 컷,2020-07-03,"70,564,060",0.1%,"70,564,060","8,274","8,274",159,"1,123",미국,미국,판씨네마(주)
26,딥워터,2020-07-09,"70,120,260",0.1%,"76,832,260","8,139","8,926",264,"2,022",기타,기타,(주)팝엔터테인먼트
27,슈퍼 레이스,2020-07-23,"59,729,980",0.1%,"59,729,980","7,624","7,624",209,897,캐나다,캐나다,(주)영화사 빅
28,마티아스와 막심,2020-07-23,"66,163,140",0.1%,"72,291,140","7,564","8,199",91,932,캐나다,캐나다,(주)엣나인필름
29,야구소녀,2020-06-18,"57,048,640",0.1%,"315,094,720","6,751","36,716",66,"1,192",한국,한국,"(주)싸이더스,찬란"
30,지저귀는 새는 날지 않는다,2020-07-16,"58,737,100",0.1%,"58,737,100","6,516","6,516",81,853,일본,일본,(주)팝엔터테인먼트
31,시네마 천국,1990-07-07,"38,943,500",0.1%,"338,944,200","6,471","55,178",32,312,프랑스,"프랑스,이탈리아","주식회사 왓챠,(주)팝엔터테인먼트"
32,다만 악에서 구하소서,2020-08-05,"47,733,000",0.1%,"47,733,000","5,134","5,134",9,23,한국,한국,(주)씨제이이엔엠
