순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,정직한 후보,2020-02-12,"11,936,890,440",19.2%,"12,006,292,440","1,416,455","1,426,367","1,187","69,719",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,클로젯,2020-02-05,"10,867,367,940",17.4%,"10,918,537,940","1,259,078","1,264,943","1,197","70,487",한국,한국,(주)씨제이이엔엠
3,남산의 부장들,2020-01-22,"7,546,800,910",12.1%,"41,217,692,130","874,962","4,749,381","1,384","58,965",한국,한국,(주)쇼박스
4,작은 아씨들,2020-02-12,"6,414,954,370",10.3%,"6,440,663,370","762,324","765,451","1,105","43,682",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
5,히트맨,2020-01-22,"4,483,213,560",7.2%,"20,605,588,400","531,258","2,405,274","1,081","38,724",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
6,지푸라기라도 잡고 싶은 짐승들,2020-02-19,"4,209,685,480",6.8%,"4,213,141,480","487,038","487,470",996,"40,193",한국,한국,메가박스중앙(주)플러스엠
7,1917,2020-02-19,"3,710,878,340",6.0%,"3,710,878,340","405,627","405,627",932,"32,157",미국,미국,(주)스마일이엔티
8,버즈 오브 프레이(할리 퀸의 황홀한 해방),2020-02-05,"3,540,576,390",5.7%,"3,549,936,390","400,454","401,078",963,"38,128",미국,미국,워너브러더스 코리아(주)
9,기생충,2019-05-30,"1,243,595,950",2.0%,"87,224,932,275","185,979","10,283,766",180,"5,802",한국,한국,(주)씨제이이엔엠
10,인비저블맨,2020-02-26,"973,792,480",1.6%,"973,792,480","115,873","115,873",776,"10,142",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
11,수퍼 소닉,2020-02-12,"905,033,330",1.5%,"905,033,330","115,297","115,297",609,"10,624",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
12,조조 래빗,2020-02-05,"878,206,160",1.4%,"895,029,160","102,156","104,318",277,"7,924",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
13,극장판 미니특공대: 공룡왕 디노,2020-02-06,"602,481,680",1.0%,"610,068,680","77,478","78,321",485,"5,898",한국,한국,(주)리틀빅픽쳐스
14,인셉션,2010-07-21,"650,245,000",1.0%,"44,380,775,200","74,301","5,942,652",241,"5,830",미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
15,스파이 지니어스,2020-01-22,"516,401,920",0.8%,"3,689,131,180","63,060","449,876",667,"6,350",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
16,미스터 주: 사라진 VIP,2020-01-22,"381,165,640",0.6%,"5,062,850,660","46,503","602,465",594,"5,752",한국,한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
