●16주차 (2020년 04월 13일 ~ 2020년 04월 19일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,1917,2020-02-19,"226,378,140",13.5%,"9,341,620",4.3%,"7,136,581,760","25,647","1,195",4.9%,"785,040",320,"3,618",미국,미국,(주)스마일이엔티
2,라라랜드,2016-12-07,"117,276,260",7.0%,"78,714,840",204.1%,"30,445,989,068","22,914","16,306",246.8%,"3,662,420",304,"2,572",미국,미국,판씨네마(주)
3,서치 아웃,2020-04-15,"184,104,100",11.0%,"184,104,100",100.0%,"184,104,100","20,627","20,627",100.0%,"20,627",355,"3,886",한국,한국,"(주)스톰픽쳐스코리아,(주)삼백상회"
4,건즈 아킴보,2020-04-15,"169,622,000",10.1%,"166,990,000",6344.6%,"172,254,000","18,992","18,616",4951.1%,"19,368",181,"2,240",영국,영국,와이드 릴리즈(주)
5,오픈 더 도어,2020-04-08,"110,017,000",6.6%,"743,900",0.7%,"219,290,100","12,070",116,1.0%,"24,024",163,"2,204",러시아,러시아,(주)팝엔터테인먼트
6,엽문4: 더 파이널,2020-04-01,"103,469,500",6.2%,"-96,872,500",-48.4%,"572,383,600","11,879","-10,966",-48.0%,"65,832",173,"2,381",홍콩,홍콩,(주)키다리이엔티
7,비밀정보원: 인 더 프리즌,2020-04-15,"93,264,500",5.6%,"93,264,500",100.0%,"93,264,500","10,666","10,666",100.0%,"10,666",200,"1,618",영국,영국,(주)제이앤씨미디어그룹
8,유령선,2020-04-15,"73,671,800",4.4%,"73,671,800",100.0%,"73,671,800","8,160","8,160",100.0%,"8,160",165,"1,072",한국,한국,(주)엣나인필름
9,주디,2020-03-25,"51,058,620",3.0%,"-60,131,960",-54.1%,"729,693,480","6,013","-6,763",-52.9%,"88,718",246,"1,540",영국,영국,TCO(주)더콘텐츠온
10,라라걸,2020-04-15,"51,251,940",3.1%,"45,378,940",772.7%,"57,124,940","5,898","5,366",1008.6%,"6,430",187,"1,181",호주,호주,판씨네마(주)
11,로건,2017-03-01,"40,375,680",2.4%,"40,375,680",100.0%,"18,431,435,903","5,847","5,847",100.0%,"2,174,956",259,"1,514",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
12,날씨의 아이,2019-10-30,"28,746,740",1.7%,"5,244,280",22.3%,"5,626,846,530","5,579","3,079",123.2%,"680,802",79,694,일본,일본,"(주)미디어캐슬,워터홀컴퍼니(주)"
13,인비저블맨,2020-02-26,"49,425,640",3.0%,"-49,000,520",-49.8%,"4,988,435,020","5,517","-5,460",-49.7%,"571,731",199,"1,166",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
14,레미제라블,2012-12-19,"25,350,000",1.5%,"25,085,000",9466.0%,"43,153,248,000","5,027","4,974",9384.9%,"5,932,514",60,452,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
15,n번째 이별 중,2020-04-01,"40,500,100",2.4%,"-37,555,300",-48.1%,"211,646,000","4,441","-4,191",-48.6%,"23,376",130,"1,135",미국,미국,"(주)팬엔터테인먼트,(주)영화특별시에스엠씨"
16,데드풀,2016-02-17,"28,967,540",1.7%,"28,967,540",100.0%,"27,624,586,191","4,263","4,263",100.0%,"3,321,459",237,"1,359",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
17,너의 이름은.,2017-01-04,"16,505,900",1.0%,"4,433,740",36.7%,"30,013,341,796","3,178","1,937",156.1%,"3,728,508",77,621,일본,일본,메가박스중앙(주)플러스엠
18,원스,2007-09-20,"9,522,500",0.6%,"9,522,500",100.0%,"1,903,511,000","1,884","1,884",100.0%,"273,329",34,222,아일랜드,아일랜드,"(주)제이앤씨미디어그룹,(주)영화사 진진"
19,"나는 내일, 어제의 너와 만난다",2017-10-12,"8,704,500",0.5%,"-2,874,500",-24.8%,"1,368,028,300","1,728",-572,-24.9%,"179,986",36,202,일본,일본,(주)디스테이션
20,피아니스트의 전설,2020-01-01,"8,173,000",0.5%,"8,122,500",16084.2%,"357,792,562","1,621","1,615",26916.7%,"43,454",25,178,이탈리아,이탈리아,(주)라이크콘텐츠
21,사랑이 뭘까,2020-04-09,"13,437,640",0.8%,"-9,679,280",-41.9%,"37,875,560","1,478","-1,147",-43.7%,"4,250",106,404,일본,일본,(주)엣나인필름
22,원 데이,2012-12-13,"7,226,000",0.4%,"7,226,000",100.0%,"1,510,959,500","1,432","1,432",100.0%,"205,823",74,405,미국,미국,"(주)영화사 그램,(주)제이앤씨미디어그룹,(주)팝파트너스"
23,"그 시절, 우리가 좋아했던 소녀",2012-08-22,"6,478,000",0.4%,"-4,612,000",-41.6%,"356,281,770","1,279",-924,-41.9%,"50,227",30,172,대만,대만,"(주)이놀미디어,(주)드림팩트엔터테인먼트,(주)미로스페이스,씨너스엔터테인먼트(주),(주)미로비젼,(주)박수엔터테인먼트"
24,신과 나: 100일간의 거래,2020-04-08,"10,138,440",0.6%,"-38,830,200",-79.3%,"59,683,080","1,267","-4,449",-77.8%,"7,047",168,544,기타,기타,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)"
25,바이올렛 에버가든 – 영원과 자동 수기 인형 -,2020-03-26,"10,538,700",0.6%,"-2,948,200",-21.9%,"93,051,580","1,245",-333,-21.1%,"10,603",40,261,일본,일본,(주)라이크콘텐츠
26,작은 아씨들,2020-02-12,"10,671,200",0.6%,"-2,342,780",-18.0%,"7,246,034,250","1,239",-316,-20.3%,"859,707",40,226,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
27,더 터닝,2020-04-02,"10,025,400",0.6%,"-35,916,340",-78.2%,"145,160,760","1,158","-4,132",-78.1%,"16,463",108,402,미국,미국,(주)스마일이엔티
28,정직한 후보,2020-02-12,"6,589,600",0.4%,"-3,650,820",-35.7%,"12,834,330,730","1,051",-531,-33.6%,"1,535,552",44,296,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
29,스케어리 스토리:어둠의 속삭임,2020-03-25,"8,593,460",0.5%,"-30,822,720",-78.2%,"366,711,960",988,"-3,475",-77.9%,"43,494",86,297,미국,미국,(주)제이앤씨미디어그룹
30,인셉션,2010-07-21,"4,689,600",0.3%,"4,468,600",2022.0%,"44,388,662,000",941,914,3385.2%,"5,943,953",14,72,미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
31,공수도,2020-04-09,"7,644,800",0.5%,"-8,572,300",-52.9%,"23,861,900",913,-969,-51.5%,"2,795",70,331,한국,한국,(주)그노스
32,스코어: 영화음악의 모든 것,2017-10-19,"4,562,500",0.3%,"4,562,500",100.0%,"101,279,000",905,905,100.0%,"13,128",25,179,미국,미국,(주)라이크콘텐츠
33,어바웃 타임,2013-12-05,"3,780,500",0.2%,"-1,092,500",-22.4%,"25,248,992,300",736,-208,-22.0%,"3,440,393",12,75,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
34,너의 새는 노래할 수 있어,2020-04-16,"6,272,340",0.4%,"2,026,340",47.7%,"10,693,340",720,312,76.5%,"1,163",37,163,일본,일본,(주)디오시네마
35,기도의 힘,2020-04-09,"5,555,100",0.3%,"-1,715,720",-23.6%,"14,225,920",707,-180,-20.3%,"1,794",58,180,미국,미국,주식회사 더쿱
