●20주차 (2020년 05월 11일 ~ 2020년 05월 17일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
31,티파니에서 아침을,2011-08-26,"7,068,500",0.3%,"-9,711,500",-57.9%,"121,787,700",938,"-1,323",-58.5%,"26,880",53,182,미국,미국,주식회사 마운틴픽쳐스
32,얼굴없는 보스: 못다한 이야기 감독판,2020-05-13,"7,225,820",0.3%,"7,225,820",100.0%,"7,225,820",893,893,100.0%,893,50,269,한국,한국,"(주)좋은 하늘,(주)박수엔터테인먼트"
33,어쩌다 아스널,2020-05-13,"7,194,700",0.3%,"7,194,700",100.0%,"7,194,700",865,865,100.0%,865,85,383,프랑스,프랑스,(주)스마일이엔티
34,슈팅걸스,2020-05-06,"6,709,580",0.3%,"-20,351,200",-75.2%,"72,341,360",855,"-2,552",-74.9%,"9,853",105,347,한국,한국,(주)영화사오원
35,늑대아이,2012-09-13,"5,097,500",0.2%,"5,097,500",100.0%,"2,344,219,461",841,841,100.0%,"340,696",60,184,일본,일본,(주)미디어데이
36,기생충,2019-05-30,"5,138,380",0.2%,"-37,145,620",-87.8%,"87,457,272,215",657,"-4,307",-86.8%,"10,312,674",94,276,한국,한국,(주)씨제이이엔엠
37,헌티드 파크,2020-05-06,"4,996,600",0.2%,"-19,986,660",-80.0%,"30,897,860",605,"-2,249",-78.8%,"3,561",97,239,일본,일본,(주)삼백상회
38,해피 해피 레스토랑,2020-05-14,"4,512,640",0.2%,"4,000,640",781.4%,"5,270,640",587,523,817.2%,700,24,97,일본,일본,찬란
39,미스터 주: 사라진 VIP,2020-01-22,"4,643,000",0.2%,"-5,277,000",-53.2%,"5,078,163,660",536,-456,-46.0%,"604,143",3,3,한국,한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
40,카페 벨에포크,2020-05-20,"2,956,000",0.1%,"2,056,000",228.4%,"3,856,000",531,456,608.0%,606,4,5,프랑스,프랑스,(주)이수C&E
41,애프터 웨딩 인 뉴욕,2020-04-23,"4,398,520",0.2%,"-21,341,860",-82.9%,"152,934,660",530,"-2,499",-82.5%,"18,672",50,171,영국,영국,(주)영화사 진진
42,미스비헤이비어,2020-05-27,"2,635,000",0.1%,"2,635,000",100.0%,"2,635,000",527,527,100.0%,527,2,2,영국,영국,판씨네마(주)
