●02주차 (2021년 01월 11일 ~ 2021년 01월 17일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,원더 우먼 1984,2020-12-23,"253,591,180",20.2%,"-175,009,720",-40.8%,"4,827,259,510","27,243","-18,445",-40.4%,"534,361",823,"8,290",미국,미국,워너브러더스 코리아(주)
2,아이 엠 우먼,2021-01-14,"115,665,070",9.2%,"114,027,070",6961.4%,"125,066,570","13,210","13,028",7158.2%,"14,215",494,"3,661",호주,호주,(주)팝엔터테인먼트
3,화양연화,2000-10-20,"118,767,110",9.5%,"-28,752,920",-19.5%,"773,018,390","12,783","-3,217",-20.1%,"88,581",376,"3,658",홍콩,"홍콩,프랑스",(주)디스테이션
4,#아이엠히어,2021-01-14,"98,807,130",7.9%,"98,121,130",14303.4%,"99,493,130","11,963","11,865",12107.1%,"12,061",432,"2,840",프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW)
5,블라인드,2021-01-14,"93,681,000",7.5%,"92,582,000",8424.2%,"94,780,000","10,442","10,285",6551.0%,"10,599",239,"2,152",네덜란드,네덜란드,주식회사 컨텐츠썬
6,도굴,2020-11-04,"50,275,380",4.0%,"-12,627,400",-20.1%,"13,943,212,850","5,477","-1,438",-20.8%,"1,543,277",203,"1,483",한국,한국,(주)씨제이이엔엠
7,늑대와 춤을,1991-03-31,"42,731,920",3.4%,"34,118,020",396.1%,"51,677,820","4,982","4,176",518.1%,"5,898",201,"1,080",미국,미국,"(주)더세컨드웨이브,(주)영화특별시에스엠씨"
8,마이 미씽 발렌타인,2021-01-14,"38,313,570",3.1%,"38,313,570",100.0%,"38,313,570","4,782","4,782",100.0%,"4,782",153,"1,039",기타,기타,(주)트리플픽쳐스
9,빅풋 주니어2: 패밀리가 떴다,2021-01-06,"39,273,000",3.1%,"-4,757,440",-10.8%,"112,699,280","4,711",-482,-9.3%,"13,524",209,"1,157",기타,기타,(주)이수C&E
10,조제,2020-12-10,"40,249,010",3.2%,"-44,138,210",-52.3%,"1,876,179,450","4,391","-4,851",-52.5%,"209,062",231,"1,577",한국,한국,워너브러더스 코리아(주)
11,미스터 존스,2021-01-07,"36,650,170",2.9%,"-13,756,580",-27.3%,"87,484,920","4,185","-1,433",-25.5%,"9,853",238,"1,380",폴란드,폴란드,(주)디오시네마
12,라라랜드,2016-12-07,"22,225,900",1.8%,"-807,100",-3.5%,"30,939,432,708","3,095",-180,-5.5%,"3,751,411",78,490,미국,미국,판씨네마(주)
13,뱅가드,2020-12-30,"21,872,500",1.7%,"-34,198,900",-61.0%,"262,450,100","2,476","-3,831",-60.7%,"31,131",128,929,중국,중국,(주)디스테이션
14,완벽한 가족,2021-01-06,"19,646,920",1.6%,"-27,347,920",-58.2%,"67,344,260","2,285","-2,944",-56.3%,"7,582",198,"1,030",미국,미국,(주)제이앤씨미디어그룹
15,인터스텔라,2014-11-06,"20,048,000",1.6%,"13,144,000",190.4%,"82,831,209,000","2,005","1,315",190.6%,"10,325,640",17,147,미국,"미국,영국",워너브러더스 코리아(주)
16,빛의 아버지: 파이널 판타지 XIV,2021-01-14,"17,522,200",1.4%,"17,522,200",100.0%,"17,522,200","1,971","1,971",100.0%,"1,971",98,525,일본,일본,(주)디스테이션
17,걸,2021-01-07,"14,293,200",1.1%,"-12,094,510",-45.8%,"42,830,910","1,651","-1,179",-41.7%,"4,696",176,790,독일,독일,(주)리틀빅픽쳐스
