●08주차 (2019년 02월 18일 ~ 2019년 02월 24일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,사바하,2019-02-20,"9,977,756,613",31.5%,"9,964,868,613",77319.0%,"9,995,969,613","1,174,016","1,172,584",81884.4%,"1,176,175","1,174","28,670",한국,한국,(주)씨제이이엔엠
2,극한직업,2019-01-23,"7,305,844,110",23.1%,"-6,738,865,484",-48.0%,"132,701,663,676","881,036","-816,342",-48.1%,"15,417,277","1,073","29,301",한국,한국,(주)씨제이이엔엠
3,증인,2019-02-13,"6,588,602,410",20.8%,"738,859,169",12.6%,"12,751,447,311","823,118","119,743",17.0%,"1,560,256","1,047","25,404",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
4,알리타: 배틀 엔젤,2019-02-05,"1,494,476,643",4.7%,"-2,848,323,732",-65.6%,"18,035,276,097","167,328","-293,819",-63.7%,"1,885,346",637,"7,669",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
5,신데렐라:마법 반지의 비밀,2019-02-20,"986,753,890",3.1%,"973,172,890",7165.7%,"1,000,334,890","131,642","130,133",8623.8%,"133,151",575,"3,733",미국,미국,예지림엔터테인먼트
6,해피 데스데이 2 유,2019-02-14,"850,400,580",2.7%,"-1,576,605,710",-65.0%,"3,277,406,870","104,255","-183,887",-63.8%,"392,397",590,"7,015",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
7,드래곤 길들이기 3,2019-01-30,"617,695,910",1.9%,"-660,565,430",-51.7%,"11,774,692,016","83,043","-83,595",-50.2%,"1,430,717",408,"2,944",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
8,해리포터와 비밀의 방,2002-12-13,"695,995,000",2.2%,"695,995,000",100.0%,"695,995,000","79,301","79,301",100.0%,"79,301",33,"1,054",미국,미국,워너브러더스 코리아(주)
9,콜드 체이싱,2019-02-20,"642,847,987",2.0%,"640,609,987",28624.2%,"645,085,987","78,016","77,729",27083.3%,"78,303",480,"5,630",영국,영국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
10,메리 포핀스 리턴즈,2019-02-14,"545,788,490",1.7%,"-524,747,250",-49.0%,"1,627,896,230","69,028","-60,276",-46.6%,"199,519",508,"4,252",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
11,기묘한 가족,2019-02-13,"328,450,200",1.0%,"-1,333,028,595",-80.2%,"2,087,449,995","42,740","-160,378",-79.0%,"258,994",580,"4,488",한국,한국,메가박스중앙(주)플러스엠
12,더 페이버릿: 여왕의 여자,2019-02-21,"282,207,410",0.9%,"245,682,110",672.6%,"346,640,010","32,408","28,240",677.5%,"39,505",83,734,미국,미국,이십세기폭스코리아(주)
13,명탐정 코난:전율의 악보,2019-02-14,"214,720,000",0.7%,"-428,644,000",-66.6%,"858,084,000","28,095","-55,281",-66.3%,"111,471",175,"1,320",일본,일본,(주)씨제이이엔엠
14,모험왕 블링키,2019-02-20,"123,246,870",0.4%,"117,189,870",1934.8%,"129,303,870","17,408","16,735",2486.6%,"18,081",226,"1,180",호주,호주,(주)라이크콘텐츠
15,가버나움,2019-01-24,"107,428,040",0.3%,"-69,797,030",-39.4%,"1,027,892,596","13,165","-8,245",-38.5%,"122,362",70,614,기타,기타,"그린나래미디어(주),플레이리스트(주)"
16,극장판 헬로카봇: 옴파로스 섬의 비밀,2019-01-31,"80,239,710",0.3%,"-174,924,510",-68.6%,"4,440,716,030","10,896","-24,017",-68.8%,"569,040",106,591,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
17,그린 북,2019-01-09,"88,787,540",0.3%,"-59,251,640",-40.0%,"2,668,003,394","10,655","-6,782",-38.9%,"305,499",52,464,미국,미국,CGV아트하우스
18,크리드2,2019-02-21,"86,954,600",0.3%,"76,428,600",726.1%,"97,480,600","10,550","9,361",787.3%,"11,739",298,"1,789",미국,미국,워너브러더스 코리아(주)
19,드래곤볼 슈퍼: 브로리,2019-02-14,"59,606,860",0.2%,"-178,928,920",-75.0%,"298,142,640","7,295","-20,435",-73.7%,"35,025",188,683,일본,일본,(주)이수C&E
20,신밧드와 마법 양탄자,2019-02-13,"43,132,200",0.1%,"-114,994,440",-72.7%,"201,258,840","7,167","-15,668",-68.6%,"30,002",193,471,덴마크,덴마크,(주)박수엔터테인먼트
21,뺑반,2019-01-30,"38,813,340",0.1%,"-676,905,090",-94.6%,"15,217,986,048","5,007","-83,946",-94.4%,"1,826,154",164,535,한국,한국,(주)쇼박스
22,러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,2019-02-14,"40,535,520",0.1%,"-19,191,160",-32.1%,"121,370,200","4,950","-2,123",-30.0%,"13,845",60,464,일본,일본,(주)애니플러스
