●48주차 (2019년 11월 25일 ~ 2019년 12월 01일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,겨울왕국 2,2019-11-21,"33,653,472,160",74.9%,"-4,371,487,640",-11.5%,"71,678,431,960","4,145,740","-291,994",-6.6%,"8,583,474","2,368","83,423",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,나를 찾아줘,2019-11-27,"3,680,433,200",8.2%,"3,671,771,200",42389.4%,"3,689,095,200","461,630","460,664",47687.8%,"462,596",875,"16,114",한국,한국,워너브러더스 코리아(주)
3,블랙머니,2019-11-13,"3,551,574,580",7.9%,"-2,905,343,570",-45.0%,"19,095,752,750","442,546","-324,474",-42.3%,"2,259,887",856,"14,033",한국,한국,(주)에이스메이커무비웍스
4,크롤,2019-11-27,"860,052,280",1.9%,"828,803,280",2652.3%,"893,173,280","106,446","103,019",3006.1%,"110,081",612,"7,086",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
5,신의 한 수: 귀수편,2019-11-07,"478,085,220",1.1%,"-1,574,054,360",-76.7%,"18,397,744,810","62,658","-183,944",-74.6%,"2,147,825",647,"3,928",한국,한국,(주)씨제이이엔엠
6,러브 앳,2019-11-27,"410,214,000",0.9%,"389,225,500",1854.5%,"436,662,500","50,808","48,076",1759.7%,"54,320",153,"2,312",프랑스,"프랑스,벨기에",(주)크리픽쳐스
7,82년생 김지영,2019-10-23,"357,868,280",0.8%,"-680,270,290",-65.5%,"30,203,363,050","46,445","-81,068",-63.6%,"3,665,813",490,"2,961",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
8,허슬러,2019-11-27,"272,134,140",0.6%,"254,366,140",1431.6%,"289,902,140","33,399","31,178",1403.8%,"35,620",445,"3,903",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
9,윤희에게,2019-11-14,"178,896,640",0.4%,"-53,786,940",-23.1%,"686,559,070","22,658","-6,420",-22.1%,"86,344",87,969,한국,한국,(주)리틀빅픽쳐스
10,터미네이터: 다크 페이트,2019-10-30,"150,208,220",0.3%,"-443,446,070",-74.7%,"20,096,392,330","18,869","-53,981",-74.1%,"2,401,975",220,861,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
11,감쪽같은 그녀,2019-12-04,"94,138,000",0.2%,"27,198,000",40.6%,"217,351,000","15,425","5,577",56.6%,"33,091",62,89,한국,한국,메가박스중앙(주)플러스엠
12,아이리시맨,2019-11-20,"81,655,240",0.2%,"-49,231,120",-37.6%,"217,041,600","10,173","-4,504",-30.7%,"25,300",68,367,미국,미국,판씨네마(주)
13,결혼 이야기,2019-11-27,"76,121,800",0.2%,"74,761,800",5497.2%,"77,481,800","9,445","9,275",5455.9%,"9,615",83,577,영국,영국,판씨네마(주)
14,카센타,2019-11-27,"69,470,220",0.2%,"67,886,220",4285.7%,"79,842,220","9,049","8,905",6184.0%,"10,173",138,898,한국,한국,(주)트리플픽쳐스
15,오피셜 시크릿,2019-11-27,"71,244,100",0.2%,"68,463,100",2461.8%,"74,025,100","8,947","8,638",2795.5%,"9,256",153,"1,171",영국,영국,(주)팬엔터테인먼트
16,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,"52,211,700",0.1%,"16,832,720",47.6%,"98,946,680","7,294","2,956",68.1%,"12,957",54,303,이탈리아,"이탈리아,스위스,독일,프랑스","㈜영화사 백두대간,영화사 풀"
