●28주차 (2019년 07월 08일 ~ 2019년 07월 14일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,스파이더맨: 파 프롬 홈,2019-07-02,"18,707,068,730",50.6%,"-20,293,876,380",-52.0%,"57,716,573,840","2,163,781","-2,357,419",-52.1%,"6,685,837","1,901","61,809",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2,알라딘,2019-05-23,"8,049,177,260",21.8%,"156,380",0.0%,"86,704,640,479","938,648","-12,221",-1.3%,"10,161,314",976,"20,265",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,토이 스토리 4,2019-06-20,"3,062,666,940",8.3%,"-1,341,548,620",-30.5%,"26,723,027,850","367,361","-165,506",-31.1%,"3,151,324",784,"11,025",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,기방도령,2019-07-10,"1,790,462,140",4.8%,"1,767,296,140",7628.8%,"1,816,098,140","217,361","214,787",8344.5%,"220,182",625,"10,844",한국,한국,판씨네마(주)
5,기생충,2019-05-30,"1,097,073,240",3.0%,"-559,832,060",-33.8%,"84,616,049,725","145,529","-52,271",-26.4%,"9,921,310",488,"5,305",한국,한국,(주)씨제이이엔엠
6,진범,2019-07-10,"913,786,600",2.5%,"911,140,600",34434.6%,"922,196,600","105,676","105,382",35844.2%,"106,756",224,"4,230",한국,한국,(주)리틀빅픽쳐스
7,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,"801,143,520",2.2%,"790,424,520",7374.1%,"811,862,520","100,054","98,863",8300.8%,"101,245",561,"3,049",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
8,애나벨 집으로,2019-06-26,"495,955,050",1.3%,"-378,757,240",-43.3%,"3,809,833,030","60,543","-46,623",-43.5%,"459,037",262,"2,182",미국,미국,워너브러더스 코리아(주)
9,존 윅 3: 파라벨룸,2019-06-26,"508,652,710",1.4%,"-1,000,020,840",-66.3%,"7,806,362,702","59,459","-118,365",-66.6%,"913,444",495,"3,404",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
10,미드소마,2019-07-11,"422,374,980",1.1%,"417,380,480",8356.8%,"427,369,480","45,182","44,657",8506.1%,"45,707",388,"2,697",미국,미국,(주)팝엔터테인먼트
11,천로역정: 천국을 찾아서,2019-06-13,"200,512,020",0.5%,"-9,732,770",-4.6%,"1,931,705,670","28,313",-262,-0.9%,"256,679",92,665,미국,미국,"(재)CBS,주식회사 마운틴픽쳐스"
12,롱 리브 더 킹: 목포 영웅,2019-06-19,"96,114,600",0.3%,"-312,193,470",-76.5%,"9,194,200,830","12,390","-39,748",-76.2%,"1,088,984",198,"1,020",한국,한국,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다"
13,칠드런 액트,2019-07-04,"66,733,080",0.2%,"9,073,870",15.7%,"137,255,490","8,350","1,632",24.3%,"16,391",55,521,영국,영국,(주)홈초이스
14,조,2019-07-11,"60,736,400",0.2%,"58,972,400",3343.1%,"69,768,400","7,212","7,034",3951.7%,"8,636",69,446,미국,미국,(주)팝엔터테인먼트
15,롱 샷,2019-07-24,"50,055,000",0.1%,"23,433,000",88.0%,"131,641,000","5,896","2,938",99.3%,"15,180",18,30,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
16,난폭한 기록,2019-07-11,"38,676,390",0.1%,"38,676,390",100.0%,"38,676,390","4,437","4,437",100.0%,"4,437",152,771,한국,한국,케이티하이텔(주)
17,어벤져스: 엔드게임,2019-04-24,"37,843,880",0.1%,"9,310,490",32.6%,"122,114,891,470","4,417","1,086",32.6%,"13,926,507",12,101,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
18,마리아 칼라스: 세기의 디바,2019-07-11,"34,435,940",0.1%,"32,445,940",1630.4%,"36,425,940","4,386","4,124",1574.0%,"4,648",26,125,프랑스,프랑스,(주)영화사 진진
19,마녀배달부 키키,2007-11-22,"29,693,770",0.1%,"-56,733,280",-65.6%,"432,385,050","3,513","-6,755",-65.8%,"58,743",28,211,일본,일본,"(주)스마일이엔티,(주)키다리이엔티,대원미디어(주)"
20,북클럽,2019-06-20,"23,823,200",0.1%,"-17,428,160",-42.2%,"181,905,530","3,382","-2,230",-39.7%,"24,327",29,197,미국,미국,(주)영화사 진진
21,별의 정원,2019-07-04,"18,067,460",0.0%,"-33,516,920",-65.0%,"80,442,840","3,182","-3,744",-54.1%,"11,307",89,338,한국,한국,예지림엔터테인먼트
22,1919 유관순,2019-03-14,"23,848,000",0.1%,"23,498,000",6713.7%,"500,251,410","2,981","2,931",5862.0%,"60,490",8,25,한국,한국,"주식회사 마운틴픽쳐스,케이티하이텔(주)"
23,교회오빠,2019-05-16,"16,638,460",0.0%,"-6,086,840",-26.8%,"800,210,410","2,427",-658,-21.3%,"99,909",14,129,한국,한국,커넥트픽쳐스(주)
24,세상을 바꾼 변호인,2019-06-13,"17,319,500",0.0%,"-24,909,380",-59.0%,"370,166,030","2,283","-2,989",-56.7%,"46,879",19,114,미국,미국,CGV아트하우스
25,레드슈즈,2019-07-25,"19,515,000",0.1%,"18,115,000",1293.9%,"21,825,000","2,076","1,876",938.0%,"2,458",7,10,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
26,행복한 라짜로,2019-06-20,"17,440,000",0.0%,"-13,320",-0.1%,"100,985,740","1,973",-264,-11.8%,"12,614",17,114,이탈리아,이탈리아,주식회사 슈아픽처스
27,사탄의 인형,2019-06-20,"16,512,000",0.0%,"14,770,700",848.3%,"558,760,590","1,913","1,707",828.6%,"60,340",10,31,미국,미국,(주)이수C&E
28,라이온 킹,2019-07-17,"23,604,000",0.1%,"23,604,000",100.0%,"23,604,000","1,772","1,772",100.0%,"1,772",4,5,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
29,비스트,2019-06-26,"12,106,290",0.0%,"-160,140,970",-93.0%,"1,585,119,590","1,711","-19,958",-92.1%,"200,720",93,277,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
30,양들의 침묵,1991-06-22,"14,601,500",0.0%,"14,601,500",100.0%,"14,601,500","1,641","1,641",100.0%,"1,641",10,33,미국,미국,
31,맨 인 블랙: 인터내셔널,2019-06-12,"11,567,400",0.0%,"-24,205,450",-67.7%,"7,453,622,970","1,603","-3,863",-70.7%,"850,772",55,168,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
32,13년의 공백,2019-07-04,"11,614,160",0.0%,"-7,429,600",-39.0%,"40,918,120","1,570",-675,-30.1%,"4,957",45,243,일본,일본,"(주)영화사 그램,(주)디오시네마"
33,우리는 언제나 성에 살았다,2019-07-11,"12,907,000",0.0%,"11,467,000",796.3%,"14,347,000","1,535","1,355",752.8%,"1,715",27,131,미국,미국,(주)디스테이션
34,갤버스턴,2019-07-04,"10,788,500",0.0%,"-14,101,970",-56.7%,"51,459,170","1,398","-1,456",-51.0%,"6,270",44,221,미국,미국,(주)삼백상회
35,벤트: 마약의 도시,2019-07-12,"6,204,000",0.0%,"6,204,000",100.0%,"6,204,000","1,240","1,240",100.0%,"1,240",50,50,미국,"미국,스페인",노바엔터테인먼트
36,로켓맨,2019-06-05,"9,980,500",0.0%,"146,100",1.5%,"921,491,063","1,134",-18,-1.6%,"107,095",7,23,영국,"영국,미국",롯데컬처웍스(주)롯데엔터테인먼트
37,극장판 샤이닝스타:새로운 루나퀸의 탄생!,2019-07-18,"8,838,800",0.0%,"8,838,800",100.0%,"8,838,800","1,115","1,115",100.0%,"1,115",5,9,한국,한국,(주)리틀빅픽쳐스
38,야간문,,"2,190,000",0.0%,"2,190,000",100.0%,"4,593,000","1,095","1,095",100.0%,"2,284",1,12,프랑스,프랑스,
39,썸머타임,,"2,188,000",0.0%,"2,188,000",100.0%,"14,921,000","1,094","1,094",100.0%,"7,015",1,20,영국,"영국,미국",
40,이웃집 토토로,2001-07-28,"9,379,500",0.0%,"-5,266,900",-36.0%,"1,333,800,230","1,041",-674,-39.3%,"162,435",9,31,일본,일본,"(주)스마일이엔티,(주)키다리이엔티"
41,악인전,2019-05-15,"5,371,800",0.0%,"-119,380",-2.2%,"29,129,177,650",977,-14,-1.4%,"3,364,100",6,42,한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
42,시로코,,"1,788,000",0.0%,"1,788,000",100.0%,"4,182,000",894,894,100.0%,"1,943",1,15,미국,미국,
43,예스터데이,2019-09-18,"7,468,000",0.0%,"7,468,000",100.0%,"7,468,000",828,828,100.0%,828,1,2,미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
44,바스터즈: 거친 녀석들,2009-10-28,"6,761,000",0.0%,"6,761,000",100.0%,"2,519,790,000",757,757,100.0%,"332,584",8,20,미국,"미국,독일",유니버설픽쳐스인터내셔널 코리아(유)
45,한낮의 피크닉,2019-07-04,"5,192,780",0.0%,"-993,950",-16.1%,"14,995,010",706,-33,-4.5%,"2,026",21,139,한국,한국,서울독립영화제
46,데드 돈 다이,2019-07-31,"6,231,600",0.0%,"6,231,600",100.0%,"6,231,600",678,678,100.0%,678,6,14,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
47,파리의 딜릴리,2019-05-29,"5,683,000",0.0%,"-436,000",-7.1%,"120,459,587",640,-35,-5.2%,"14,282",5,30,프랑스,프랑스,오드
48,모정에 우는 두 아들,,"1,230,000",0.0%,"1,230,000",100.0%,"14,904,000",615,615,100.0%,"7,408",1,16,한국,한국,
49,주전장,2019-07-25,"4,527,000",0.0%,"4,527,000",100.0%,"4,527,000",573,573,100.0%,573,2,3,미국,미국,(주)시네마달
50,엑스맨: 다크 피닉스,2019-06-05,"5,018,000",0.0%,"-4,230,160",-45.7%,"7,649,216,640",541,-630,-53.8%,"862,744",2,3,미국,미국,이십세기폭스코리아(주)
51,엑소시스트 디렉터스컷,,"4,515,500",0.0%,"4,515,500",100.0%,"4,515,500",524,524,100.0%,524,6,17,미국,미국,
52,꼬마 물고기 이자벨: 바다 대모험,2019-07-18,"5,753,000",0.0%,"-341,000",-5.6%,"11,847,000",523,-31,-5.6%,"1,077",3,3,미국,미국,와이드 릴리즈(주)
53,쁘띠 아만다,2019-06-27,"3,554,200",0.0%,"-6,684,700",-65.3%,"30,624,880",520,-772,-59.8%,"3,895",17,68,프랑스,프랑스,알토미디어(주)
54,28일 후,2003-09-18,"4,326,000",0.0%,"4,326,000",100.0%,"4,326,000",483,483,100.0%,483,6,15,미국,"미국,프랑스,영국",이십세기폭스필름코퍼레이션
55,진홍의 평원,,"959,000",0.0%,"959,000",100.0%,"6,255,000",477,477,100.0%,"3,099",1,11,영국,영국,
56,리버티 밸런스를 쏜 사나이,,"839,000",0.0%,"839,000",100.0%,"12,310,000",450,450,100.0%,"5,480",1,6,미국,미국,
57,보희와 녹양,2019-05-29,"2,730,500",0.0%,"1,180,100",76.1%,"38,575,000",410,204,99.0%,"4,799",6,31,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
58,28주 후,,"3,737,500",0.0%,"3,737,500",100.0%,"3,737,500",403,403,100.0%,403,5,10,영국,영국,
59,연인,1992-06-20,"3,497,500",0.0%,"3,497,500",100.0%,"124,307,191",396,396,100.0%,"16,543",4,10,프랑스,프랑스,(주)팝엔터테인먼트
60,가버나움,2019-01-24,"1,930,000",0.0%,"1,920,000",19200.0%,"1,187,688,019",386,376,3760.0%,"143,088",2,4,기타,기타,"그린나래미디어(주),플레이리스트(주)"
61,마담 싸이코,2019-06-26,"3,031,500",0.0%,"-37,630,500",-92.5%,"359,155,700",375,"-4,414",-92.2%,"42,601",13,40,미국,미국,(주)쇼박스
62,악마의 씨,,"3,102,500",0.0%,"3,102,500",100.0%,"3,102,500",358,358,100.0%,358,6,12,미국,미국,
63,로망,2019-04-03,"1,745,000",0.0%,"990,000",131.1%,"585,978,900",349,198,131.1%,"79,133",2,5,한국,한국,(주)메리크리스마스
64,발광하는 현대사,2019-07-18,"3,773,000",0.0%,"3,773,000",100.0%,"3,773,000",343,343,100.0%,343,2,2,한국,한국,케이티하이텔(주)
65,암전,2019-08-15,"2,889,000",0.0%,"2,889,000",100.0%,"2,889,000",321,321,100.0%,321,2,2,한국,한국,TCO(주)더콘텐츠온
65,나이트메어 시네마,2019-07-17,"2,885,000",0.0%,"292,500",11.3%,"5,477,500",321,20,6.6%,622,3,9,미국,미국,(주)영화사 빅
67,뽀로로 극장판 보물섬 대모험,2019-04-25,"1,786,000",0.0%,"367,300",25.9%,"5,882,855,900",318,80,33.6%,"766,151",3,10,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
68,사하라,,"632,000",0.0%,"406,000",179.6%,"7,482,000",316,203,179.6%,"3,624",1,6,미국,미국,
69,나인송즈:오리지널,,"2,769,500",0.0%,"2,769,500",100.0%,"4,178,500",306,306,100.0%,485,5,11,영국,영국,
70,나의 특별한 형제,2019-05-01,"1,500,000",0.0%,"-446,000",-22.9%,"12,058,564,074",300,-12,-3.8%,"1,474,603",1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
71,라 트라비아타,2019-07-09,"7,152,000",0.0%,"7,152,000",100.0%,"7,152,000",291,291,100.0%,291,6,12,미국,미국,(주) 인스터 글로벌
72,수영장으로 간 남자들,2019-07-18,"2,320,000",0.0%,"4,000",0.2%,"5,760,000",290,12,4.3%,801,1,1,프랑스,프랑스,(주)엣나인필름
72,누구나 아는 비밀,2019-08-01,"2,320,000",0.0%,"2,320,000",100.0%,"8,008,000",290,290,100.0%,964,1,1,스페인,"스페인,프랑스,이탈리아","오드,(주)티캐스트"
74,걸캅스,2019-05-09,"1,410,000",0.0%,"13,000",0.9%,"13,806,434,134",282,70,33.0%,"1,628,784",2,5,한국,한국,(주)씨제이이엔엠
75,언더 더 실버레이크,2019-09-19,"2,314,500",0.0%,"2,314,500",100.0%,"2,314,500",279,279,100.0%,279,6,15,미국,미국,(주)팝엔터테인먼트
