●36주차 (2019년 09월 02일 ~ 2019년 09월 08일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,유열의 음악앨범,2019-08-28,"3,649,747,500",18.2%,"-1,747,831,900",-32.4%,"9,159,970,440","432,896","-239,967",-35.7%,"1,117,413",989,"25,150",한국,한국,CGV아트하우스
2,그것: 두 번째 이야기,2019-09-04,"3,598,581,737",17.9%,"3,594,036,737",79076.7%,"3,603,126,737","414,575","414,272",136723.4%,"414,878",999,"15,684",미국,미국,워너브러더스 코리아(주)
3,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,"2,418,107,080",12.1%,"2,407,101,080",21870.8%,"2,444,291,080","316,822","315,841",32195.8%,"319,417",889,"8,633",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
4,엑시트,2019-07-31,"2,581,185,380",12.9%,"-1,833,416,040",-41.5%,"77,455,895,882","308,304","-247,296",-44.5%,"9,215,316",732,"17,398",한국,한국,(주)씨제이이엔엠
5,변신,2019-08-21,"2,199,261,533",11.0%,"-3,799,919,887",-63.3%,"15,045,389,395","258,319","-472,043",-64.6%,"1,757,679",804,"18,310",한국,한국,(주)에이스메이커무비웍스
6,분노의 질주: 홉스&쇼,2019-08-14,"1,637,001,560",8.2%,"-2,065,596,120",-55.8%,"31,828,829,043","193,140","-255,663",-57.0%,"3,607,501",652,"11,418",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
7,47미터 2,2019-08-28,"1,082,951,493",5.4%,"-1,420,253,317",-56.7%,"3,598,477,303","129,116","-180,805",-58.3%,"440,356",590,"9,310",미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
8,봉오동 전투,2019-08-07,"476,103,200",2.4%,"-1,074,000,020",-69.3%,"40,446,099,578","60,086","-140,285",-70.0%,"4,767,092",485,"4,539",한국,한국,(주)쇼박스
9,안녕 베일리,2019-09-05,"333,016,700",1.7%,"318,782,800",2239.6%,"347,250,600","38,155","36,493",2195.7%,"39,817",184,"2,137",미국,미국,CGV아트하우스
10,광대들: 풍문조작단,2019-08-21,"265,043,690",1.3%,"-988,052,400",-78.8%,"5,192,915,408","34,959","-129,047",-78.7%,"632,384",456,"3,137",한국,한국,워너브러더스 코리아(주)
11,안나,2019-08-28,"275,138,270",1.4%,"-324,048,650",-54.1%,"876,109,190","32,794","-40,243",-55.1%,"106,044",406,"2,557",프랑스,프랑스,판씨네마(주)
12,벌새,2019-08-29,"198,990,076",1.0%,"32,261,860",19.3%,"377,564,792","23,925","4,547",23.5%,"44,867",135,"1,331",한국,한국,"(주)엣나인필름,(주)콘텐츠판다"
13,"힘을 내요, 미스터 리",2019-09-11,"172,963,000",0.9%,"136,093,000",369.1%,"215,618,000","20,045","14,972",295.1%,"25,929",24,89,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
14,레드슈즈,2019-07-25,"33,700,200",0.2%,"-55,761,630",-62.3%,"6,006,602,850","16,176","-7,592",-31.9%,"802,678",32,220,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
15,타짜: 원 아이드 잭,2019-09-11,"138,242,300",0.7%,"126,488,300",1076.1%,"151,830,300","14,260","12,954",991.9%,"15,828",31,72,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
16,커런트 워,2019-08-22,"93,083,900",0.5%,"-411,748,700",-81.6%,"1,787,752,800","12,660","-50,397",-79.9%,"206,919",168,"1,136",미국,미국,(주)이수C&E
17,우리집,2019-08-22,"78,144,086",0.4%,"-45,835,058",-37.0%,"344,811,510","10,069","-5,431",-35.0%,"42,585",92,937,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
18,알라딘,2019-05-23,"91,179,000",0.5%,"-107,160,490",-54.0%,"106,931,109,399","9,653","-11,807",-55.0%,"12,549,186",43,383,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
19,나쁜 녀석들: 더 무비,2019-09-11,"79,352,500",0.4%,"79,352,500",100.0%,"79,352,500","9,249","9,249",100.0%,"9,249",25,50,한국,한국,(주)씨제이이엔엠
20,어바웃 타임,2013-12-05,"46,885,500",0.2%,"40,946,500",689.5%,"25,068,333,300","7,873","6,880",692.8%,"3,405,257",67,493,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
21,비긴 어게인,2014-08-13,"41,212,000",0.2%,"36,333,000",744.7%,"27,199,775,961","6,913","6,097",747.2%,"3,443,458",68,514,미국,미국,판씨네마(주)
22,블라인드 멜로디,2019-08-28,"54,608,600",0.3%,"-56,484,800",-50.8%,"183,235,000","6,908","-7,019",-50.4%,"22,620",129,869,인도,인도,찬란
23,틴 스피릿,2019-09-04,"42,475,410",0.2%,"42,475,410",100.0%,"52,263,410","5,202","5,202",100.0%,"6,260",203,"1,179",미국,미국,"TCO(주)더콘텐츠온,플레이리스트(주)"
24,룩 어웨이,2019-08-21,"3,867,000",0.0%,"-3,803,000",-49.6%,"23,370,800","3,867","-1,947",-33.5%,"11,002",4,34,캐나다,캐나다,(주)드림팩트엔터테인먼트
25,김복동,2019-08-08,"24,949,080",0.1%,"-15,010,570",-37.6%,"667,660,560","3,435","-2,668",-43.7%,"81,869",29,175,한국,한국,(주)엣나인필름
26,집으로...,2002-04-04,"23,981,800",0.1%,"13,922,000",138.4%,"41,605,600","2,906","1,751",151.6%,"4,975",51,395,한국,한국,"(주)팝엔터테인먼트,CJ ENM"
27,봄날은 간다,2001-09-28,"16,632,000",0.1%,"14,875,000",846.6%,"32,822,500","2,824","2,528",854.1%,"5,568",62,443,한국,한국,(주)시네마서비스
28,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,"23,163,000",0.1%,"23,030,000",17315.8%,"1,093,640,140","2,694","2,667",9877.8%,"138,040",7,14,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
29,극장판 반지의 비밀일기,2019-09-11,"20,530,000",0.1%,"20,530,000",100.0%,"20,530,000","2,470","2,470",100.0%,"2,470",12,19,한국,한국,"(주)영화사 빅,(주)버킷스튜디오"
30,쉘부르의 우산,1992-09-26,"16,022,940",0.1%,"-17,061,454",-51.6%,"92,104,280","2,251","-2,328",-50.8%,"12,666",21,134,프랑스,"프랑스,독일",(주)에스와이코마드
