●40주차 (2019년 09월 30일 ~ 2019년 10월 06일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,조커,2019-10-02,"19,352,014,910",47.2%,"19,351,174,910",2303711.3%,"19,352,854,910","2,199,736","2,199,656",2749570.0%,"2,199,816","1,418","32,841",미국,미국,워너브러더스 코리아(주)
2,가장 보통의 연애,2019-10-02,"9,067,763,880",22.1%,"9,012,224,880",16226.8%,"9,126,109,880","1,057,695","1,051,323",16499.1%,"1,064,468","1,073","25,873",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
3,퍼펙트맨,2019-10-02,"4,859,391,260",11.8%,"4,377,400,240",908.2%,"5,533,209,280","574,204","514,818",866.9%,"664,046",894,"16,463",한국,한국,(주)쇼박스
4,장사리 : 잊혀진 영웅들,2019-09-25,"2,761,848,510",6.7%,"-2,699,409,230",-49.4%,"8,261,689,250","348,398","-337,022",-49.2%,"1,038,105",997,"17,312",한국,한국,워너브러더스 코리아(주)
5,양자물리학,2019-09-25,"1,250,913,330",3.0%,"-1,873,118,460",-60.0%,"4,436,532,120","155,050","-223,924",-59.1%,"542,651",778,"10,015",한국,한국,(주)메리크리스마스
6,나쁜 녀석들: 더 무비,2019-09-11,"916,919,700",2.2%,"-3,358,767,860",-78.6%,"39,445,761,284","114,466","-420,990",-78.6%,"4,556,691",872,"10,008",한국,한국,(주)씨제이이엔엠
7,소피와 드래곤: 마법책의 비밀,2019-10-02,"547,150,330",1.3%,"544,342,330",19385.4%,"549,958,330","70,108","69,796",22370.5%,"70,420",469,"2,795",러시아,러시아,(주)씨제이이엔엠
8,원스 어폰 어 타임... 인 할리우드,2019-09-25,"507,986,370",1.2%,"-1,078,351,930",-68.0%,"2,104,844,670","61,137","-134,607",-68.8%,"258,139",631,"4,846",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
9,몬스터 하우스,2019-10-03,"301,267,700",0.7%,"297,131,700",7184.0%,"305,403,700","37,356","36,714",5718.7%,"37,998",202,"1,111",캐나다,캐나다,(주)박수엔터테인먼트
10,애드 아스트라,2019-09-19,"170,534,200",0.4%,"-929,954,680",-84.5%,"4,480,528,780","21,256","-113,323",-84.2%,"508,767",475,"2,105",미국,미국,이십세기폭스코리아(주)
11,47미터 2,2019-08-28,"17,678,300",0.0%,"3,596,400",25.5%,"3,833,030,653","15,906","4,403",38.3%,"492,132",10,151,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
12,타짜: 원 아이드 잭,2019-09-11,"119,180,010",0.3%,"-697,721,260",-85.4%,"19,673,695,114","14,724","-86,493",-85.5%,"2,227,543",376,"2,174",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
13,더 룸,2019-09-25,"93,741,600",0.2%,"-248,417,300",-72.6%,"455,202,100","11,211","-30,943",-73.4%,"55,893",158,"1,216",프랑스,"프랑스,룩셈부르크,벨기에","(주)퍼스트런,(주)팬엔터테인먼트"
14,메기,2019-09-26,"88,739,320",0.2%,"-8,111,437",-8.4%,"200,635,577","10,660",-775,-6.8%,"23,978",153,944,한국,한국,"(주)엣나인필름,CGV아트하우스"
15,벌새,2019-08-29,"84,795,040",0.2%,"-14,704,163",-14.8%,"956,148,165","10,535","-2,247",-17.6%,"116,683",58,543,한국,한국,"(주)엣나인필름,(주)콘텐츠판다"
16,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,"74,213,520",0.2%,"-65,400,390",-46.8%,"4,548,779,950","9,488","-8,693",-47.8%,"586,240",70,477,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
17,예스터데이,2019-09-18,"72,346,600",0.2%,"-443,143,660",-86.0%,"2,547,362,000","9,239","-56,023",-85.8%,"301,485",308,"1,046",미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
18,오션스: 문어구출대작전,2019-10-03,"71,028,300",0.2%,"71,028,300",100.0%,"71,028,300","9,051","9,051",100.0%,"9,051",191,724,중국,중국,와이드 릴리즈(주)
19,레플리카,2019-09-25,"72,766,570",0.2%,"-171,687,030",-70.2%,"318,740,170","8,958","-22,058",-71.1%,"40,164",322,"1,359",미국,미국,(주)제이앤씨미디어그룹
20,"힘을 내요, 미스터 리",2019-09-11,"41,827,530",0.1%,"-292,848,730",-87.5%,"9,876,740,406","6,676","-40,024",-85.7%,"1,172,866",196,566,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
21,제미니 맨,2019-10-09,"58,104,000",0.1%,"58,104,000",100.0%,"58,104,000","6,446","6,446",100.0%,"6,446",28,29,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
22,미드 90,2019-09-25,"42,795,320",0.1%,"-39,533,928",-48.0%,"136,224,568","5,118","-4,924",-49.0%,"16,356",100,552,미국,미국,"오드,(주)홈초이스"
23,100일 동안 100가지로 100퍼센트 행복찾기,2019-09-12,"34,370,060",0.1%,"-10,968,900",-24.2%,"225,036,050","4,372","-1,455",-25.0%,"28,313",59,228,독일,독일,(주)영화사 진진
24,마왕의 딸 이리샤,2019-09-26,"23,624,460",0.1%,"-53,410,360",-69.3%,"108,510,280","3,921","-6,362",-61.9%,"15,093",135,488,한국,한국,"(주)싸이더스,(주)삼백상회"
25,뱅드림! 필름 라이브,2019-09-26,"29,407,130",0.1%,"-27,156,330",-48.0%,"85,970,590","3,506","-2,641",-43.0%,"9,653",54,326,일본,일본,(주)애니플러스
26,매트릭스,1999-05-15,"27,533,000",0.1%,"-127,691,000",-82.3%,"249,147,100","3,041","-14,396",-82.6%,"28,629",23,259,미국,미국,"영화사 마농(주),(주)씨네클럽봉봉미엘"
27,미드소마 감독판,2019-10-03,"27,681,220",0.1%,"25,881,220",1437.8%,"29,481,220","3,013","2,833",1573.9%,"3,193",37,161,미국,미국,(주)팝엔터테인먼트
28,아워 바디,2019-09-26,"22,196,730",0.1%,"-3,671,367",-14.2%,"57,699,527","2,760",-150,-5.2%,"6,828",52,322,한국,한국,(주)영화사 진진
29,디어 마이 프렌드,2019-10-09,"20,192,000",0.0%,"16,576,000",458.4%,"27,646,000","2,524","2,072",458.4%,"3,484",6,11,미국,미국,(주)팝엔터테인먼트
30,트루 시크릿,2019-10-03,"16,893,280",0.0%,"15,177,780",884.7%,"20,269,780","1,868","1,632",691.5%,"2,255",26,117,프랑스,프랑스,M&M 인터내셔널
31,나의 노래는 멀리멀리,2019-10-03,"13,335,000",0.0%,"8,178,000",158.6%,"18,492,000","1,643","1,070",186.7%,"2,216",26,99,한국,한국,영화사 풀
32,트레킹: 저주의 숲,2019-07-04,"1,536,000",0.0%,"1,536,000",100.0%,"1,537,000","1,500","1,500",100.0%,"1,501",1,6,독일,독일,제인앤유
32,여대생 기숙사에서 생긴 일,2019-09-10,"1,536,000",0.0%,"1,535,000",153500.0%,"1,537,000","1,500","1,499",149900.0%,"1,501",1,6,미국,미국,제인앤유
32,이스케이프 게임,2019-10-11,"1,536,000",0.0%,"1,536,000",100.0%,"1,536,000","1,500","1,500",100.0%,"1,500",1,6,독일,독일,제인앤유
32,사이코패스,2019-09-18,"1,536,000",0.0%,"1,535,000",153500.0%,"1,537,000","1,500","1,499",149900.0%,"1,501",1,6,미국,미국,제인앤유
32,추격자: 살인자의 증거,2019-07-24,"1,536,000",0.0%,"1,536,000",100.0%,"1,537,000","1,500","1,500",100.0%,"1,501",1,6,독일,독일,제인앤유
32,숲속의 마녀들,2019-08-14,"1,536,000",0.0%,"1,536,000",100.0%,"1,537,000","1,500","1,500",100.0%,"1,501",1,6,미국,미국,제인앤유
32,마녀: 소녀의 비밀,2019-07-24,"1,536,000",0.0%,"1,536,000",100.0%,"1,537,000","1,500","1,500",100.0%,"1,501",1,6,독일,독일,제인앤유
39,백만장자와 결혼하는 법,,"2,560,000",0.0%,"2,560,000",100.0%,"7,298,000","1,428","1,428",100.0%,"3,586",1,6,미국,미국,
40,다운 어 다크 홀,2019-09-26,"7,050,000",0.0%,"-12,000,000",-63.0%,"26,100,000","1,410","-2,400",-63.0%,"5,220",20,31,미국,"미국,스페인",(주)누리픽쳐스
41,벨 칸토,2019-09-26,"6,850,000",0.0%,"-14,550,000",-68.0%,"28,250,000","1,370","-2,910",-68.0%,"5,650",20,32,미국,미국,(주)누리픽쳐스
42,슈퍼 햄찌,2019-09-26,"9,150,000",0.0%,"-67,871,540",-88.1%,"92,935,540","1,353","-8,592",-86.4%,"12,174",83,222,핀란드,핀란드,와이드 릴리즈(주)
43,지상 최대의 작전,,"2,540,000",0.0%,"2,540,000",100.0%,"16,048,000","1,265","1,265",100.0%,"7,816",1,9,,,
44,판소리 복서,2019-10-09,"10,345,500",0.0%,"10,345,500",100.0%,"10,345,500","1,142","1,142",100.0%,"1,142",5,7,한국,한국,CGV아트하우스
45,리오 브라보,,"2,234,000",0.0%,"2,234,000",100.0%,"28,471,000","1,117","1,117",100.0%,"11,987",1,12,미국,미국,
46,코만체로스,,"2,212,000",0.0%,"2,212,000",100.0%,"8,282,000","1,106","1,106",100.0%,"3,944",1,20,미국,미국,
47,변신,2019-08-21,"5,465,000",0.0%,"-6,308,960",-53.6%,"15,408,906,925","1,091","-1,014",-48.2%,"1,803,112",6,37,한국,한국,(주)에이스메이커무비웍스
48,뷰티풀 보이,2019-09-19,"7,847,400",0.0%,"-17,021,738",-68.4%,"108,342,198","1,060","-2,245",-67.9%,"13,863",28,97,미국,미국,(주)이수C&E
49,엑시트,2019-07-31,"5,984,060",0.0%,"-27,130,040",-81.9%,"79,146,411,562","1,007","-3,308",-76.7%,"9,413,162",13,49,한국,한국,(주)씨제이이엔엠
50,봉오동 전투,2019-08-07,"5,750,000",0.0%,"-4,852,600",-45.8%,"40,562,296,538",969,-596,-38.1%,"4,783,422",8,18,한국,한국,(주)쇼박스
51,유열의 음악앨범,2019-08-28,"7,914,800",0.0%,"-17,207,100",-68.5%,"10,230,534,040",968,"-2,205",-69.5%,"1,245,116",19,63,한국,한국,CGV아트하우스
52,크리스마스 호러 스토리,,"4,812,560",0.0%,"-5,933,040",-55.2%,"139,304,530",934,"-1,218",-56.6%,"26,084",5,5,미국,미국,제인앤유
53,와일드 로즈,2019-10-17,"6,628,000",0.0%,"5,735,000",642.2%,"7,521,000",871,692,386.6%,"1,050",3,4,영국,영국,판씨네마(주)
54,도요새,,"1,740,000",0.0%,"1,740,000",100.0%,"5,007,000",870,870,100.0%,"2,483",1,15,미국,미국,
55,내 완벽한 남사친의 비밀,2019-03-27,"3,813,480",0.0%,"-13,370,800",-77.8%,"144,661,080",781,"-2,438",-75.7%,"27,520",3,4,미국,미국,제인앤유
56,우리집,2019-08-22,"5,745,800",0.0%,"-1,952,880",-25.4%,"420,834,840",753,-237,-23.9%,"52,214",17,91,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
57,안녕 베일리,2019-09-05,"4,345,500",0.0%,"-491,800",-10.2%,"498,209,800",736,-69,-8.6%,"60,581",7,34,미국,미국,CGV아트하우스
58,7인의 무뢰한,,"1,262,000",0.0%,"1,262,000",100.0%,"2,194,000",721,721,100.0%,880,1,8,미국,미국,
59,아이언 자이언트,2019-10-09,"6,118,900",0.0%,"6,118,900",100.0%,"6,925,900",691,691,100.0%,808,2,6,미국,미국,(주)삼백상회
60,계절과 계절 사이,2019-10-03,"5,761,200",0.0%,"4,402,200",323.9%,"11,243,200",646,495,327.8%,"1,305",22,76,한국,한국,(주)마노엔터테인먼트
61,윈체스터,2019-09-19,"3,150,000",0.0%,"-3,700,000",-54.0%,"29,600,000",630,-740,-54.0%,"5,920",2,14,호주,"호주,미국",(주)누리픽쳐스
62,극장판 반지의 비밀일기,2019-09-11,"3,727,000",0.0%,"-5,615,240",-60.1%,"532,883,170",620,-756,-54.9%,"66,507",22,37,한국,한국,"(주)영화사 빅,(주)버킷스튜디오"
63,와인스타인,2019-09-26,"4,569,680",0.0%,"-1,256,640",-21.6%,"12,720,000",602,-127,-17.4%,"1,657",46,179,미국,미국,(주)영화특별시에스엠씨
64,세계는 오늘부터 너의 것,,"3,104,200",0.0%,"-9,510,400",-75.4%,"139,300,020",581,"-1,964",-77.2%,"25,996",3,3,일본,일본,제인앤유
65,전원사형,2019-05-13,"2,971,040",0.0%,"-16,110,480",-84.4%,"137,483,280",580,"-3,118",-84.3%,"25,816",2,2,일본,일본,제인앤유
66,레드슈즈,2019-07-25,"4,971,900",0.0%,"-6,708,100",-57.4%,"6,082,417,090",572,-736,-56.3%,"815,058",2,7,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
67,백주의 결투,,"1,119,000",0.0%,"1,119,000",100.0%,"6,914,000",557,557,100.0%,"2,770",1,8,미국,미국,
68,사이몬과 타카시,2019-05-07,"2,241,520",0.0%,"-11,436,680",-83.6%,"100,885,780",434,"-2,141",-83.1%,"18,479",2,2,일본,일본,제인앤유
69,그것: 두 번째 이야기,2019-09-04,"3,281,260",0.0%,"-50,748,360",-93.9%,"5,111,816,367",415,"-6,024",-93.6%,"591,321",21,59,미국,미국,워너브러더스 코리아(주)
70,안나,2019-08-28,"2,000,000",0.0%,"-15,712,500",-88.7%,"946,058,240",400,"-1,783",-81.7%,"114,796",5,20,프랑스,프랑스,판씨네마(주)
71,리틀 포니 프린세스,2019-04-30,"1,805,000",0.0%,"-15,909,080",-89.8%,"147,356,140",381,"-3,067",-89.0%,"27,681",2,2,미국,미국,제인앤유
72,FIWOM 2019 개막식,,"2,005,000",0.0%,"2,005,000",100.0%,"2,005,000",354,354,100.0%,354,1,1,기타,기타,
73,재혼의 기술,2019-10-17,"2,422,000",0.0%,"2,422,000",100.0%,"2,422,000",318,318,100.0%,318,1,2,한국,한국,주식회사 마운틴픽쳐스
74,천지창조 / 더 바이블,1986-03-01,"612,000",0.0%,"-1,936,000",-76.0%,"4,842,000",306,-963,-75.9%,"2,416",1,3,미국,미국,
