2019.Q2,12.94,6.59,349,9.06
2019.Q3,14.49,11.98,382,9.46
2019.Q4,16.23,12.01,418,9.42
2020.Q1,19.84,22.24,484,15.79
2020.Q2,22.49,13.36,569,17.56
2020.Q3,23.5,4.49,635,11.6
2020.Q4,25.49,8.47,685,7.87
2021.Q1,26.85,5.34,762,11.24

