Q2.2019,12.94,6.59,349,9.06
Q3.2019,14.49,11.98,382,9.46
Q4.2019,16.23,12.01,418,9.42
Q1.2020,19.84,22.24,484,15.79
Q2.2020,22.49,13.36,569,17.56
Q3.2020,23.5,4.49,635,11.6
Q4.2020,25.49,8.47,685,7.87
Q1.2021,26.85,5.34,762,11.24
