●44주차 (2020년 10월 26일 ~ 2020년 11월 01일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,삼진그룹 영어토익반,2020-10-21,"5,105,389,000",59.6%,"2,065,777,120",68.0%,"8,183,047,880","573,035","219,196",61.9%,"931,740","1,588","39,125",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2,담보,2020-09-29,"720,143,610",8.4%,"-312,084,800",-30.2%,"14,286,698,750","86,032","-44,341",-34.0%,"1,665,191",620,"7,821",한국,한국,(주)씨제이이엔엠
3,소리도 없이,2020-10-15,"412,798,370",4.8%,"-662,324,590",-61.6%,"3,463,170,090","47,470","-77,121",-61.9%,"392,494",580,"6,975",한국,한국,(주)에이스메이커무비웍스
4,미스터트롯: 더 무비,2020-10-22,"320,123,700",3.7%,"-458,403,400",-58.9%,"1,098,650,800","39,698","-47,231",-54.3%,"126,627",366,"5,857",한국,한국,(주)영화사 그램
5,위플래쉬,2015-03-12,"291,601,210",3.4%,"291,601,210",100.0%,"12,948,316,255","33,883","33,883",100.0%,"1,622,931",482,"4,789",미국,미국,"워터홀컴퍼니(주),(주)쇼박스"
6,다만 악에서 구하소서 파이널컷,2020-10-28,"233,279,070",2.7%,"233,279,070",100.0%,"233,279,070","26,731","26,731",100.0%,"26,731",475,"5,175",한국,한국,(주)씨제이이엔엠
7,테넷,2020-08-26,"229,311,350",2.7%,"-37,532,090",-14.1%,"18,128,229,720","24,556","-3,603",-12.8%,"1,964,324",168,"1,552",미국,미국,워너브러더스 코리아(주)
8,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"171,261,040",2.0%,"-113,292,960",-39.8%,"455,815,040","18,971","-12,033",-38.8%,"49,975",118,"1,630",일본,일본,(주)애니플러스
9,테슬라,2020-10-28,"140,034,310",1.6%,"139,593,310",31653.8%,"140,475,310","17,601","17,552",35820.4%,"17,650",460,"3,810",미국,미국,(주)제이앤씨미디어그룹
10,21 브릿지: 테러 셧다운,2020-01-01,"53,834,010",0.6%,"22,337,990",70.9%,"861,674,730","7,365","3,833",108.5%,"111,140",81,340,미국,미국,"(주)드림팩트엔터테인먼트,(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
11,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,"183,793,500",2.1%,"-30,867,000",-14.4%,"3,093,747,500","6,362",-736,-10.4%,"100,723",53,387,한국,한국,씨제이포디플렉스 주식회사
12,마이 리틀 포니: 레인보우 로드 트립,2020-10-29,"43,873,480",0.5%,"43,873,480",100.0%,"43,873,480","5,399","5,399",100.0%,"5,399",226,729,미국,미국,(주)박수엔터테인먼트
13,오! 문희,2020-09-02,"36,604,000",0.4%,"535,000",1.5%,"2,797,604,600","5,192","1,440",38.4%,"350,991",22,61,한국,한국,CGV아트하우스
14,엣지 오브 투모로우,2014-06-04,"36,221,000",0.4%,"36,221,000",100.0%,"38,769,182,201","4,644","4,644",100.0%,"4,703,951",38,781,미국,미국,워너브러더스 코리아(주)
15,BIAF2020 BIAF 클래식,,"27,000,000",0.3%,"9,000,000",50.0%,"45,000,000","4,500","1,500",50.0%,"7,500",4,32,기타,기타,
