●12주차 (2020년 03월 16일 ~ 2020년 03월 22일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,인비저블맨,2020-02-26,"641,242,300",24.8%,"-281,871,300",-30.5%,"4,316,368,600","72,929","-31,371",-30.1%,"493,249",594,"10,034",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2,1917,2020-02-19,"495,888,320",19.2%,"-157,261,880",-24.1%,"6,116,745,640","55,904","-16,117",-22.4%,"666,591",546,"7,978",미국,미국,(주)스마일이엔티
3,다크 워터스,2020-03-11,"354,937,500",13.7%,"-188,879,760",-34.7%,"904,016,760","41,248","-20,283",-33.0%,"103,430",504,"8,192",미국,미국,(주)이수C&E
4,정직한 후보,2020-02-12,"133,485,840",5.2%,"-30,018,880",-18.4%,"12,740,890,090","21,837",-34,-0.2%,"1,520,806",312,"3,389",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
5,지푸라기라도 잡고 싶은 짐승들,2020-02-19,"125,471,600",4.8%,"-131,475,240",-51.2%,"5,313,514,110","14,390","-14,847",-50.8%,"612,036",319,"3,563",한국,한국,메가박스중앙(주)플러스엠
6,작은 아씨들,2020-02-12,"108,477,280",4.2%,"-81,766,960",-43.0%,"7,150,926,550","12,793","-9,358",-42.2%,"847,954",260,"2,496",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
7,스타 이즈 본,2018-10-09,"62,362,900",2.4%,"-12,777,720",-17.0%,"4,401,833,580","12,302","-2,702",-18.0%,"519,163",217,"1,982",미국,미국,워너브러더스 코리아(주)
8,세인트 아가타,2020-03-19,"85,409,940",3.3%,"84,177,940",6832.6%,"86,641,940","9,512","9,358",6076.6%,"9,666",390,"2,676",미국,미국,(주)디스테이션
9,어바웃 타임,2013-12-05,"29,917,500",1.2%,"-26,962,500",-47.4%,"25,223,609,300","5,866","-5,303",-47.5%,"3,435,478",81,612,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
10,메멘토,2001-08-24,"23,913,000",0.9%,"-9,074,000",-27.5%,"192,192,300","4,752","-1,815",-27.6%,"28,685",110,857,미국,미국,"(주)디스테이션,(주)팝엔터테인먼트"
11,쉰들러 리스트,1994-03-05,"22,439,000",0.9%,"22,439,000",100.0%,"69,870,290","4,451","4,451",100.0%,"10,314",123,"1,089",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
12,분노의 질주: 더 익스트림,2017-04-12,"42,935,500",1.7%,"42,935,500",100.0%,"30,024,091,848","4,299","4,299",100.0%,"3,657,537",35,522,미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
13,찬실이는 복도 많지,2020-03-05,"33,820,480",1.3%,"-23,895,920",-41.4%,"167,515,600","3,946","-2,613",-39.8%,"19,529",86,685,한국,한국,찬란
14,그린 북,2019-01-09,"16,713,500",0.6%,"13,998,500",515.6%,"3,703,931,360","3,305","2,763",509.8%,"444,768",100,812,미국,미국,CGV아트하우스
15,존 윅,2015-01-21,"15,632,000",0.6%,"15,527,000",14787.6%,"951,738,218","3,104","3,083",14681.0%,"120,603",116,749,미국,미국,"(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트"
16,시원찮은 그녀를 위한 육성방법 피날레,2020-02-27,"24,323,980",0.9%,"-6,025,220",-19.9%,"124,303,860","2,971",-672,-18.4%,"14,522",49,361,일본,일본,(주)애니플러스
17,젠틀맨,2020-02-26,"21,771,720",0.8%,"-34,169,480",-61.1%,"654,703,390","2,451","-3,939",-61.6%,"80,146",84,526,미국,미국,"(주)영화사 빅,(주)다날엔터테인먼트"
18,미드나잇 인 파리,2012-07-05,"11,634,000",0.5%,"11,634,000",100.0%,"2,802,894,517","2,292","2,292",100.0%,"379,196",106,577,미국,"미국,스페인","(주)디스테이션,(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트"
19,더 보이 2: 돌아온 브람스,2020-03-05,"16,040,500",0.6%,"-59,030,000",-78.6%,"224,158,500","2,212","-5,980",-73.0%,"25,185",96,547,미국,미국,(주)팝엔터테인먼트
20,슬럼독 밀리어네어,2009-03-19,"17,247,500",0.7%,"-10,196,000",-37.2%,"7,389,331,500","2,114","-1,074",-33.7%,"1,112,201",112,807,영국,"영국,미국","(주)영화특별시에스엠씨,CJ ENM"
21,비긴 어게인,2014-08-13,"10,671,500",0.4%,"-26,994,000",-71.7%,"27,300,212,181","2,106","-5,360",-71.8%,"3,462,550",103,442,미국,미국,판씨네마(주)
22,레미제라블,2012-12-19,"10,680,500",0.4%,"-103,500",-1.0%,"43,124,604,500","2,073",-70,-3.3%,"5,926,849",98,580,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
