●44주차 (2019년 10월 28일 ~ 2019년 11월 03일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,82년생 김지영,2019-10-23,"10,855,117,370",35.4%,"1,211,161,150",12.6%,"20,556,406,590","1,379,049","265,611",23.9%,"2,498,957","1,438","43,074",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2,터미네이터: 다크 페이트,2019-10-30,"11,315,332,810",36.9%,"11,297,202,810",62312.2%,"11,344,082,810","1,364,233","1,362,395",74123.8%,"1,366,821","1,315","28,459",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,날씨의 아이,2019-10-30,"2,620,349,340",8.5%,"2,600,621,340",13182.4%,"2,734,118,340","324,595","322,403",14708.2%,"337,150",716,"12,794",일본,일본,"(주)미디어캐슬,워터홀컴퍼니(주)"
4,말레피센트 2,2019-10-17,"1,870,068,280",6.1%,"-2,443,727,790",-56.6%,"11,536,978,210","239,323","-274,802",-53.5%,"1,364,888",768,"12,560",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,조커,2019-10-02,"1,645,892,770",5.4%,"-1,873,357,390",-53.2%,"44,673,369,510","204,290","-207,211",-50.4%,"5,164,442",660,"10,513",미국,미국,워너브러더스 코리아(주)
6,가장 보통의 연애,2019-10-02,"747,470,960",2.4%,"-1,398,647,790",-65.2%,"24,637,934,300","92,299","-157,279",-63.0%,"2,885,660",568,"6,776",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,빅 위시,2019-10-30,"224,430,140",0.7%,"223,152,140",17461.0%,"225,708,140","28,742","28,600",20140.8%,"28,884",336,"1,413",멕시코,멕시코,(주)박수엔터테인먼트
8,람보 : 라스트 워,2019-10-23,"155,056,770",0.5%,"-439,076,920",-73.9%,"760,962,460","19,973","-50,984",-71.9%,"92,238",445,"2,576",미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
9,블랙머니,2019-11-13,"116,861,500",0.4%,"114,885,500",5814.0%,"118,837,500","13,739","13,492",5462.3%,"13,986",19,62,한국,한국,(주)에이스메이커무비웍스
10,빅 2: 황금열쇠 대소동,2019-10-30,"82,718,480",0.3%,"79,262,480",2293.5%,"86,174,480","10,768","10,384",2704.2%,"11,152",257,982,인도,인도,(주)영화사 그램
11,신의 한 수: 귀수편,2019-11-07,"72,821,000",0.2%,"72,821,000",100.0%,"72,821,000","10,673","10,673",100.0%,"10,673",38,53,한국,한국,(주)씨제이이엔엠
12,퍼펙트맨,2019-10-02,"70,150,980",0.2%,"-273,678,850",-79.6%,"10,276,564,990","9,737","-32,871",-77.1%,"1,234,413",155,725,한국,한국,(주)쇼박스
13,빅트립: 아기팬더 배달 대모험,2019-10-23,"58,969,380",0.2%,"-193,217,160",-76.6%,"317,779,920","8,142","-23,864",-74.6%,"40,870",174,637,미국,미국,(주)트리플픽쳐스
14,프렌드 존,2019-10-30,"61,971,700",0.2%,"29,328,700",89.8%,"94,614,700","7,541","2,898",62.4%,"12,184",104,"1,089",태국,태국,(주)디스테이션
