●06주차 (2021년 02월 08일 ~ 2021년 02월 14일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,소울,2021-01-20,"3,408,590,610",38.4%,"270,992,250",8.6%,"14,482,495,880","361,516","29,697",8.9%,"1,568,334","1,277","23,371",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"1,772,856,620",20.0%,"-515,379,320",-22.5%,"5,881,195,230","177,369","-59,196",-25.0%,"620,243",823,"11,934",일본,일본,워터홀컴퍼니(주)
3,새해전야,2021-02-10,"1,207,943,940",13.6%,"1,201,499,940",18645.3%,"1,214,730,940","130,588","129,872",18138.5%,"131,353",906,"13,182",한국,한국,(주)에이스메이커무비웍스
4,몬스터 헌터,2021-02-10,"794,602,600",9.0%,"789,315,600",14929.4%,"799,889,600","83,216","82,905",26657.6%,"83,527",668,"8,349",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
5,해리 포터와 불의 잔,2005-12-01,"291,591,500",3.3%,"291,591,500",100.0%,"21,755,752,400","31,560","31,560",100.0%,"3,462,535",49,673,미국,미국,워너브러더스 코리아(주)
6,아이,2021-02-10,"197,825,400",2.2%,"190,741,400",2692.6%,"204,909,400","23,560","22,762",2852.4%,"24,358",504,"4,601",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
7,어니스트 씨프,2021-02-03,"203,468,150",2.3%,"-277,391,700",-57.7%,"684,328,000","22,339","-32,292",-59.1%,"76,970",479,"3,504",미국,미국,(주)올스타엔터테인먼트
8,드림빌더,2021-02-10,"113,752,230",1.3%,"107,047,230",1596.5%,"122,221,230","13,385","12,640",1696.6%,"14,326",327,"2,145",기타,기타,(주)트리플픽쳐스
9,세자매,2021-01-27,"113,829,900",1.3%,"-73,627,260",-39.3%,"655,855,300","13,235","-8,517",-39.2%,"77,288",317,"1,560",한국,한국,(주)리틀빅픽쳐스
10,송가인 더 드라마,2021-02-11,"131,325,000",1.5%,"131,325,000",100.0%,"131,325,000","11,394","11,394",100.0%,"11,394",117,"1,635",한국,한국,(주)영화특별시에스엠씨
11,해피 투게더,1998-08-22,"77,563,150",0.9%,"-32,107,470",-29.3%,"218,503,270","8,176","-3,248",-28.4%,"23,966",327,"1,473",홍콩,홍콩,(주)디스테이션
12,엘프,2021-02-10,"66,454,270",0.8%,"66,454,270",100.0%,"66,454,270","7,768","7,768",100.0%,"7,768",228,"1,118",독일,독일,(주)박수엔터테인먼트
13,명탐정 코난: 진홍의 수학여행,2021-01-27,"59,256,760",0.7%,"-84,516,320",-58.8%,"519,162,280","6,443","-9,884",-60.5%,"60,901",215,844,일본,일본,(주)씨제이이엔엠
14,페어웰,2021-02-04,"32,294,660",0.4%,"-24,022,340",-42.7%,"95,055,660","3,758","-2,892",-43.5%,"11,226",131,714,미국,"미국,중국",오드
15,타락천사,1995-12-23,"24,907,100",0.3%,"24,907,100",100.0%,"33,820,100","2,453","2,453",100.0%,"3,704",32,98,홍콩,홍콩,(주)디스테이션
16,호라이즌 라인,2021-02-10,"19,153,920",0.2%,"9,971,270",108.6%,"28,336,570","2,444",633,35.0%,"4,255",79,463,미국,미국,(주)제이앤씨미디어그룹
17,화양연화,2000-10-20,"24,059,390",0.3%,"9,259,390",62.6%,"917,684,660","2,432",846,53.3%,"104,174",36,197,홍콩,"홍콩,프랑스",(주)디스테이션
