●24주차 (2020년 06월 08일 ~ 2020년 06월 14일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,결백,2020-06-10,"2,876,197,280",42.0%,"2,862,894,280",21520.7%,"2,891,030,280","312,875","311,056",17100.4%,"314,864","1,112","18,231",한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
2,침입자,2020-06-04,"1,476,912,100",21.6%,"-1,197,583,120",-44.8%,"4,155,704,320","166,678","-121,414",-42.1%,"455,603","1,231","21,021",한국,한국,(주)에이스메이커무비웍스
3,에어로너츠,2020-06-10,"455,876,400",6.7%,"444,708,400",3982.0%,"467,174,400","51,609","50,817",6416.3%,"52,427",534,"6,584",영국,"영국,미국",(주)홈초이스
4,위대한 쇼맨,2017-12-20,"273,582,080",4.0%,"-193,215,220",-41.4%,"12,946,652,080","43,906","-31,443",-41.7%,"1,633,720",417,"4,973",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
5,나의 첫 번째 슈퍼스타,2020-06-10,"300,204,200",4.4%,"298,296,200",15634.0%,"302,560,200","32,434","32,222",15199.1%,"32,710",462,"4,935",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
6,아이즈 온 미 : 더 무비,2020-06-10,"396,269,000",5.8%,"396,269,000",100.0%,"396,269,000","30,751","30,751",100.0%,"30,751",124,"1,259",한국,한국,씨제이포디플렉스 주식회사
7,매드 맥스: 분노의 도로,2015-05-14,"120,618,500",1.8%,"11,185,500",10.2%,"33,620,216,862","14,871","3,564",31.5%,"3,910,308",38,"1,129",미국,"미국,호주",워너브러더스 코리아(주)
8,프리즌 이스케이프,2020-05-06,"94,671,880",1.4%,"-164,345,400",-63.4%,"1,826,826,560","13,486","-15,434",-53.4%,"213,731",333,"2,089",영국,"영국,호주",(주)이놀미디어
9,콜 미 바이 유어 네임,2018-03-22,"121,276,960",1.8%,"121,276,960",100.0%,"1,791,783,948","13,345","13,345",100.0%,"212,934",70,649,이탈리아,"이탈리아,프랑스,브라질,미국","(주)디스테이션,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"
10,너는 달밤에 빛나고,2020-06-10,"78,387,000",1.1%,"78,387,000",100.0%,"78,387,000","8,723","8,723",100.0%,"8,723",178,"1,663",일본,일본,"(주)이수C&E,(주)콘텐츠판다"
11,언더워터,2020-05-27,"59,118,260",0.9%,"-322,940,520",-84.5%,"929,880,020","6,926","-36,166",-83.9%,"108,269",374,"2,148",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,레옹 디 오리지널,2020-06-11,"39,950,720",0.6%,"39,950,720",100.0%,"39,950,720","6,578","6,578",100.0%,"6,578",130,566,프랑스,프랑스,(주)제이앤씨미디어그룹
13,카페 벨에포크,2020-05-20,"45,994,680",0.7%,"-72,993,620",-61.3%,"521,085,760","6,449","-6,676",-50.9%,"61,579",177,861,프랑스,프랑스,(주)이수C&E
14,그랜드 부다페스트 호텔,2014-03-20,"37,719,000",0.6%,"37,719,000",100.0%,"6,462,483,022","6,272","6,272",100.0%,"828,477",84,433,미국,"미국,독일","(주)피터팬픽쳐스,이십세기폭스코리아(주)"
15,프랑스여자,2020-06-04,"40,721,480",0.6%,"-21,929,940",-35.0%,"105,966,900","5,980","-2,234",-27.2%,"14,528",198,"1,170",한국,한국,"(주)디스테이션,롯데컬처웍스(주)롯데엔터테인먼트"
16,슈퍼스타 뚜루,2020-06-04,"29,517,800",0.4%,"-22,559,200",-43.3%,"81,594,800","3,850","-2,711",-41.3%,"10,411",100,575,스페인,스페인,(주)박수엔터테인먼트
17,아홉 스님,2020-05-27,"22,808,400",0.3%,"-27,970,300",-55.1%,"128,266,200","3,763","-4,466",-54.3%,"21,012",71,328,한국,한국,"(주)퍼스트런,(주)키다리이엔티"
18,미스비헤이비어,2020-05-27,"20,678,520",0.3%,"-67,139,980",-76.5%,"226,865,300","3,020","-6,962",-69.7%,"27,789",148,549,영국,영국,판씨네마(주)
19,날씨의 아이,2019-10-30,"17,820,400",0.3%,"-2,111,860",-10.6%,"5,828,313,110","2,927",133,4.8%,"709,927",31,176,일본,일본,"(주)미디어캐슬,워터홀컴퍼니(주)"
