●32주차 (2020년 08월 03일 ~ 2020년 08월 09일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,다만 악에서 구하소서,2020-08-05,"17,749,493,740",68.3%,"17,705,731,740",40459.1%,"17,797,226,740","2,019,937","2,015,282",43292.8%,"2,025,071","1,998","52,221",한국,한국,(주)씨제이이엔엠
2,강철비2: 정상회담,2020-07-29,"4,329,832,830",16.7%,"-4,032,821,730",-48.2%,"12,720,038,390","522,023","-494,220",-48.6%,"1,541,960","1,952","35,204",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
3,반도,2020-07-15,"2,144,640,520",8.2%,"-2,648,145,640",-55.3%,"32,071,650,380","254,422","-321,627",-55.8%,"3,693,306",984,"16,363",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
4,애니멀 크래커,2020-08-05,"610,725,330",2.3%,"608,727,330",30466.8%,"612,723,330","76,799","76,577",34494.1%,"77,021",473,"3,523",미국,미국,(주)이수C&E
5,빅샤크3: 젤리몬스터 대소동,2020-07-29,"272,318,980",1.0%,"23,805,720",9.6%,"520,832,240","35,823","4,259",13.5%,"67,387",365,"2,310",중국,중국,(주)팝엔터테인먼트
6,알라딘,2019-05-23,"254,714,280",1.0%,"-158,628,460",-38.4%,"108,058,378,159","34,007","-24,682",-42.1%,"12,710,451",284,"2,037",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,미녀와 야수,2017-03-16,"93,730,060",0.4%,"93,730,060",100.0%,"42,227,481,639","14,106","14,106",100.0%,"5,152,434",197,"1,567",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,소년시절의 너,2020-07-09,"59,066,000",0.2%,"-39,689,000",-40.2%,"561,964,700","6,868","-4,913",-41.7%,"65,390",82,498,중국,중국,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
9,온워드: 단 하루의 기적,2020-06-17,"41,433,200",0.2%,"-20,746,520",-33.4%,"3,565,679,500","5,325","-2,433",-31.4%,"414,699",76,406,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,오케이 마담,2020-08-12,"30,043,000",0.1%,"30,043,000",100.0%,"30,043,000","4,269","4,269",100.0%,"4,269",8,25,한국,한국,메가박스중앙(주)플러스엠
11,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,"29,252,000",0.1%,"-57,860,000",-66.4%,"1,514,739,640","3,359","-7,179",-68.1%,"177,827",71,370,미국,"미국,캐나다",(주)홈초이스
12,세인트 주디,2020-07-29,"27,711,980",0.1%,"-6,450,400",-18.9%,"66,174,360","3,272",-983,-23.1%,"7,980",138,430,미국,미국,"(주)미로스페이스,주식회사 제이씨엔터웍스"
13,존 윅: 특별판,2017-03-30,"22,724,140",0.1%,"-35,487,840",-61.0%,"81,322,120","2,493","-4,218",-62.9%,"9,238",144,406,미국,미국,"(주)제이앤씨미디어그룹,(유)조이앤시네마"
14,소년 아메드,2020-07-30,"18,965,280",0.1%,"-13,963,120",-42.4%,"62,344,680","2,417","-2,005",-45.3%,"7,884",77,415,프랑스,프랑스,(주)영화사 진진
15,파리의 인어,2020-07-23,"15,357,500",0.1%,"-54,224,500",-77.9%,"230,722,500","2,098","-6,491",-75.6%,"27,340",84,345,프랑스,프랑스,(주)빅웨이브시네마
16,블랙아웃 : 인베이젼 어스,2020-08-05,"16,412,520",0.1%,"14,751,520",888.1%,"18,073,520","1,899","1,722",972.9%,"2,076",51,299,러시아,러시아,(주)제이앤씨미디어그룹
17,시네마 천국,1990-07-07,"11,927,400",0.0%,"-6,022,600",-33.6%,"359,752,100","1,809","-1,060",-36.9%,"58,361",28,105,프랑스,"프랑스,이탈리아","주식회사 왓챠,(주)팝엔터테인먼트"
18,마티아스와 막심,2020-07-23,"14,973,080",0.1%,"-17,220,800",-53.5%,"93,801,620","1,709","-2,059",-54.6%,"10,616",35,211,캐나다,캐나다,(주)엣나인필름
19,주식회사 스페셜액터스,2020-08-06,"14,434,080",0.1%,"13,156,580",1029.9%,"16,599,580","1,633","1,445",768.6%,"1,932",43,261,일본,일본,찬란
20,부활,2020-07-09,"11,201,000",0.0%,"-7,093,500",-38.8%,"107,616,500","1,477",-825,-35.8%,"13,834",39,178,한국,한국,(주)중헌홀딩스
21,블루 아워,2020-07-22,"11,665,900",0.0%,"-30,324,860",-72.2%,"197,023,140","1,376","-3,777",-73.3%,"23,178",51,207,일본,일본,오드
22,위대한 쇼맨,2017-12-20,"8,094,080",0.0%,"-4,827,080",-37.4%,"13,398,684,600","1,325",-779,-37.0%,"1,707,641",14,104,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
