●26주차 (2021년 06월 28일 ~ 2021년 07월 04일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,발신제한,2021-06-23,"3,625,960,660",30.4%,"271,447,620",8.1%,"6,990,232,700","384,064","34,338",9.8%,"734,851",949,"25,145",한국,한국,(주)씨제이이엔엠
2,크루엘라,2021-05-26,"2,569,338,050",21.6%,"317,890,180",14.1%,"16,630,726,060","267,103","39,608",17.4%,"1,720,169",889,"13,614",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,콰이어트 플레이스 2,2021-06-16,"1,567,820,690",13.2%,"-816,725,480",-34.3%,"7,753,380,710","162,305","-77,274",-32.3%,"781,590",718,"12,327",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
4,킬러의 보디가드 2,2021-06-23,"1,141,745,260",9.6%,"-852,281,200",-42.7%,"3,517,150,870","120,610","-81,961",-40.5%,"357,383",871,"13,180",미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
5,루카,2021-06-17,"769,780,430",6.5%,"-256,820,170",-25.0%,"3,018,540,380","83,641","-28,550",-25.4%,"329,512",632,"5,617",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,미드나이트,2021-06-30,"713,989,130",6.0%,"677,858,130",1876.1%,"750,120,130","82,160","77,796",1782.7%,"86,524",693,"10,739",한국,한국,씨제이 씨지브이(CJ CGV)(주)
7,인 더 하이츠,2021-06-30,"335,850,390",2.8%,"290,594,950",642.1%,"397,686,830","37,709","33,308",756.8%,"43,489",649,"5,975",미국,미국,워너브러더스 코리아(주)
8,컨저링3: 악마가 시켰다,2021-06-03,"211,702,340",1.8%,"-236,294,670",-52.7%,"7,897,268,320","21,920","-21,733",-49.8%,"786,498",254,"1,608",미국,미국,워너브러더스 코리아(주)
9,체르노빌 1986,2021-06-30,"158,588,900",1.3%,"156,096,900",6263.9%,"162,844,900","19,083","18,727",5260.4%,"19,691",182,"2,172",러시아,러시아,(주)팝엔터테인먼트
10,괴기맨숀,2021-06-30,"149,050,300",1.3%,"144,830,300",3432.0%,"153,270,300","14,895","14,473",3429.6%,"15,317",131,"1,315",한국,한국,(주)콘텐츠판다
11,빛나는 순간,2021-06-30,"75,264,020",0.6%,"73,378,020",3890.7%,"85,675,020","9,044","8,894",5929.3%,"10,114",267,"1,842",한국,한국,"(주)명필름,(주)씨네필운"
12,분노의 질주: 더 얼티메이트,2021-05-19,"77,163,670",0.6%,"-126,488,720",-62.1%,"22,012,175,990","8,414","-13,311",-61.3%,"2,284,626",187,874,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
13,블라이스 스피릿,2021-06-30,"42,105,010",0.4%,"40,478,010",2487.9%,"46,630,010","5,223","5,020",2472.9%,"5,748",135,741,영국,영국,(주)이놀미디어
14,다크 앤드 위키드,2021-06-30,"44,224,800",0.4%,"42,563,800",2562.5%,"46,974,800","5,108","4,957",3282.8%,"5,358",164,"1,208",미국,미국,와이드 릴리즈(주)
15,매직아치,2021-07-01,"39,208,210",0.3%,"39,208,210",100.0%,"39,208,210","4,623","4,623",100.0%,"4,623",181,580,러시아,러시아,(주)영화사 빅
16,웬디,2021-06-30,"31,466,670",0.3%,"29,642,670",1625.1%,"33,290,670","4,368","4,207",2613.0%,"4,529",79,450,미국,미국,"(주)영화사 진진,하이, 스트레인저"
17,여고괴담 여섯번째 이야기 : 모교,2021-06-17,"32,449,070",0.3%,"-193,597,780",-85.6%,"846,938,230","3,480","-20,390",-85.4%,"92,882",217,734,한국,한국,"케이티하이텔(주),씨제이 씨지브이(CJ CGV)(주)"
18,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"24,029,390",0.2%,"-21,544,990",-47.3%,"20,624,541,100","3,116","-2,476",-44.3%,"2,147,872",79,347,일본,일본,워터홀컴퍼니(주)
19,크레센도,2021-06-24,"21,150,370",0.2%,"-7,174,100",-25.3%,"49,645,340","2,620",-684,-20.7%,"5,942",49,299,독일,독일,(주)티캐스트
20,이보다 더 좋을 순 없다,1998-03-14,"18,204,170",0.2%,"18,204,170",100.0%,"18,462,170","2,217","2,217",100.0%,"2,304",72,420,미국,미국,워터홀컴퍼니(주)
21,학교 가는 길,2021-05-05,"14,345,500",0.1%,"6,495,530",82.7%,"185,279,480","1,908",794,71.3%,"24,359",5,25,한국,한국,(주)영화사 진진
22,시카다 3301,2021-07-01,"12,156,520",0.1%,"12,156,520",100.0%,"12,156,520","1,825","1,825",100.0%,"1,825",26,151,미국,미국,(주)블루라벨픽쳐스
23,뱅드림! 로젤리아 에피소드Ⅰ: 약속,2021-06-03,"13,130,120",0.1%,"-4,314,360",-24.7%,"181,344,760","1,550",-394,-20.3%,"20,079",34,223,일본,일본,(주)애니플러스
24,아이윌 송,2021-07-01,"12,317,700",0.1%,"9,500,700",337.3%,"15,134,700","1,361","1,048",334.8%,"1,674",34,161,한국,한국,(주)라이크콘텐츠
25,사랑하고 사랑받고 차고 차이고,2021-06-16,"12,862,400",0.1%,"-28,114,800",-68.6%,"142,715,400","1,306","-2,895",-68.9%,"15,929",43,188,일본,일본,주식회사 컨텐츠썬
26,메이드 인 루프탑,2021-06-23,"10,208,540",0.1%,"-14,626,960",-58.9%,"42,166,040","1,118","-1,482",-57.0%,"4,649",77,281,한국,한국,(주)엣나인필름
27,꽃다발 같은 사랑을 했다,2021-07-14,"9,477,000",0.1%,"8,399,000",779.1%,"12,688,000","1,053",955,974.5%,"1,388",8,9,일본,일본,"(주)리틀빅픽쳐스,(주)레드로버"
28,러브 레터,,"1,983,000",0.0%,"1,983,000",100.0%,"3,318,000",984,984,100.0%,"1,429",1,12,미국,미국,
29,흩어진 밤,2021-06-24,"7,648,900",0.1%,"-6,418,540",-45.6%,"23,196,340",904,-663,-42.3%,"2,640",39,202,한국,한국,영화배급협동조합 씨네소파
